Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,12.601059000000001,12.38428475,12.2913815,12.58698275,1035,157094
2013-01-03,12.474372750000002,12.4602965,12.389915250000001,12.412437250000002,1564,291031
2013-01-04,12.860062000000001,12.843170500000001,12.578537,12.665809750000001,837,147052
2013-01-07,12.75026725,12.603874250000002,12.595428500000002,12.747452000000001,574,94665
2013-01-08,12.6292115,12.558830250000002,12.40117625,12.609504750000001,558,145716
2013-01-09,12.702408,12.654548750000002,12.5729065,12.665809750000001,633,112001
2013-01-10,13.009270250000002,12.727745250000002,12.62639625,12.696777500000001,678,123176
2013-01-11,12.510971,12.409622,12.34487125,12.485633750000002,1065,251314
2013-01-14,12.57009125,12.544754000000001,12.350501750000001,12.454666000000001,436,83563
2013-01-15,12.58698275,12.5503845,12.474372750000002,12.5391235,363,69661
2013-01-16,12.609504750000001,12.496894750000001,12.471557500000001,12.488449000000001,369,70122
2013-01-17,12.62076575,12.561645500000001,12.494079500000002,12.533493000000002,479,75458
2013-01-18,12.601059000000001,12.601059000000001,12.50252525,12.556015000000002,343,54364
2013-01-22,12.598243750000002,12.598243750000002,12.49126425,12.533493000000002,234,40838
2013-01-23,12.595428500000002,12.527862500000001,12.494079500000002,12.527862500000001,527,89220
2013-01-24,12.606689500000002,12.53067775,12.3364255,12.5053405,1028,181313
2013-01-25,12.646103000000002,12.553199750000003,12.44058975,12.63202675,196,31462
2013-01-28,12.713669,12.59261325,12.567276000000001,12.640472500000001,574,93167
2013-01-29,13.06276,13.020531250000001,12.736191000000002,12.815018000000002,825,155014
2013-01-30,12.978302500000002,12.90229075,12.845985750000002,12.868507750000001,717,117892
2013-01-31,13.600472750000002,13.440003500000001,13.1134345,13.1134345,1357,294691
2013-02-01,13.470971250000002,13.42592725,13.36399175,13.43718825,779,178847
2013-02-04,13.482232250000001,13.3949595,13.237305500000002,13.440003500000001,642,112060
2013-02-05,13.620179500000003,13.549798250000002,13.456895000000001,13.558244,576,122080
2013-02-06,13.465340750000001,13.355546,13.321763,13.431557750000001,519,87755
2013-02-07,13.665223500000002,13.592027000000002,13.383698500000001,13.665223500000002,730,131242
2013-02-08,13.6990065,13.592027000000002,13.544167750000002,13.662408250000002,540,135903
2013-02-11,13.786279250000002,13.622994750000002,13.569505000000001,13.5976575,452,66078
2013-02-12,13.589211750000002,13.541352500000002,13.468156000000002,13.546983,427,65788
