Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-09-24,23.22,23.08,21.4,21.5,18660,26007638
2014-09-25,23.4,23.05,22.45,22.56,3732,1505630
2014-09-26,23.37,23.25,22.95,23.25,1167,258676
2014-09-29,23.45,23.23,22.91,23.14,1376,341213
2014-09-30,23.57,23.42,23.05,23.11,1467,619842
2014-10-01,23.61,23.44,23.13,23.27,1638,427743
2014-10-02,23.59,23.34,23.31,23.34,820,196655
2014-10-03,23.47,23.23,23.01,23.38,666,176585
2014-10-06,23.369,22.64,22.61,23.28,548,124764
2014-10-07,22.73,22.52,22.3,22.56,1101,342484
2014-10-08,23.15,22.75,22.11,22.11,1086,235930
2014-10-09,23.0,22.48,22.25,23.0,560,146914
2014-10-10,22.55,22.28,22.14,22.39,666,143473
2014-10-13,22.66,22.45,22.13,22.13,705,136933
2014-10-14,22.78,22.45,22.31,22.5,862,152753
2014-10-15,22.2,21.85,21.5,22.13,1476,323417
2014-10-16,21.95,21.8,21.5,21.51,1544,345212
2014-10-17,22.07,21.92,21.78,21.89,1683,370997
2014-10-20,22.38,22.38,21.82,21.82,913,208865
2014-10-21,22.93,22.82,22.11,22.11,1117,267844
2014-10-22,23.0,22.6,22.42,22.78,495,93408
2014-10-23,23.08,23.03,22.6,22.97,916,178547
2014-10-24,23.49,23.18,22.78,23.32,1081,277635
2014-10-27,23.18,22.85,22.73,23.15,1343,294722
2014-10-28,23.56,23.28,22.93,23.16,1001,252236
2014-10-29,23.52,23.48,23.26,23.35,596,248143
2014-10-30,23.69,23.44,23.31,23.46,532,202972
2014-10-31,23.92,23.62,23.37,23.59,843,171438
2014-11-03,24.0,24.0,23.17,23.49,1196,288332
2014-11-04,23.91,23.6,23.44,23.74,954,184221
2014-11-05,23.94,23.9,23.56,23.8,849,165872
2014-11-06,24.44,24.3,23.78,23.79,778,175628
2014-11-07,24.48,23.97,23.96,24.48,277,53901
2014-11-10,24.1,23.95,23.76,24.04,431,454151
2014-11-11,24.21,23.94,23.8,23.97,265,178822
2014-11-12,23.98,23.86,23.52,23.75,359,63649
2014-11-13,23.96,23.82,23.59,23.62,540,133784
2014-11-14,24.0,23.96,23.74,23.74,418,73191
2014-11-17,24.11,24.0,23.56,24.11,645,96903
2014-11-18,24.04,23.73,23.72,24.04,523,85663
2014-11-19,24.0,23.72,23.54,23.8,500,81511
2014-11-20,23.86,23.71,23.55,23.57,557,93728
2014-11-21,24.19,23.77,23.7,23.95,567,128999
2014-11-24,24.35,24.25,23.73,23.8,719,130690
2014-11-25,24.3,24.03,24.02,24.24,478,73176
2014-11-26,24.27,24.23,23.92,24.11,409,75690
2014-11-28,25.08,24.63,24.1,24.22,855,180043
2014-12-01,24.87,23.98,23.5,24.62,897,169410
2014-12-02,24.43,24.2,23.8,24.02,548,76247
2014-12-03,24.53,24.23,24.21,24.33,871,190075
2014-12-04,24.56,24.4,24.09,24.32,685,103411
2014-12-05,25.22,25.15,24.45,24.45,831,144275
2014-12-08,25.14,25.04,24.69,25.14,1596,552282
2014-12-09,25.31,25.16,24.5,24.71,789,141276
2014-12-10,25.38,24.65,24.62,25.15,495,90549
2014-12-11,25.24,24.69,24.64,24.85,911,158185
2014-12-12,24.82,24.46,24.43,24.52,987,196845
2014-12-15,24.75,24.49,24.27,24.68,1107,228175
2014-12-16,24.87,24.25,24.23,24.53,1087,179039
2014-12-17,24.79,24.56,24.22,24.22,1150,200541
2014-12-18,25.14,25.08,24.69,24.75,1277,292418
2014-12-19,25.6,25.0,24.85,25.04,2552,4796557
2014-12-22,25.2,25.1,24.69,25.16,2438,477281
2014-12-23,25.5,25.44,25.13,25.35,905,188834
2014-12-24,25.58,25.51,25.2,25.45,536,93637
2014-12-26,25.51,25.31,25.25,25.51,407,80358
2014-12-29,25.51,25.37,25.2,25.2,603,92024
2014-12-30,25.49,25.19,25.17,25.46,476,101441
2014-12-31,25.28,24.86,24.83,25.25,615,124769
2015-01-02,24.97,24.76,24.31,24.97,1034,193351
2015-01-05,24.68,24.18,23.85,24.58,1050,263867
2015-01-06,24.2,23.91,23.7,24.17,1551,310346
2015-01-07,24.1,24.0,23.81,23.99,908,303274
2015-01-08,24.48,24.18,23.94,24.07,847,127964
2015-01-09,24.16,23.89,23.82,24.15,680,170888
2015-01-12,24.04,23.88,23.64,23.8,641,123094
2015-01-13,24.19,23.87,23.7,23.94,784,118480
2015-01-14,23.72,23.44,23.1,23.6,1059,157169
2015-01-15,23.59,22.96,22.67,23.37,1271,193583
2015-01-16,23.24,23.19,22.79,22.83,1319,238309
2015-01-20,23.84,23.1,22.93,23.16,1153,237552
2015-01-21,23.58,23.28,23.01,23.07,984,164643
2015-01-22,24.16,24.14,23.28,23.3,763,118798
2015-01-23,24.04,23.71,23.67,24.04,944,149440
2015-01-26,24.3,24.09,23.54,23.75,1231,221756
2015-01-27,24.62,24.15,23.85,23.86,881,151108
2015-01-28,24.3,23.86,23.84,24.17,1795,363095
2015-01-29,24.33,24.24,23.29,23.92,1328,220844
2015-01-30,24.2,23.9,23.81,24.1,1640,344741
2015-02-02,24.13,24.0,23.69,23.85,1196,183621
2015-02-03,24.45,24.29,23.91,23.91,1123,193073
2015-02-04,24.38,24.01,23.98,24.27,1082,191479
2015-02-05,24.41,24.35,23.98,24.09,1050,185355
2015-02-06,25.0,24.5,24.22,24.41,936,153384
2015-02-09,24.48,24.26,24.12,24.48,519,91922
2015-02-10,24.95,24.82,24.59,24.73,1030,264012
2015-02-11,25.0,24.97,24.58,24.88,1083,193584
2015-02-12,25.37,25.33,24.75,24.8,636,118220
2015-02-13,25.63,25.45,25.15,25.28,1258,203848
2015-02-17,25.74,25.56,25.27,25.71,1145,200055
2015-02-18,25.63,25.21,25.06,25.63,1052,167769
2015-02-19,25.22,25.02,24.88,25.02,983,142473
2015-02-20,25.26,25.25,24.91,25.1,671,101016
2015-02-23,25.1,24.91,24.69,25.1,563,166497
2015-02-24,25.07,24.93,24.78,24.78,397,82062
2015-02-25,25.0,24.96,24.73,24.87,513,134211
2015-02-26,24.99,24.85,24.61,24.94,719,113222
2015-02-27,24.99,24.84,24.74,24.8,578,99678
2015-03-02,25.18,24.85,24.63,24.8,1192,209016
2015-03-03,25.05,25.04,24.58,24.82,739,135912
2015-03-04,24.99,24.9,24.54,24.99,840,135752
2015-03-05,25.31,25.3,24.61,24.89,1259,249484
2015-03-06,25.8,25.5,24.95,25.03,1667,273762
2015-03-09,25.5,25.23,25.12,25.47,946,153098
2015-03-10,25.19,25.0,24.8,24.95,1282,283003
2015-03-11,25.25,25.11,25.0,25.0,849,186639
2015-03-12,25.73,25.49,25.01,25.12,1241,220484
2015-03-13,25.2,24.77,24.43,25.17,2135,501259
2015-03-16,25.31,25.31,24.81,24.93,1143,216051
2015-03-17,25.6,25.6,24.91,25.18,1007,170054
2015-03-18,25.84,25.19,25.1,25.45,1197,206497
2015-03-19,25.19,24.8,24.5,25.0,1567,288901
2015-03-20,25.02,24.8,24.74,24.78,1622,3090607
2015-03-23,25.24,24.76,24.58,24.85,3295,796155
2015-03-24,24.92,24.32,24.24,24.7,1838,629154
2015-03-25,24.43,24.0,23.84,24.23,3946,1031656
2015-03-26,24.29,24.12,23.83,24.1,7906,9378645
2015-03-27,24.54,24.48,24.1,24.11,3237,1201070
2015-03-30,24.68,24.32,24.16,24.5,2392,843903
2015-03-31,24.28,24.13,24.04,24.22,1345,624780
