Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-09-16,9.76,9.76,9.65,9.65,4,600
2019-09-18,9.72,9.72,9.69,9.69,1,100
2019-09-20,9.85,9.85,9.85,9.85,,
2019-09-26,9.85,9.85,9.85,9.85,,
2019-09-27,9.7,9.66,9.66,9.7,2,400
2019-09-30,9.71,9.71,9.7,9.7,2,300
2019-10-07,9.68,9.68,9.68,9.68,,
2019-10-10,9.66,9.65,9.65,9.66,11,1200
2019-10-11,9.7,9.7,9.7,9.7,,
2019-10-15,9.75,9.735,9.735,9.75,1,400
2019-10-16,9.75,9.75,9.75,9.75,1,100
2019-10-17,9.71,9.71,9.7,9.7,1,100000
2019-10-21,9.75,9.75,9.75,9.75,2,400
2019-10-23,9.75,9.75,9.74,9.74,3,600
2019-10-24,9.75,9.75,9.75,9.75,1,117
2019-10-31,9.73,9.73,9.72,9.72,10,603000
2019-11-04,9.73,9.73,9.73,9.73,1,100
2019-11-05,9.74,9.74,9.72,9.72,7,251800
2019-11-06,9.72,9.72,9.72,9.72,,
2019-11-12,9.74,9.74,9.74,9.74,,
2019-11-14,9.79,9.77,9.7,9.7,7,640
2019-11-15,9.77,9.77,9.77,9.77,4,369
2019-11-18,9.79,9.79,9.77,9.77,2,10100
2019-11-20,9.79,9.79,9.7,9.7,2,207
2019-11-29,9.76,9.76,9.76,9.76,1,145
2019-12-05,9.8,9.8,9.8,9.8,1,1000
2019-12-13,9.86,9.82,9.82,9.82,2,1100
2019-12-16,9.82,9.82,9.82,9.82,1,119
2019-12-17,9.8,9.8,9.8,9.8,,
2020-01-06,9.82,9.82,9.82,9.82,1,1000
2020-01-08,9.95,9.95,9.83,9.9,6,1516
2020-01-09,9.94,9.94,9.94,9.94,,
2020-01-13,9.94,9.93,9.93,9.93,2,500
2020-01-17,9.92,9.88,9.87,9.87,2,200
2020-01-21,9.92,9.92,9.92,9.92,,
2020-01-22,9.92,9.92,9.92,9.92,,
2020-01-23,9.99,9.92,9.92,9.99,2,200
2020-01-27,9.92,9.92,9.92,9.92,1,199998
2020-01-28,9.92,9.92,9.92,9.92,,
2020-01-30,10.02,9.92,9.92,10.02,5,1186
2020-01-31,10.12,10.0,10.0,10.12,4,300
2020-02-03,10.4,9.92,9.92,10.4,3,143
2020-02-04,9.95,9.95,9.9,9.9,3,215
2020-02-05,,,,,1,2
2020-02-06,9.935,9.935,9.85,9.85,2,102
2020-02-10,10.08,10.08,10.08,10.08,2,196
2020-02-11,,,,,1,10
2020-02-12,10.08,10.08,10.08,10.08,1,100
2020-02-13,10.08,10.08,10.08,10.08,3,191
2020-02-14,10.08,10.08,10.08,10.08,4,79
2020-02-18,,,,,1,2
2020-02-19,10.08,10.08,10.08,10.08,2,105
2020-02-20,,,,,3,12
2020-02-21,10.09,10.09,10.09,10.09,1,100
2020-02-24,10.49,9.98,9.98,10.49,2,34
2020-02-26,9.97,9.97,9.96,9.96,1,100
2020-02-27,9.96,9.96,9.96,9.96,,
2020-02-28,9.97,9.97,9.92,9.92,1,100
2020-03-02,9.98,9.98,9.98,9.98,2,200
2020-03-03,9.98,9.98,9.98,9.98,2,105
2020-03-05,9.97,9.97,9.95,9.95,2,41
2020-03-06,,,,,1,4
2020-03-09,9.77,9.77,9.77,9.77,1,100
2020-03-10,9.84,9.83,9.79,9.79,2,234
2020-03-11,9.89,9.89,9.89,9.89,,
2020-03-12,9.9,9.9,9.9,9.9,3,134
2020-03-13,9.9,9.75,9.75,9.9,7,27136
2020-03-16,9.74,9.6,9.6,9.74,1,5
2020-03-17,9.63,9.6,9.6,9.63,4,3658
2020-03-18,9.7163,9.7163,9.7163,9.7163,,
2020-03-23,9.39,9.38,9.38,9.39,3,10975
2020-03-26,9.565,9.565,9.43,9.43,8,801
2020-03-27,,,,,1,2
2020-03-30,9.8031,9.8031,9.8031,9.8031,,
2020-03-31,9.65,9.65,9.65,9.65,,
2020-04-02,9.65,9.65,9.65,9.65,,
2020-04-03,9.74,9.74,9.69,9.69,2,400
2020-04-06,9.76,9.76,9.61,9.61,4,400
2020-04-08,9.73,9.73,9.73,9.73,,
2020-04-09,9.73,9.69,9.69,9.69,5,32228
2020-04-13,9.75,9.735,9.735,9.75,1,100
2020-04-15,9.7,9.7,9.7,9.7,1,100
2020-04-20,9.82,9.81,9.81,9.82,1,100
2020-04-21,9.75,9.75,9.75,9.75,1,100
2020-04-22,9.78,9.7772,9.7772,9.78,1,509
2020-04-23,9.85,9.7,9.7,9.85,13,13883
2020-04-24,9.785,9.785,9.75,9.76,6,5611
2020-04-27,9.77,9.77,9.75,9.76,3,510
2020-04-28,9.78,9.78,9.77,9.77,1,25
2020-05-01,9.84,9.8,9.76,9.76,6,419
2020-05-04,9.84,9.84,9.84,9.84,2,119
2020-05-05,9.85,9.8,9.8,9.84,5,705
2020-05-06,9.85,9.8,9.8,9.85,4,618
2020-05-07,9.8,9.8,9.8,9.8,1,100
2020-05-08,9.8499,9.8499,9.73,9.73,4,307
2020-05-11,,,,,3,66
2020-05-13,9.85,9.85,9.85,9.85,5,1822
2020-05-15,9.85,9.85,9.85,9.85,,
2020-05-18,9.87,9.85,9.85,9.87,27,3502
2020-05-19,9.85,9.85,9.85,9.85,,
2020-05-21,9.85,9.85,9.75,9.75,3,300
2020-05-26,9.811,9.811,9.77,9.77,1,81
2020-05-28,9.85,9.85,9.85,9.85,,
2020-05-29,9.85,9.85,9.85,9.85,,
2020-06-01,9.85,9.85,9.85,9.85,,
2020-06-02,9.84,9.84,9.84,9.84,1,100
2020-06-03,,,,,1,81
2020-06-04,9.86,9.86,9.75,9.75,5,798
2020-06-05,9.83,9.83,9.83,9.83,,
2020-06-08,,,,,1,7
2020-06-10,9.86,9.86,9.86,9.86,2,1761
2020-06-11,9.86,9.82,9.82,9.86,1,100
2020-06-12,9.84,9.83,9.83,9.83,4,2300
2020-06-16,9.92,9.83,9.83,9.92,2,500
2020-06-19,9.95,9.95,9.95,9.95,,
2020-06-22,10.0,10.0,10.0,10.0,,
2020-06-23,10.03,10.03,9.98,9.98,2,200
2020-06-24,10.0199,10.0199,10.0199,10.0199,,
2020-06-25,9.96,9.96,9.96,9.96,,
2020-06-26,9.97,9.96,9.95,9.95,3,311
2020-06-29,10.05,10.04,10.04,10.05,5,25377
2020-06-30,10.047,10.047,9.99,9.99,1,100
2020-07-01,10.07,10.0587,10.0587,10.07,8,71
2020-07-02,9.99,9.945,9.945,9.99,2,200
2020-07-06,10.09,9.985,9.985,10.09,7,900
2020-07-09,10.11,10.1,9.94,9.94,12,9708
2020-07-10,10.08,10.08,10.08,10.08,7,5300
2020-07-13,10.1,10.06,10.05,10.05,6,2894
2020-07-14,10.1,10.04,10.04,10.07,7,37602
2020-07-15,10.1,10.08,10.08,10.1,7,2349
2020-07-16,10.05,10.05,10.04,10.04,2,130
2020-07-17,10.1,10.1,10.0,10.0,6,612
