Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-02-10,15.0,13.5,13.5,15.0,995,715605
2017-02-13,13.74,13.5,13.5,13.5,162,60024
2017-02-14,13.6,13.51,13.28,13.52,234,118767
2017-02-15,13.75,13.58,13.57,13.64,87,35715
2017-02-16,13.55,13.5,13.5,13.55,22,15612
2017-02-17,13.531,13.51,13.5,13.5,72,7355
2017-02-21,13.58,13.54,13.51,13.51,34,5881
2017-02-22,13.65,13.65,13.52,13.55,25,2865
2017-02-23,13.97,13.95,13.68,13.83,81,12018
2017-02-24,14.24,14.04,13.84,13.84,51,10122
2017-02-27,14.08,14.02,13.86,14.05,39,8185
2017-02-28,14.09,13.6,13.5,13.99,107,29124
2017-03-01,13.74,13.72,13.52,13.63,66,10306
2017-03-02,13.69,13.51,13.5,13.69,37,23496
2017-03-03,13.59,13.51,13.51,13.58,22,5238
2017-03-06,13.6,13.52,13.51,13.51,27,10068
2017-03-07,13.66,13.5,13.5,13.51,69,44558
2017-03-08,13.51,13.5,13.4,13.5,90,64307
2017-03-09,13.45,13.3,13.3,13.45,76,38627
2017-03-10,13.55,13.51,13.35,13.35,30,15090
2017-03-13,13.6,13.57,13.49,13.51,69,17593
2017-03-14,13.58,13.58,13.41,13.53,43,9031
2017-03-15,13.55,13.52,13.4,13.55,72,7980
2017-03-16,13.91,13.91,13.5,13.5,69,11099
2017-03-17,13.92,13.25,13.25,13.78,179,176825
2017-03-20,13.5,13.5,13.33,13.33,131,27268
2017-03-21,13.5,13.4,13.39,13.45,41,7612
2017-03-22,13.51,13.5,13.4,13.4,31,3358
2017-03-23,13.55,13.49,13.45,13.55,41,4398
2017-03-24,13.55,13.5,13.4,13.55,49,4943
2017-03-27,13.54,13.51,13.3,13.3,55,7431
2017-03-28,13.54,13.39,13.39,13.46,38,6203
2017-03-29,13.48,13.4,13.39,13.4,51,5619
2017-03-30,13.53,13.41,13.3,13.31,155,20004
2017-03-31,13.41,12.82,12.75,13.41,246,333099
2017-04-03,13.25,13.25,12.93,12.97,179,25300
2017-04-04,13.37,13.37,13.24,13.25,122,18355
2017-04-05,13.27,12.9,12.87,13.27,80,18666
2017-04-06,12.93,12.79,12.7,12.7,84,8977
2017-04-07,12.9,12.7,12.7,12.8,154,32185
2017-04-10,12.61,12.28,12.28,12.61,95,12059
2017-04-11,12.38,11.81,11.51,12.38,175,25545
2017-04-12,11.75,11.31,11.23,11.75,108,20869
2017-04-13,11.4,11.14,10.9,11.4,168,32404
2017-04-17,11.32,11.3,11.1,11.17,75,10147
2017-04-18,11.34,11.29,11.2,11.255,140,18813
2017-04-19,11.2,10.96,10.83,11.08,233,29677
2017-04-20,11.28,11.24,10.75,10.8,159,27637
2017-04-21,11.45,11.07,11.06,11.2,136,19979
2017-04-24,11.19,11.0,10.95,11.04,169,16495
2017-04-25,11.3,10.99,10.92,11.0,242,37784
2017-04-26,11.18,10.98,10.7,10.94,159,22946
2017-04-27,11.04,10.82,10.72,11.01,120,15014
2017-04-28,11.05,11.0,10.82,10.82,60,9035
2017-05-01,11.24,11.23,11.05,11.08,103,14263
2017-05-02,11.29,11.16,11.1,11.29,84,6719
2017-05-03,11.22,11.01,10.97,11.05,160,19245
2017-05-04,11.0,10.76,10.75,10.99,108,13153
2017-05-05,10.78,10.66,10.6,10.7,147,26438
2017-05-08,10.73,10.66,10.6,10.67,175,24100
2017-05-09,10.6,10.47,10.39,10.57,129,12929
2017-05-10,10.66,10.62,10.17,10.37,171,16967
2017-05-11,10.83,10.75,10.48,10.56,122,10098
2017-05-12,10.83,10.71,10.7,10.73,70,9580
2017-05-15,11.24,11.05,10.81,10.81,130,14328
2017-05-16,11.09,10.89,10.75,11.02,82,9904
2017-05-17,10.73,10.43,10.32,10.65,109,12938
2017-05-18,10.7,10.63,10.4,10.4,171,14524
2017-05-19,10.57,10.47,10.36,10.57,113,12249
2017-05-22,10.94,10.91,10.47,10.47,50,6030
2017-05-23,10.92,10.54,10.44,10.76,231,16093
2017-05-24,10.86,10.76,10.52,10.52,48,6441
2017-05-25,10.96,10.83,10.75,10.75,76,8993
2017-05-26,10.91,10.91,10.8,10.84,76,8900
2017-05-30,10.91,10.62,10.6,10.91,68,6345
2017-05-31,10.76,10.64,10.59,10.59,25,2142
2017-06-01,11.1,11.0,10.67,10.67,67,8353
2017-06-02,11.32,11.22,10.98,11.15,165,10182
2017-06-05,11.5,11.47,11.15,11.15,76,5024
2017-06-06,11.54,11.51,11.35,11.37,48,6738
2017-06-07,11.54,11.48,11.34,11.54,68,7858
2017-06-08,11.72,11.7,11.36,11.38,135,12543
2017-06-09,11.51,11.47,11.21,11.34,224,17829
2017-06-12,12.6,12.55,11.381,11.4,274,26180
2017-06-13,12.4,12.35,12.0,12.4,151,21437
2017-06-14,12.9,12.77,12.4,12.4,195,30775
2017-06-15,12.96,12.74,12.66,12.8,119,13075
2017-06-16,12.99,12.88,12.6,12.6,170,283881
2017-06-19,12.85,12.78,12.62,12.85,98,8777
2017-06-20,12.83,12.28,12.25,12.83,167,7772
2017-06-21,12.76,12.72,12.28,12.28,108,7991
2017-06-22,12.85,12.37,11.92,12.82,230,24407
2017-06-23,12.78,12.5,12.1,12.48,392,679938
2017-06-26,12.88,12.52,12.3,12.38,198,26421
2017-06-27,12.8,12.25,12.22,12.57,169,15352
2017-06-28,12.71,12.51,12.02,12.33,170,23531
2017-06-29,12.76,12.5,12.4,12.45,170,15628
2017-06-30,12.63,12.34,12.34,12.53,195,22940
2017-07-03,12.61,12.41,12.14,12.37,186,17234
2017-07-05,12.47,12.37,12.18,12.44,222,16311
2017-07-06,12.29,12.22,12.0,12.29,67,8710
2017-07-07,12.21,12.19,11.96,12.21,100,7075
2017-07-10,12.43,12.06,12.01,12.15,95,7921
2017-07-11,12.16,11.69,11.6,12.16,154,13749
2017-07-12,12.19,12.1,11.75,11.79,142,14326
2017-07-13,12.08,12.02,11.93,12.08,92,7728
2017-07-14,12.05,11.94,11.9,12.0,103,8158
2017-07-17,12.05,12.0,11.9,11.91,69,13977
2017-07-18,12.06,11.99,11.94,11.95,103,14257
2017-07-19,12.05,11.97,11.88,11.99,41,4787
2017-07-20,12.0,11.98,11.84,11.9,113,9592
2017-07-21,12.15,11.91,11.86,12.15,63,16792
2017-07-24,12.03,11.97,11.91,11.95,95,9151
2017-07-25,12.04,12.01,11.95,12.0,48,6769
2017-07-26,12.0,11.94,11.9,12.0,45,3944
2017-07-27,12.02,11.82,11.82,11.96,97,6052
2017-07-28,11.89,11.55,11.55,11.8,73,11101
2017-07-31,11.58,11.2,11.15,11.58,58,8386
2017-08-01,11.26,10.95,10.59,11.26,75,10461
2017-08-02,10.94,10.77,10.57,10.94,80,9704
2017-08-03,11.0,10.63,10.62,10.67,86,11281
2017-08-04,10.75,10.54,10.5,10.65,61,10163
2017-08-07,10.55,10.48,10.11,10.52,108,11163
2017-08-08,10.8,10.45,10.41,10.42,157,25180
2017-08-09,10.44,10.29,10.25,10.44,66,9567
2017-08-10,10.31,10.19,10.18,10.29,65,13504
2017-08-11,10.23,9.98,9.98,10.23,97,14782
2017-08-14,10.51,10.42,10.02,10.02,106,11580
2017-08-15,10.45,10.41,10.25,10.42,89,8046
2017-08-16,10.55,10.4,10.3,10.4,75,9048
2017-08-17,10.83,10.59,10.32,10.32,176,25044
2017-08-18,10.65,10.54,10.47,10.5,61,14291
2017-08-21,10.58,10.56,10.48,10.53,103,6774
2017-08-22,11.21,11.16,10.5,10.57,124,17398
2017-08-23,11.49,11.21,11.1,11.1,104,13016
2017-08-24,11.2,11.04,11.03,11.18,66,6775
2017-08-25,11.07,11.0,10.9,11.07,35,4801
2017-08-28,11.44,11.43,11.04,11.04,77,8199
2017-08-29,11.55,11.17,10.99,11.45,91,12294
2017-08-30,11.23,11.13,11.0,11.16,35,4464
2017-08-31,11.21,11.16,11.01,11.15,83,12991
2017-09-01,11.12,11.1,11.02,11.12,42,5308
2017-09-05,11.5,11.0,10.99,11.14,120,16985
2017-09-06,11.47,11.1,11.01,11.25,71,9252
2017-09-07,11.35,10.84,10.65,11.15,139,17100
2017-09-08,11.16,10.93,10.75,10.9,86,11023
2017-09-11,11.1,10.92,10.86,11.05,112,15165
2017-09-12,11.22,10.95,10.85,10.87,132,12274
2017-09-13,11.23,10.98,10.94,11.04,122,29808
2017-09-14,11.37,11.25,10.97,10.97,164,39742
2017-09-15,11.63,10.76,10.72,11.36,137,226539
2017-09-18,11.33,11.16,10.76,10.9,193,53422
2017-09-19,11.2,10.81,10.81,11.15,99,25655
2017-09-20,11.08,10.77,10.7,10.79,100,15053
2017-09-21,10.86,10.56,10.56,10.69,47,7238
2017-09-22,10.6,10.41,10.39,10.6,119,15685
2017-09-25,10.63,10.59,10.27,10.34,87,14754
2017-09-26,10.78,10.75,10.53,10.53,88,9445
2017-09-27,11.33,11.22,10.54,10.87,212,33216
2017-09-28,11.22,10.96,10.69,11.22,85,12529
2017-09-29,10.95,10.71,10.63,10.92,290,13635
2017-10-02,10.98,10.97,10.71,10.71,70,9000
2017-10-03,10.99,10.88,10.85,10.99,81,13104
2017-10-04,10.98,10.87,10.83,10.83,46,5350
2017-10-05,11.07,10.91,10.85,10.89,73,7602
2017-10-06,11.01,10.96,10.59,10.89,56,5985
2017-10-09,11.65,11.4,11.16,11.16,201,41334
2017-10-10,11.58,11.56,11.38,11.48,156,19676
2017-10-11,11.59,11.54,11.5,11.55,124,12943
2017-10-12,11.56,11.48,11.43,11.53,122,9935
2017-10-13,11.52,11.51,11.43,11.5,87,6809
2017-10-16,11.53,11.5,11.4,11.5,122,10296
2017-10-17,11.6,11.48,11.2,11.58,144,16644
2017-10-18,11.53,11.4,11.4,11.53,42,4095
2017-10-19,11.44,11.44,11.35,11.38,63,6276
2017-10-20,11.5,11.35,11.33,11.49,166,18230
2017-10-23,11.35,10.92,10.91,11.35,78,6333
2017-10-24,11.03,10.91,10.9,11.03,54,6462
2017-10-25,11.02,11.02,10.88,10.88,75,7452
2017-10-26,11.38,11.11,10.95,11.1,171,15633
2017-10-27,11.04,10.76,10.72,11.03,98,13674
2017-10-30,10.82,10.8,10.66,10.75,153,22586
2017-10-31,10.9,10.87,10.8,10.8,81,15654
2017-11-01,11.12,10.85,10.85,10.95,93,8153
2017-11-02,11.0,10.98,10.85,10.85,51,7524
2017-11-03,11.08,11.0,10.879,11.0,123,28940
2017-11-06,11.08,10.71,10.5,11.08,105,13405
2017-11-07,10.84,10.66,10.59,10.7,149,13373
2017-11-08,10.82,10.79,10.55,10.59,89,11529
2017-11-09,11.21,11.05,10.77,10.82,131,18321
2017-11-10,11.19,11.0,10.96,11.16,66,8873
2017-11-13,10.96,10.59,10.55,10.96,56,6371
2017-11-14,10.55,9.86,9.66,10.55,395,46227
2017-11-15,9.98,9.65,9.45,9.83,107,19046
2017-11-16,9.91,9.89,9.59,9.73,109,10492
