Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,35.92,35.92,35.07,35.19,2002,623088
2013-01-03,36.0,35.99,35.59,35.91,1809,553325
2013-01-04,36.0,35.68,35.34,35.99,1859,565717
2013-01-07,35.67,35.5,35.25,35.61,1986,744762
2013-01-08,35.49,34.99,34.97,35.44,1592,592531
2013-01-09,35.22,35.21,34.96,35.09,1415,509904
2013-01-10,35.51,35.31,35.18,35.25,1635,493553
2013-01-11,35.38,35.22,34.84,35.21,1744,482741
2013-01-14,35.59,35.53,35.2,35.2,1024,323465
2013-01-15,35.88,35.66,35.32,35.53,1614,414781
2013-01-16,35.84,35.71,35.53,35.57,1104,327065
2013-01-17,36.32,36.12,35.78,35.78,1408,442734
2013-01-18,36.3,36.29,35.94,36.18,735,800593
2013-01-22,36.44,36.44,36.05,36.29,934,282332
2013-01-23,36.59,36.36,36.32,36.36,1055,306247
2013-01-24,36.54,36.42,36.2,36.33,1144,440774
2013-01-25,36.64,36.53,36.37,36.5,1242,460102
2013-01-28,36.52,36.25,36.1,36.46,1192,338120
2013-01-29,36.4,36.16,36.11,36.2,1105,328485
2013-01-30,36.55,36.54,36.11,36.21,1669,484847
2013-01-31,36.86,36.71,36.54,36.54,1561,566412
2013-02-01,36.9,36.79,36.67,36.79,1444,406169
2013-02-04,36.75,36.55,36.49,36.61,1128,357859
2013-02-05,36.94,36.87,36.66,36.66,1028,306424
2013-02-06,37.14,37.09,36.68,36.72,1532,370555
2013-02-07,37.45,37.38,37.06,37.09,2025,449053
2013-02-08,38.34,37.93,37.37,37.37,2953,836443
2013-02-11,38.33,38.12,37.97,37.97,1776,471712
2013-02-12,38.41,38.26,37.92,38.07,1506,519144
2013-02-13,38.42,38.18,38.09,38.24,1116,344893
2013-02-14,40.53,38.72,38.72,39.0,5435,1692823
2013-02-15,39.42,39.4,38.84,39.02,2267,865806
2013-02-19,40.18,40.0,39.5,39.5,2050,628733
2013-02-20,40.27,40.01,39.84,40.04,1943,571120
2013-02-21,40.17,39.67,39.41,40.0,2780,707299
2013-02-22,40.13,40.13,39.6,39.66,1187,369265
2013-02-25,40.47,39.98,39.97,40.21,1752,515495
2013-02-26,40.55,40.38,39.93,40.1,2137,674606
2013-02-27,40.74,40.62,40.18,40.3,1628,405659
2013-02-28,41.52,41.16,40.55,40.59,2596,890229
2013-03-01,42.16,42.11,41.08,41.23,2876,805319
2013-03-04,42.03,41.77,41.66,42.01,2205,724281
2013-03-05,42.04,41.69,41.62,41.96,2648,678039
2013-03-06,41.92,41.41,41.22,41.75,2185,705893
2013-03-07,41.81,41.41,41.36,41.5,1959,597539
2013-03-08,41.66,41.38,41.11,41.58,1712,450959
2013-03-11,41.71,41.5,41.39,41.44,1252,358387
2013-03-12,41.61,41.52,41.28,41.4,1080,285694
2013-03-13,41.9,41.84,41.45,41.53,938,409687
2013-03-14,41.949,41.88,41.66,41.85,892,379529
2013-03-15,41.75,41.61,41.46,41.63,1926,1080159
2013-03-18,41.9,41.8,41.21,41.41,1029,280381
2013-03-19,42.22,42.19,41.8,41.9,1222,280816
2013-03-20,43.05,42.95,42.22,42.22,1650,521940
2013-03-21,42.83,42.7,42.45,42.78,1137,287300
2013-03-22,43.45,43.35,42.77,42.83,1256,354203
