Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-12-22,19.0,16.59,16.59,18.0,12,4963
2014-12-23,16.65,16.54,16.3,16.51,44,10077
2014-12-24,16.63,16.37,16.09,16.36,78,23567
2014-12-26,16.38,16.15,16.07,16.32,137,32626
2014-12-29,16.05,15.9,15.6,15.6,109,43457
2014-12-30,15.95,15.9,15.79,15.79,91,37876
2014-12-31,15.92,15.42,15.42,15.79,82,78187
2015-01-02,15.64,15.36,15.2,15.45,91,38681
2015-01-05,15.24,15.22,15.06,15.19,92,36431
2015-01-06,15.4,15.21,15.08,15.4,77,24410
2015-01-07,15.49,15.41,15.27,15.43,84,27798
2015-01-08,15.65,15.55,15.5,15.5,71,26462
2015-01-09,15.66,15.41,15.41,15.66,54,12810
2015-01-12,15.45,15.27,15.25,15.45,133,26818
2015-01-13,15.52,15.17,15.05,15.43,87,29887
2015-01-14,15.12,15.04,14.93,15.04,72,33286
2015-01-15,15.16,15.0,14.97,15.16,106,44006
2015-01-16,15.35,15.34,15.08,15.08,114,19935
2015-01-20,15.42,15.29,15.2,15.42,45,14943
2015-01-21,15.4,15.35,15.22,15.32,49,23426
2015-01-22,15.63,15.59,15.36,15.4,99,43406
2015-01-23,15.6,15.5,15.5,15.59,190,53047
2015-01-26,15.56,15.55,15.46,15.48,75,25196
2015-01-27,15.4,15.36,15.26,15.4,53,14812
2015-01-28,15.49,15.28,15.25,15.49,75,17664
2015-01-29,15.41,15.41,15.24,15.28,45,14873
2015-01-30,15.39,15.21,15.21,15.24,21,11580
2015-02-02,15.3,15.29,15.13,15.3,44,12640
2015-02-03,15.49,15.41,15.36,15.37,41,12076
2015-02-04,15.48,15.39,15.39,15.41,57,15993
2015-02-05,15.59,15.56,15.41,15.41,17,9443
2015-02-06,15.63,15.55,15.52,15.6,45,20914
2015-02-09,15.55,15.48,15.48,15.55,50,25844
2015-02-10,15.63,15.59,15.5,15.5,44,14860
2015-02-11,15.65,15.65,15.51,15.59,64,14795
2015-02-12,15.7,15.69,15.64,15.64,87,17955
2015-02-13,15.69,15.67,15.61,15.66,122,20447
2015-02-17,15.72,15.64,15.6,15.67,52,17605
2015-02-18,15.66,15.61,15.55,15.66,47,14466
2015-02-19,15.64,15.55,15.51,15.6,44,15886
2015-02-20,15.6,15.58,15.44,15.44,84,20181
2015-02-23,15.6,15.6,15.51,15.51,50,18018
2015-02-24,15.72,15.72,15.48,15.48,62,35427
2015-02-25,15.75,15.72,15.7,15.72,31,15969
2015-02-26,15.76,15.73,15.68,15.7,143,19672
2015-02-27,15.76,15.67,15.66,15.69,71,23086
2015-03-02,15.77,15.77,15.69,15.74,76,18561
2015-03-03,15.77,15.73,15.66,15.77,26,16546
2015-03-04,15.75,15.73,15.61,15.75,36,17110
2015-03-05,15.78,15.73,15.73,15.74,29,16073
2015-03-06,15.71,15.55,15.54,15.71,68,22121
2015-03-09,15.67,15.66,15.59,15.59,43,11856
2015-03-10,15.61,15.44,15.41,15.51,74,19312
2015-03-11,15.29,15.15,15.14,15.29,63,19323
2015-03-12,15.48,15.34,15.13,15.15,63,17226
2015-03-13,15.34,15.25,15.15,15.26,99,30213
2015-03-16,15.46,15.46,15.22,15.35,52,10908
2015-03-17,15.32,15.3,15.22,15.32,77,17906
2015-03-18,15.39,15.39,15.15,15.15,48,18660
2015-03-19,15.4,15.39,15.26,15.37,60,17005
2015-03-20,15.48,15.39,15.34,15.34,51,15292
2015-03-23,15.43,15.34,15.3,15.3,71,15561
2015-03-24,15.38,15.25,15.25,15.32,40,11900
2015-03-25,15.3,15.08,15.05,15.3,50,14715
2015-03-26,15.13,15.12,15.0,15.03,44,11316
2015-03-27,15.2,15.15,15.12,15.12,47,11316
2015-03-30,15.35,15.35,15.2,15.2,45,14320
2015-03-31,15.36,15.17,15.17,15.36,100,56396
2015-04-01,15.25,15.11,15.04,15.25,54,24487
2015-04-02,15.149,15.09,14.98,14.98,99,58131
