Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,9.58,9.58,9.44,9.46,93,51801
2013-01-03,9.71,9.65,9.64,9.65,67,32903
2013-01-04,9.76,9.71,9.66,9.75,104,34303
2013-01-07,9.8,9.8,9.72,9.74,116,31171
2013-01-08,9.81,9.8,9.77,9.81,72,23812
2013-01-09,9.86,9.86,9.8,9.8,80,24214
2013-01-10,9.82,9.8,9.78,9.8,68,50396
2013-01-11,9.81,9.73,9.72,9.81,36,10232
2013-01-14,9.75,9.67,9.64,9.75,96,36969
2013-01-15,9.68,9.56,9.56,9.66,50,32191
2013-01-16,9.56,9.56,9.38,9.55,195,49159
2013-01-17,9.6,9.56,9.55,9.57,47,18372
2013-01-18,9.62,9.61,9.57,9.57,59,11572
2013-01-22,9.63,9.62,9.57,9.61,69,15101
2013-01-23,9.69,9.69,9.63,9.63,47,9418
2013-01-24,9.71,9.71,9.67,9.71,28,12201
2013-01-25,9.69,9.67,9.63,9.69,46,24330
2013-01-28,9.68,9.45,9.43,9.66,137,34525
2013-01-29,9.5,9.4,9.38,9.41,77,26737
2013-01-30,9.44,9.44,9.38,9.38,59,15738
2013-01-31,9.47,9.45,9.41,9.47,33,13408
2013-02-01,9.52,9.51,9.45,9.46,84,34091
2013-02-04,9.47,9.47,9.42,9.46,51,12780
2013-02-05,9.5,9.48,9.44,9.48,90,17567
2013-02-06,9.51,9.51,9.47,9.47,22,6579
2013-02-07,9.51,9.49,9.48,9.48,21,7661
2013-02-08,9.55,9.55,9.5,9.51,44,35358
2013-02-11,9.51,9.46,9.44,9.5,57,25264
2013-02-12,9.47,9.47,9.45,9.47,15,10379
2013-02-13,9.5,9.43,9.41,9.5,19,14770
2013-02-14,9.42,9.32,9.3,9.42,114,28156
2013-02-15,9.32,9.27,9.26,9.31,53,18458
2013-02-19,9.3,9.29,9.26,9.26,102,31722
2013-02-20,9.28,9.26,9.25,9.28,57,14238
2013-02-21,9.34,9.33,9.28,9.28,21,14409
2013-02-22,9.35,9.31,9.26,9.34,65,18939
2013-02-25,9.32,9.28,9.27,9.31,79,25741
2013-02-26,9.29,9.28,9.25,9.29,47,20775
2013-02-27,9.36,9.36,9.3,9.3,62,23756
2013-02-28,9.41,9.39,9.34,9.41,31,25964
2013-03-01,9.43,9.43,9.37,9.39,50,13809
2013-03-04,9.46,9.45,9.38,9.4,90,30853
2013-03-05,9.45,9.38,9.37,9.45,90,22310
2013-03-06,9.4,9.37,9.35,9.4,48,24749
2013-03-07,9.37,9.37,9.32,9.36,50,29171
2013-03-08,9.43,9.41,9.31,9.35,57,22440
2013-03-11,9.38,9.27,9.23,9.38,75,28010
2013-03-12,9.23,9.12,9.07,9.23,110,37575
2013-03-13,9.14,9.09,9.07,9.14,55,29072
2013-03-14,9.1,8.81,8.76,9.1,499,180686
2013-03-15,8.8,8.71,8.53,8.8,398,122203
2013-03-18,8.94,8.91,8.61,8.61,146,63616
2013-03-19,8.98,8.98,8.84,8.94,96,40074
2013-03-20,9.05,9.04,8.97,8.97,71,32696
2013-03-21,9.09,9.05,8.96,9.03,89,34954
2013-03-22,9.04,9.0,8.98,9.04,33,20367
2013-03-25,9.01,8.96,8.91,8.99,96,32983
2013-03-26,8.97,8.95,8.91,8.95,93,31584
2013-03-27,9.01,8.99,8.93,8.93,68,28759
2013-03-28,9.05,9.04,8.99,8.99,37,29034
2013-04-01,9.11,9.06,9.04,9.04,41,23859
2013-04-02,9.09,9.07,9.04,9.08,36,23734
2013-04-03,9.06,9.05,9.01,9.06,42,30504
2013-04-04,9.07,9.04,9.03,9.03,39,21905
2013-04-05,9.16,9.14,9.07,9.07,66,20390
2013-04-08,9.17,9.13,9.08,9.15,43,17030
2013-04-09,9.17,9.16,9.1,9.14,25,20222
2013-04-10,9.14,9.11,9.04,9.04,47,52216
2013-04-11,9.08,9.08,9.04,9.07,63,31477
2013-04-12,9.14,9.12,9.06,9.06,34,26660
2013-04-15,9.13,9.08,9.08,9.1,34,21725
2013-04-16,9.1,9.06,9.06,9.1,42,26240
2013-04-17,9.14,9.12,9.1,9.1,66,13856
2013-04-18,9.18,9.15,9.11,9.11,46,15213
2013-04-19,9.16,9.14,9.11,9.11,24,16056
2013-04-22,9.23,9.23,9.16,9.17,53,24046
2013-04-23,9.29,9.28,9.25,9.26,64,17863
2013-04-24,9.29,9.28,9.22,9.29,27,16497
2013-04-25,9.28,9.25,9.22,9.22,46,21658
2013-04-26,9.32,9.32,9.21,9.21,49,26163
2013-04-29,9.39,9.36,9.28,9.28,99,29337
2013-04-30,9.42,9.36,9.31,9.35,83,24244
2013-05-01,9.39,9.39,9.3,9.35,70,33691
2013-05-02,9.4,9.35,9.34,9.34,27,18695
2013-05-03,9.38,9.31,9.27,9.34,38,21561
2013-05-06,9.31,9.27,9.27,9.29,59,25126
2013-05-07,9.34,9.34,9.26,9.26,68,29052
2013-05-08,9.36,9.34,9.3,9.31,35,19409
2013-05-09,9.35,9.3,9.3,9.33,31,19633
2013-05-10,9.37,9.32,9.3,9.3,43,18381
2013-05-13,9.29,9.13,9.12,9.29,98,33282
2013-05-14,9.13,9.07,9.05,9.08,103,29827
2013-05-15,9.07,9.01,8.98,9.06,85,36531
2013-05-16,9.06,8.98,8.98,9.0,80,23507
2013-05-17,9.07,9.07,9.0,9.0,57,19306
2013-05-20,9.18,9.18,9.07,9.08,89,24183
2013-05-21,9.19,9.1,9.06,9.19,28,17185
2013-05-22,9.13,9.08,9.07,9.08,25,15022
2013-05-23,9.1,9.01,9.01,9.08,74,18846
2013-05-24,9.03,8.94,8.91,9.01,73,38331
2013-05-28,8.98,8.87,8.84,8.97,119,37831
2013-05-29,8.85,8.67,8.63,8.85,133,51048
2013-05-30,8.76,8.63,8.61,8.65,108,50924
2013-05-31,8.67,8.56,8.55,8.63,147,59096
2013-06-03,8.54,8.35,8.31,8.54,235,67718
2013-06-04,8.42,8.4,8.23,8.33,232,68114
2013-06-05,8.5,8.47,8.42,8.43,82,29887
2013-06-06,8.63,8.63,8.46,8.46,130,64532
2013-06-07,8.64,8.62,8.55,8.62,98,31370
2013-06-10,8.61,8.5,8.46,8.61,199,44925
2013-06-11,8.4,8.31,8.26,8.4,121,35075
2013-06-12,8.3,8.08,8.05,8.3,261,69183
2013-06-13,8.16,8.09,8.01,8.03,202,47164
2013-06-14,8.23,8.23,8.11,8.13,107,34710
2013-06-17,8.22,8.16,8.14,8.22,86,20274
2013-06-18,8.11,8.08,8.03,8.11,88,32189
2013-06-19,8.08,8.05,8.02,8.02,49,22761
2013-06-20,8.01,7.9,7.85,8.01,241,83802
2013-06-21,7.95,7.86,7.79,7.86,120,51726
2013-06-24,7.82,7.75,7.57,7.81,183,52769
2013-06-25,7.88,7.78,7.63,7.88,197,58886
2013-06-26,8.05,8.0,7.81,7.81,126,49011
2013-06-27,8.16,8.15,8.05,8.06,118,39787
2013-06-28,8.19,8.15,8.01,8.19,129,33553
2013-07-01,8.22,8.2,8.13,8.13,179,35030
2013-07-02,8.24,8.15,8.15,8.21,139,36476
2013-07-03,8.1,8.02,7.95,8.1,53,18907
2013-07-05,7.98,7.91,7.82,7.98,90,24078
2013-07-08,8.01,7.94,7.88,7.88,71,34885
2013-07-09,7.95,7.93,7.9,7.93,128,49504
2013-07-10,7.89,7.87,7.83,7.85,67,31945
2013-07-11,8.04,7.98,7.9,7.9,131,44769
2013-07-12,8.0,7.87,7.82,7.98,245,56336
2013-07-15,7.92,7.8,7.78,7.85,223,45598
2013-07-16,7.76,7.73,7.71,7.76,145,38894
2013-07-17,7.86,7.84,7.77,7.77,82,45398
2013-07-18,7.88,7.84,7.84,7.85,111,38666
2013-07-19,7.82,7.77,7.74,7.81,132,44159
2013-07-22,7.76,7.66,7.64,7.76,137,44110
2013-07-23,7.76,7.74,7.61,7.64,76,34398
2013-07-24,7.75,7.66,7.64,7.75,83,42601
2013-07-25,7.64,7.61,7.51,7.61,92,27633
2013-07-26,7.69,7.67,7.57,7.57,84,27070
2013-07-29,7.7,7.69,7.65,7.65,40,23047
2013-07-30,7.72,7.7,7.66,7.67,50,27029
2013-07-31,7.7,7.69,7.62,7.68,128,36636
2013-08-01,7.71,7.62,7.6,7.66,82,25398
2013-08-02,7.66,7.64,7.61,7.61,49,18938
2013-08-05,7.64,7.63,7.6,7.63,98,41275
2013-08-06,7.6,7.55,7.52,7.6,80,24609
2013-08-07,7.56,7.55,7.49,7.55,79,39868
2013-08-08,7.57,7.54,7.48,7.53,101,42768
2013-08-09,7.56,7.56,7.51,7.54,48,27502
2013-08-12,7.53,7.52,7.47,7.5,126,51116
2013-08-13,7.49,7.45,7.41,7.49,85,28662
2013-08-14,7.45,7.45,7.41,7.41,44,37251
2013-08-15,7.42,7.38,7.35,7.41,40,23533
2013-08-16,7.36,7.25,7.24,7.35,98,41889
2013-08-19,7.3,7.24,7.21,7.23,125,48327
2013-08-20,7.44,7.42,7.23,7.26,167,67306
2013-08-21,7.42,7.37,7.36,7.38,108,41224
2013-08-22,7.49,7.48,7.4,7.4,97,33212
2013-08-23,7.5,7.47,7.41,7.44,157,48625
2013-08-26,7.47,7.36,7.36,7.44,114,34510
2013-08-27,7.39,7.39,7.35,7.35,136,40485
2013-08-28,7.39,7.35,7.34,7.39,65,32143
2013-08-29,7.38,7.38,7.29,7.32,50,19394
2013-08-30,7.38,7.36,7.32,7.38,93,37376
2013-09-03,7.38,7.31,7.28,7.33,67,25141
2013-09-04,7.36,7.36,7.27,7.3,45,24920
2013-09-05,7.32,7.3,7.28,7.32,74,30230
2013-09-06,7.33,7.32,7.27,7.29,54,33122
2013-09-09,7.36,7.31,7.3,7.3,37,20364
2013-09-10,7.35,7.34,7.28,7.32,120,35717
2013-09-11,7.3,7.26,7.23,7.3,54,23697
2013-09-12,7.29,7.22,7.22,7.27,83,29478
2013-09-13,7.27,7.22,7.22,7.22,105,41803
2013-09-16,7.36,7.31,7.27,7.29,78,27559
2013-09-17,7.4,7.39,7.31,7.31,76,37067
2013-09-18,7.62,7.62,7.38,7.38,102,42549
2013-09-19,7.67,7.6,7.58,7.62,93,38917
2013-09-20,7.61,7.6,7.57,7.6,29,30050
2013-09-23,7.67,7.63,7.59,7.6,82,20619
2013-09-24,7.75,7.75,7.63,7.67,94,36895
2013-09-25,7.78,7.67,7.66,7.72,81,29553
