Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,46.92,46.25,45.93,46.57,603,130124
2013-01-03,46.96,46.18,46.08,46.36,481,90372
2013-01-04,46.5,46.34,45.96,46.45,517,100290
2013-01-07,46.42,46.0,45.85,46.01,386,81245
2013-01-08,46.3,45.93,45.76,46.13,212,49663
2013-01-09,46.23,45.95,45.89,46.17,245,66484
2013-01-10,46.29,45.97,45.92,45.96,410,75640
2013-01-11,46.12,46.01,45.7,46.12,448,83350
2013-01-14,46.65,46.14,45.92,46.16,275,77282
2013-01-15,46.24,46.05,45.81,45.94,302,67754
2013-01-16,46.28,46.06,45.93,45.93,330,102714
2013-01-17,47.18,46.74,46.01,46.08,498,104747
2013-01-18,47.29,47.27,46.56,46.89,377,155208
2013-01-22,47.73,47.69,47.18,47.39,356,109524
2013-01-23,47.92,47.73,47.44,47.75,446,78104
2013-01-24,47.97,47.65,47.28,47.87,311,62308
2013-01-25,47.75,47.37,47.08,47.75,367,79663
2013-01-28,47.49,47.4,46.97,47.31,388,72506
2013-01-29,47.33,47.17,47.07,47.33,240,68938
2013-01-30,47.17,46.67,46.38,47.17,397,81485
2013-01-31,47.04,46.86,46.58,46.74,348,124139
2013-02-01,47.65,47.48,47.04,47.08,584,114333
2013-02-04,47.52,47.44,47.16,47.16,452,79080
2013-02-05,47.56,47.41,47.31,47.56,298,58210
2013-02-06,47.46,47.19,46.9,47.25,279,60130
2013-02-07,47.22,46.96,46.88,47.21,266,49228
2013-02-08,47.15,46.94,46.84,47.1,186,44644
2013-02-11,47.08,46.86,46.82,46.92,226,47551
2013-02-12,47.25,47.25,46.9,47.03,198,49435
2013-02-13,47.79,47.45,47.14,47.14,485,102169
2013-02-14,47.7,47.33,47.3,47.45,119,34808
2013-02-15,47.72,47.7,46.94,47.37,485,250496
2013-02-19,48.03,48.03,47.49,47.73,341,99337
2013-02-20,48.4,47.44,47.4,48.18,313,91956
2013-02-21,47.95,47.21,47.03,47.7,448,86176
2013-02-22,47.54,47.39,47.26,47.54,372,79598
2013-02-25,47.62,47.02,46.95,47.62,283,72327
2013-02-26,47.25,47.09,46.69,47.15,324,58561
2013-02-27,49.57,48.47,48.4,49.25,588,107494
2013-02-28,49.3,48.79,48.37,48.59,522,193813
2013-03-01,48.9,48.63,48.43,48.5,390,76260
2013-03-04,48.76,48.49,48.3,48.56,291,72135
2013-03-05,49.01,48.91,48.42,48.79,236,47766
2013-03-06,49.39,49.12,48.82,48.96,420,86339
2013-03-07,49.74,49.6,49.26,49.28,379,107939
2013-03-08,50.0,49.57,49.48,49.92,290,64896
2013-03-11,49.67,49.46,49.21,49.46,269,60676
2013-03-12,49.68,49.51,49.22,49.57,305,54549
2013-03-13,49.8,49.75,49.2,49.4,272,59703
2013-03-14,50.65,50.26,49.87,49.89,363,70546
2013-03-15,51.6,51.33,49.97,50.36,716,544534
2013-03-18,51.35,51.22,50.86,50.86,475,107162
2013-03-19,51.43,51.25,51.04,51.2,468,84279
2013-03-20,51.6,51.55,51.26,51.42,509,88228
2013-03-21,52.13,51.59,51.3,51.41,502,97970
2013-03-22,51.91,51.39,51.27,51.69,517,86189
2013-03-25,52.23,51.63,51.42,51.72,451,84480
2013-03-26,51.66,51.65,51.04,51.04,272,56787
2013-03-27,52.03,51.91,51.52,51.96,364,67962
2013-03-28,52.46,52.05,51.88,52.15,496,110891
2013-04-01,52.49,52.36,51.85,52.08,452,98677
2013-04-02,52.85,52.29,52.15,52.4,251,49360
2013-04-03,52.51,52.09,52.01,52.51,341,60609
2013-04-04,52.94,52.55,52.18,52.26,351,85188
2013-04-05,52.85,52.5,52.09,52.16,259,82115
2013-04-08,53.17,53.13,52.15,52.63,303,57287
2013-04-09,53.78,53.42,52.86,53.1,560,107389
2013-04-10,53.98,53.77,53.31,53.31,457,85661
2013-04-11,54.27,54.03,53.5,53.84,272,50517
2013-04-12,54.33,54.33,53.66,53.96,439,159260
2013-04-15,54.19,52.9,52.67,54.08,460,105415
2013-04-16,53.86,53.34,52.97,53.13,405,84703
2013-04-17,53.29,52.74,52.23,53.24,491,93435
2013-04-18,53.51,53.27,52.51,53.0,593,110519
2013-04-19,54.55,54.54,53.21,53.3,468,179651
2013-04-22,54.72,54.46,53.75,54.72,466,103794
2013-04-23,55.21,55.06,54.68,54.85,592,93239
2013-04-24,55.57,55.49,54.9,55.19,264,61099
2013-04-25,56.34,56.08,55.35,55.75,356,72144
2013-04-26,56.05,55.72,55.51,55.87,324,76143
2013-04-29,56.43,56.4,55.74,56.04,234,54818
2013-04-30,56.77,56.54,56.06,56.52,324,68039
2013-05-01,57.6,55.83,55.58,57.6,642,132114
2013-05-02,56.88,56.72,55.94,56.18,417,79173
2013-05-03,58.11,57.71,57.18,57.19,445,83987
2013-05-06,58.31,58.09,57.71,57.71,361,65286
2013-05-07,59.18,58.99,57.96,57.96,383,80539
2013-05-08,59.25,59.09,58.73,58.73,554,134602
2013-05-09,59.0,58.02,57.92,59.0,309,63767
2013-05-10,58.49,57.44,57.15,58.12,453,82412
2013-05-13,57.84,57.78,57.17,57.49,383,82638
2013-05-14,58.54,58.32,57.92,57.92,241,81948
2013-05-15,59.36,59.35,58.14,58.42,522,106885
2013-05-16,60.0,59.96,58.77,59.09,601,213011
2013-05-17,60.56,60.55,59.46,59.94,485,123180
2013-05-20,60.61,59.88,59.5,60.39,483,86709
2013-05-21,60.96,60.7,60.06,60.06,403,100334
2013-05-22,61.18,58.62,58.35,60.65,452,83411
2013-05-23,58.52,57.82,57.55,58.34,690,243148
2013-05-24,57.75,56.54,55.49,57.67,627,124906
2013-05-28,57.46,55.86,55.68,57.35,561,121337
2013-05-29,55.76,53.92,53.19,55.54,845,170316
2013-05-30,54.54,52.83,52.63,53.96,805,159278
2013-05-31,53.26,52.42,52.41,52.82,580,199439
2013-06-03,53.42,53.07,51.874,52.5,806,183042
2013-06-04,53.64,52.01,51.97,53.28,590,112229
2013-06-05,52.04,51.32,51.15,52.01,424,76866
2013-06-06,52.39,52.37,50.97,51.49,328,75474
2013-06-07,53.04,52.58,51.86,52.56,679,121225
2013-06-10,52.78,52.38,52.23,52.56,393,71591
2013-06-11,52.5,52.11,51.53,51.9,651,102085
2013-06-12,52.48,51.18,50.67,52.48,466,94565
2013-06-13,52.43,52.2,50.5,50.5,656,118377
