Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-06-15,10.55,9.9,9.9,10.5,37,56765
2020-06-16,10.03,10.0,9.95,9.95,11,8438
2020-06-17,10.99,10.045,10.045,10.99,12,1500
2020-06-18,10.03,10.01,10.01,10.03,2,17800
2020-06-19,10.11,10.03,10.03,10.07,34,13230
2020-06-22,10.24,10.19,10.04,10.1,4,1529
2020-06-23,10.33,10.05,10.05,10.33,3,700
2020-06-24,10.05,10.05,10.05,10.05,,
2020-06-25,10.07,10.0,9.95,10.07,35,29201
2020-06-26,10.24,10.12,10.1,10.24,8,4103
2020-06-29,10.25,10.092,10.05,10.25,16,4601
2020-06-30,10.15,10.07,10.04,10.1,8,26081
2020-07-01,10.08,10.08,10.02,10.03,2,200
2020-07-02,10.12,10.12,10.12,10.12,1,500
2020-07-06,10.2,10.2,10.15,10.16,11,3600
2020-07-08,10.105,10.105,10.1,10.1,1,100
2020-07-09,10.17,10.1499,10.1499,10.15,2,404
2020-07-10,10.25,10.2,10.16,10.19,20,5002
2020-07-13,10.48,10.27,10.2,10.25,30,3578
2020-07-14,10.23,10.21,10.21,10.23,3,167
2020-07-15,10.32,10.29,10.2,10.32,10,1350
2020-07-16,10.37,10.36,10.36,10.37,3,402
2020-07-17,10.35,10.35,10.35,10.35,1,100
2020-07-20,10.41,10.388,10.37,10.41,21,14529
2020-07-21,10.48,10.48,10.42,10.45,7,658
2020-07-22,10.5,10.5,10.38,10.42,38,5062
2020-07-23,10.54,10.505,10.49,10.49,4,701
2020-07-24,10.62,10.55,10.51,10.54,49,52355
2020-07-27,10.6,10.6,10.54,10.58,79,18917
2020-07-28,10.5,10.5,10.49,10.5,3,12404
2020-07-29,10.52,10.42,10.36,10.48,34,13707
2020-07-30,10.34,10.34,10.33,10.33,4,390
2020-07-31,10.36,10.3,10.28,10.31,14,1801
2020-08-03,10.28,10.25,10.16,10.28,106,20900
2020-08-04,10.32,10.26,10.16,10.32,27,14208
2020-08-05,10.2,10.2,10.2,10.2,,
2020-08-06,10.28,10.28,10.16,10.18,11,20294
2020-08-07,10.5,10.5,10.16,10.22,50,15972
2020-08-10,10.44,10.44,10.36,10.36,26,11648
2020-08-11,10.42,10.36,10.24,10.4,26,4128
2020-08-12,10.35,10.21,10.21,10.35,4,700
2020-08-13,10.31,10.29,10.25,10.31,286,135284
2020-08-14,10.33,10.25,10.21,10.21,2,300
2020-08-17,10.34,10.21,10.21,10.22,9,1107
2020-08-18,10.29,10.26,10.2,10.2,3,10400
2020-08-19,10.27,10.1,10.1,10.21,32,31328
2020-08-20,10.13,10.06,10.0,10.1,27,54897
2020-08-21,10.1,10.1,10.05,10.05,4,1968
2020-08-24,10.07,10.07,10.05,10.06,2,11100
2020-08-25,10.09,10.09,10.0,10.07,96,33201
2020-08-26,10.2,10.2,10.02,10.14,19,2500
2020-08-27,10.12,10.09,10.06,10.06,6,1526
2020-08-28,10.25,10.22,10.07,10.25,7,1075
2020-08-31,10.3,10.28,10.12,10.12,78,35095
2020-09-01,10.33,10.16,10.16,10.33,6,624
2020-09-02,10.38,10.15,10.13,10.38,47,4780
2020-09-03,10.19,10.19,10.12,10.14,33,6788
2020-09-04,10.23,10.2,10.15,10.16,22,2255
2020-09-08,10.37,10.37,10.19,10.19,35,8682
2020-09-09,10.29,10.29,10.29,10.29,1,100
2020-09-10,10.31,10.31,10.26,10.26,18,1792
2020-09-11,10.32,10.21,10.21,10.32,3,735
2020-09-14,10.31,10.28,10.28,10.31,5,800
2020-09-15,10.36,10.28,10.28,10.3,8,2142
2020-09-16,10.5,10.41,10.36,10.38,44,33326
2020-09-17,10.53,10.47,10.47,10.53,6,270
2020-09-18,10.56,10.54,10.49,10.56,11,4480
2020-09-21,10.6,10.31,10.25,10.6,97,21957
2020-09-22,10.42,10.31,10.25,10.42,22,3137
2020-09-23,10.32,10.28,10.28,10.32,8,2305
2020-09-24,10.24,10.2,10.2,10.24,7,8500
