Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-09-21,30.58,28.45,27.0,27.0,12579,9565145
2018-09-24,32.27,30.25,27.36,28.0,2677,738114
2018-09-25,32.36,28.65,27.77,31.61,1774,522241
2018-09-26,29.26,28.0,27.98,29.17,695,149812
2018-09-27,28.36,27.26,26.51,28.36,1031,278325
2018-09-28,27.5,27.23,26.89,27.27,562,140777
2018-10-01,26.89,26.07,24.06,26.77,1256,235293
2018-10-02,27.63,27.01,24.81,26.05,1182,202489
2018-10-03,27.39,26.5,25.69,27.06,374,112230
2018-10-04,26.5,26.24,24.85,26.42,1041,216776
2018-10-05,26.0,24.84,24.79,26.0,377,79785
2018-10-08,24.51,23.16,23.0,24.51,941,216075
2018-10-09,23.3,21.32,20.835,22.89,1632,365242
2018-10-10,21.24,20.76,18.49,21.24,1059,281513
2018-10-11,21.07,20.31,20.215,20.25,1181,259201
2018-10-12,23.41,23.3,21.01,21.12,1069,181718
2018-10-15,24.0,23.01,22.27,23.24,571,70435
2018-10-16,25.14,24.99,23.63,23.9,1653,281602
2018-10-17,25.02,24.18,23.531,25.0,399,67035
2018-10-18,24.43,22.98,22.61,24.09,478,67165
2018-10-19,23.4,21.0,20.66,23.17,640,113285
2018-10-22,22.4,22.0,20.73,21.18,603,178867
2018-10-23,21.54,20.37,19.7,21.54,2470,381521
2018-10-24,20.55,18.75,18.53,20.5,912,157883
2018-10-25,20.25,20.19,18.76,19.07,1047,337805
2018-10-26,20.1,19.9,19.12,19.5,813,224906
2018-10-29,20.29,19.55,19.2,19.82,628,88916
2018-10-30,21.13,20.94,19.5,19.51,623,89878
2018-10-31,21.43,20.54,20.18,21.25,455,88663
2018-11-01,22.21,22.0,20.49,20.54,843,166760
2018-11-02,22.88,21.31,20.74,22.66,832,111230
2018-11-05,21.57,20.81,20.38,21.27,370,53311
2018-11-06,21.85,21.71,20.51,20.85,552,142779
2018-11-07,22.26,22.17,21.7,21.8,521,90117
2018-11-08,23.48,22.05,21.73,22.18,726,211622
2018-11-09,24.68,23.27,22.0,22.42,1998,271503
2018-11-12,23.05,21.12,20.66,23.05,1009,231287
2018-11-13,22.2,21.75,21.005,21.35,732,132653
2018-11-14,22.59,22.32,21.77,21.85,543,275567
2018-11-15,23.91,23.61,22.205,22.34,862,105107
2018-11-16,23.8,22.54,22.46,23.57,373,81510
2018-11-19,22.815,20.27,20.0,22.3,883,138025
2018-11-20,20.52,19.47,19.28,19.89,828,160256
2018-11-21,21.11,21.04,19.75,19.82,578,84502
2018-11-23,21.59,21.17,21.04,21.08,180,31050
2018-11-26,22.3,21.61,21.43,21.65,681,81574
2018-11-27,21.6,21.31,20.9,21.5,531,84618
2018-11-28,22.62,22.43,21.28,21.38,666,75004
2018-11-29,23.12,22.84,22.23,22.45,529,69395
2018-11-30,23.31,22.75,22.47,22.72,364,68565
2018-12-03,23.8,22.45,22.42,23.8,790,119772
2018-12-04,22.4,22.19,21.62,22.4,517,82570
2018-12-06,22.425,22.33,21.47,21.87,336,44631
2018-12-07,22.86,22.11,21.95,22.15,839,96098
2018-12-10,22.45,22.28,21.7,22.0,270,87366
2018-12-11,22.66,22.55,22.21,22.53,382,62838
2018-12-12,24.2,23.15,22.45,22.93,855,167921
2018-12-13,24.35,23.26,23.07,23.28,877,105037
2018-12-14,23.96,23.88,23.06,23.08,589,67929
2018-12-17,23.44,21.01,20.8,23.44,2168,437709
2018-12-18,21.91,21.12,20.76,21.29,1263,183338
2018-12-19,21.7,19.21,18.66,21.08,1192,175939
2018-12-20,19.48,18.62,16.43,19.01,2466,429482
2018-12-21,18.83,17.6,17.57,18.68,959,149770
2018-12-24,17.63,17.01,16.77,17.56,401,86125
2018-12-26,17.81,17.34,17.01,17.3,1377,223710
2018-12-27,18.0,17.8,17.0,17.13,911,145433
2018-12-28,18.09,17.95,17.31,17.77,608,137333
2018-12-31,18.14,17.71,17.33,18.1,493,123777
2019-01-02,17.88,17.36,17.0,17.32,694,253952
2019-01-03,17.48,16.4,15.99,16.97,1282,194087
2019-01-04,17.41,17.38,16.48,16.48,801,123818
2019-01-07,18.79,18.75,17.33,17.49,1373,199659
2019-01-08,19.87,19.52,18.62,19.18,2008,326054
2019-01-09,20.0,19.54,19.34,19.79,858,149259
2019-01-10,19.4,19.14,18.41,19.4,748,130386
2019-01-11,18.93,18.47,18.18,18.86,868,111486
2019-01-14,18.74,18.55,17.8,18.03,903,121060
2019-01-15,19.08,18.98,18.38,18.6,578,94181
2019-01-16,19.82,19.63,18.93,19.0,722,100105
2019-01-17,20.04,20.02,19.45,19.68,378,55789
2019-01-18,21.0,20.87,20.12,20.4,730,125608
2019-01-22,21.16,20.21,19.75,20.5,1000,170023
2019-01-23,20.44,19.61,19.56,20.16,707,172998
2019-01-24,20.07,19.85,19.15,19.62,857,109855
2019-01-25,20.7,20.63,20.0,20.13,465,54615
2019-01-28,20.7,20.62,19.97,20.18,408,56361
2019-01-29,20.57,19.79,19.74,20.57,734,107508
2019-01-30,20.26,19.66,19.21,20.26,1239,211417
2019-01-31,20.6,20.15,19.61,19.61,471,70127
2019-02-01,20.24,20.09,19.67,20.06,437,57982
2019-02-04,20.24,19.75,19.69,20.18,543,252268
2019-02-05,20.29,19.36,19.3,19.9,470,60659
2019-02-06,19.6,19.41,19.13,19.39,516,68674
2019-02-07,19.71,19.65,19.1,19.19,434,63815
2019-02-08,19.72,19.49,19.39,19.6,423,63168
2019-02-11,19.88,19.14,19.0,19.62,641,92608
2019-02-12,19.47,19.28,18.99,19.44,634,94769
2019-02-13,19.65,19.04,19.0,19.45,468,77842
2019-02-14,19.46,19.0,18.67,19.03,509,72734
2019-02-15,19.61,19.6,18.89,19.02,810,163063
2019-02-19,19.89,19.56,19.19,19.38,693,108774
2019-02-20,19.93,19.8,19.05,19.65,798,119039
2019-02-21,19.95,19.79,19.55,19.92,629,120513
2019-02-22,20.42,20.2,19.42,20.03,627,121863
2019-02-25,22.02,21.85,20.44,20.44,1566,421845
2019-02-26,24.35,24.2,21.71,21.72,4243,726356
2019-02-27,25.64,24.9,23.97,23.97,1824,307273
2019-02-28,25.75,24.5,23.86,25.75,1444,291156
2019-03-01,31.27,28.82,28.1,28.6,5149,1044706
2019-03-04,31.56,29.69,28.0,29.57,2980,536915
2019-03-05,29.59,28.47,28.37,29.54,1280,194299
2019-03-06,28.87,27.96,27.93,28.55,1257,216241
2019-03-07,28.0,27.05,26.65,28.0,1317,195482
2019-03-08,27.82,27.73,25.99,26.5,1991,282947
2019-03-11,28.34,26.95,26.75,28.25,1231,218311
