Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,35.86,35.6,35.36,35.55,534,116357
2013-01-03,36.0,35.45,35.35,35.55,355,60355
2013-01-04,35.93,35.79,35.47,35.65,439,77273
2013-01-07,36.17,35.94,35.51,35.51,384,55530
2013-01-08,36.43,36.37,35.64,35.88,528,96136
2013-01-09,36.77,36.49,36.35,36.35,296,68597
2013-01-10,36.75,36.55,36.23,36.75,470,114799
2013-01-11,36.66,36.4,36.37,36.62,508,89153
2013-01-14,36.66,36.35,36.19,36.33,399,75831
2013-01-15,36.99,36.85,36.2,36.2,366,127455
2013-01-16,36.87,36.64,36.57,36.7,417,104264
2013-01-17,39.45,39.12,36.99,37.0,1116,204299
2013-01-18,39.55,39.52,38.88,38.88,686,150215
2013-01-22,40.16,39.5,39.47,39.51,579,112216
2013-01-23,39.65,39.16,38.97,39.5,591,112590
2013-01-24,40.0,39.64,39.15,39.32,380,76568
2013-01-25,40.0,39.95,39.38,39.84,308,57173
2013-01-28,39.88,39.57,39.17,39.88,510,92060
2013-01-29,40.01,39.98,39.18,39.43,638,120168
2013-01-30,39.83,39.18,39.0,39.83,483,78551
2013-01-31,39.54,39.08,39.04,39.04,578,145346
2013-02-01,40.0,39.91,39.1,39.4,605,115426
2013-02-04,39.75,39.28,39.2,39.61,360,57104
2013-02-05,39.72,39.38,39.3,39.39,331,68483
2013-02-06,39.51,39.39,39.13,39.34,385,70916
2013-02-07,39.57,39.2,39.16,39.4,465,74506
2013-02-08,39.64,39.39,39.31,39.31,1105,188377
2013-02-11,41.44,41.25,40.0,40.03,1120,202920
2013-02-12,41.38,40.96,40.76,41.26,475,86908
2013-02-13,41.63,41.62,40.94,40.94,591,103560
2013-02-14,41.84,41.62,41.39,41.48,517,85350
2013-02-15,42.0,41.76,41.42,41.8,573,133731
2013-02-19,41.96,41.92,41.48,41.74,346,64875
2013-02-20,41.84,40.47,40.45,41.84,327,60907
2013-02-21,40.45,40.01,39.52,40.3,365,58957
2013-02-22,40.46,40.44,40.1,40.31,293,54834
2013-02-25,40.56,39.5,39.5,40.56,597,87368
2013-02-26,40.47,40.44,39.25,39.66,552,134124
2013-02-27,41.14,40.6,40.34,40.34,702,211442
2013-02-28,41.17,40.87,40.61,40.61,445,74135
2013-03-01,41.07,40.9,40.0,40.44,432,73844
2013-03-04,40.93,40.81,40.33,40.9,437,83253
2013-03-05,41.6,41.55,41.05,41.08,546,117333
2013-03-06,41.73,41.47,41.15,41.68,208,33559
2013-03-07,41.56,41.39,41.21,41.5,161,29293
2013-03-08,42.06,42.05,41.39,41.84,292,59423
2013-03-11,41.89,41.74,41.44,41.89,485,77558
2013-03-12,41.77,41.75,41.51,41.61,234,39392
2013-03-13,41.85,41.82,41.46,41.68,237,37248
2013-03-14,42.31,42.31,41.82,41.92,423,59959
2013-03-15,42.33,42.03,41.71,41.92,360,194163
2013-03-18,41.74,41.62,41.41,41.43,225,43974
2013-03-19,41.85,41.66,41.0,41.68,276,42141
2013-03-20,42.31,42.0,41.7,41.98,184,29609
2013-03-21,42.13,41.46,41.21,41.91,355,61386
2013-03-22,41.66,41.32,41.21,41.54,321,48302
2013-03-25,41.38,40.49,40.17,41.32,793,115953
2013-03-26,40.6,40.02,39.85,40.49,1008,161014
2013-03-27,39.78,39.37,39.18,39.68,1170,180128
2013-03-28,39.65,39.08,38.19,39.37,801,163258
2013-04-01,39.08,38.68,38.24,39.06,636,114426
2013-04-02,38.91,38.21,38.18,38.91,778,105870
2013-04-03,38.33,37.47,37.37,38.33,700,118467
2013-04-04,38.13,37.92,37.54,37.54,419,62467
2013-04-05,37.5,37.24,37.07,37.08,575,98335
2013-04-08,37.5,37.48,36.89,37.25,359,53736
2013-04-09,37.65,37.08,36.97,37.65,578,223809
2013-04-10,38.32,38.31,37.21,37.21,601,97290
2013-04-11,38.15,38.0,37.64,38.15,572,104595
2013-04-12,38.38,38.26,37.37,37.69,633,112684
2013-04-15,38.3,37.26,37.17,37.95,994,190306
2013-04-16,38.08,38.0,37.26,37.48,512,89706
2013-04-17,38.06,37.79,37.46,37.79,606,94345
2013-04-18,37.86,37.61,37.5,37.79,494,90146
2013-04-19,38.72,38.41,37.65,37.65,355,75555
2013-04-22,38.72,38.53,37.96,38.42,561,91938
2013-04-23,39.02,39.01,38.42,38.62,240,46151
2013-04-24,39.18,39.11,38.84,38.99,342,49767
2013-04-25,39.43,39.14,39.01,39.33,385,52934
