Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,41.32,41.32,40.79,40.88,2479,1130098
2013-01-03,41.49,41.34,41.17,41.41,2161,931279
2013-01-04,41.86,41.77,41.29,41.4,2291,1278119
2013-01-07,41.75,41.61,41.43,41.6,1840,719461
2013-01-08,41.37,41.27,41.0,41.2,2520,1047216
2013-01-09,41.37,41.23,41.04,41.27,2291,759115
2013-01-10,41.6,41.6,41.15,41.29,2136,1147824
2013-01-11,41.12,40.62,40.45,41.12,4179,2087392
2013-01-14,41.06,40.93,40.65,40.72,2200,1085715
2013-01-15,40.91,40.82,40.71,40.87,1899,701148
2013-01-16,41.01,40.84,40.75,40.82,1663,840344
2013-01-17,41.31,41.15,40.92,40.97,1846,718253
2013-01-18,41.37,41.37,41.12,41.24,1232,1062811
2013-01-22,41.59,41.49,41.32,41.4,1681,826789
2013-01-23,41.6,41.51,41.27,41.45,1567,611544
2013-01-24,41.82,41.7,41.47,41.48,1781,677138
2013-01-25,41.87,41.75,41.67,41.86,1576,676675
2013-01-28,41.81,41.74,41.54,41.75,1526,692458
2013-01-29,42.01,41.97,41.6,41.73,1945,624934
2013-01-30,42.18,42.04,41.85,41.96,1768,700616
2013-01-31,42.24,41.94,41.94,42.03,1709,1026932
2013-02-01,42.45,42.13,42.03,42.36,1555,779644
2013-02-04,42.11,41.75,41.72,42.0,1515,710271
2013-02-05,42.33,42.13,41.93,42.0,1703,776257
2013-02-06,42.36,42.36,41.96,41.99,1739,936509
2013-02-07,42.6,42.47,42.27,42.31,1548,642384
2013-02-08,42.66,42.6,42.44,42.45,1307,512655
2013-02-11,42.67,42.67,42.5,42.59,1169,482388
2013-02-12,42.99,42.97,42.61,42.61,1438,604749
2013-02-13,43.09,42.98,42.85,43.0,1451,608010
2013-02-14,44.52,44.31,43.02,43.25,6606,2208506
2013-02-15,44.61,44.59,44.14,44.57,2671,1797530
2013-02-19,45.44,45.43,44.55,44.6,2516,1361858
2013-02-20,45.72,45.47,45.14,45.39,2774,1051973
2013-02-21,45.44,45.33,45.18,45.39,1852,800558
2013-02-22,45.67,45.67,45.3,45.33,1481,757326
2013-02-25,46.01,45.42,45.42,45.74,2096,818682
2013-02-26,46.03,46.01,45.47,45.57,2990,1285544
2013-02-27,46.37,46.28,45.82,46.0,2183,879534
2013-02-28,46.47,46.25,46.1,46.28,2200,1208257
2013-03-01,46.53,46.39,45.82,46.17,4990,1604280
2013-03-04,46.49,46.45,46.24,46.36,2308,1010790
2013-03-05,46.68,46.49,46.39,46.52,2076,829754
2013-03-06,46.72,46.43,46.38,46.55,1825,717646
2013-03-07,46.68,46.46,46.4,46.52,1787,716111
2013-03-08,46.61,46.33,46.3,46.52,1908,823150
2013-03-11,46.19,45.7,45.56,46.03,3538,1372722
2013-03-12,46.35,46.27,45.51,45.56,2526,1180891
2013-03-13,46.5,46.48,46.17,46.28,2181,935842
2013-03-14,46.53,46.42,46.2,46.49,2116,1071599
2013-03-15,46.4,46.24,46.06,46.07,2461,2670248
2013-03-18,46.46,46.33,45.93,45.99,1752,1066118
2013-03-19,46.5,46.42,46.18,46.38,2497,1105973
2013-03-20,48.02,47.61,46.42,46.5,7297,2810463
2013-03-21,48.3,47.86,47.3,47.52,3334,1434703
2013-03-22,48.28,48.15,47.91,47.97,2230,978200
2013-03-25,48.64,48.08,47.85,48.17,2463,1016956
2013-03-26,48.63,48.63,48.09,48.19,2086,806427
2013-03-27,48.95,48.79,48.56,48.58,2473,928962
2013-03-28,49.37,49.31,48.82,48.94,2879,1668511
2013-04-01,48.98,48.68,48.21,48.3,3557,1273458
2013-04-02,49.14,48.81,48.68,48.81,2491,1064789
2013-04-03,48.8,48.27,48.13,48.8,2575,1265769
2013-04-04,49.05,49.02,48.36,48.4,3612,1790988
2013-04-05,48.84,48.74,48.42,48.64,2205,1019349
2013-04-08,48.7,48.7,48.2,48.36,2216,872121
2013-04-09,48.949,48.69,48.34,48.79,2156,881394
2013-04-10,49.16,49.03,48.7,48.84,2642,932803
2013-04-11,49.58,49.25,49.093,49.13,2143,765766
2013-04-12,49.4,49.35,48.95,49.16,2235,913231
2013-04-15,49.48,49.06,48.97,49.17,3657,1586454
2013-04-16,49.87,49.86,49.06,49.26,2779,941893
2013-04-17,49.85,49.54,49.42,49.77,2811,1041286
2013-04-18,49.9,49.86,49.52,49.66,3368,1233682
2013-04-19,50.52,50.34,49.9,50.0,3904,1646986
2013-04-22,50.52,50.45,50.14,50.33,2143,661373
2013-04-23,50.9,50.68,50.22,50.53,2416,813711
2013-04-24,50.77,49.34,49.32,50.68,3568,1207803
2013-04-25,49.67,49.39,49.23,49.5,2705,957705
2013-04-26,49.81,49.68,49.42,49.42,1970,657555
2013-04-29,50.3,50.21,49.74,49.8,2148,752772
2013-04-30,50.42,50.42,49.88,50.1,2311,1085342
2013-05-01,50.75,50.4,50.34,50.5,2846,937273
2013-05-02,50.59,50.45,50.17,50.47,2838,818220
2013-05-03,50.87,50.72,50.44,50.75,1824,836071
2013-05-06,50.6,49.59,49.52,50.55,2893,1074950
2013-05-07,50.76,50.76,49.65,49.75,2130,924013
2013-05-08,50.76,49.94,49.74,50.69,2999,1122766
2013-05-09,50.13,49.63,49.5,50.03,2334,796724
2013-05-10,49.98,49.91,49.58,49.68,2084,828996
2013-05-13,50.3,50.09,49.43,49.93,2583,971097
2013-05-14,50.71,50.63,50.11,50.17,3005,1270714
2013-05-15,50.97,50.93,50.18,50.55,2524,900203
2013-05-16,50.96,50.47,50.45,50.77,2268,658222
2013-05-17,50.49,50.36,49.87,50.4,2237,1277129
2013-05-20,50.62,49.13,49.09,50.48,4143,1246969
2013-05-21,49.52,49.36,48.87,49.13,3680,1340670
2013-05-22,49.79,49.03,48.89,49.29,3591,1237760
2013-05-23,48.96,48.85,48.24,48.8,3330,1085718
2013-05-24,48.98,48.98,48.37,48.74,2099,628748
2013-05-28,49.49,49.11,48.88,49.44,2841,823340
2013-05-29,49.15,48.18,47.84,48.74,2816,987151
2013-05-30,48.28,47.84,47.63,47.93,3107,953916
2013-05-31,47.8,47.08,47.08,47.57,4117,2019246
2013-06-03,47.5,47.5,46.18,47.0,6720,1777410
2013-06-04,48.05,47.87,47.39,47.59,3573,1223005
2013-06-05,47.78,47.19,47.17,47.78,2679,1156706
2013-06-06,47.47,47.4,47.05,47.26,3327,1382537
2013-06-07,48.12,48.08,47.51,47.64,2493,859629
2013-06-10,48.2,48.2,47.73,48.11,2555,800931
2013-06-11,48.73,48.33,47.8,48.21,2904,1007741
2013-06-12,48.8,48.46,48.44,48.53,2893,795551
2013-06-13,49.07,49.02,48.1,48.44,2129,816145
2013-06-14,49.53,49.29,48.95,49.0,2482,753065
2013-06-17,49.96,49.8,49.39,49.52,2469,707734
2013-06-18,49.99,49.91,49.43,49.84,2061,582261
2013-06-19,50.02,49.18,49.12,49.84,3134,915633
2013-06-20,49.11,48.21,48.15,48.89,4068,1409726
2013-06-21,48.84,48.64,48.35,48.58,2453,1618395
2013-06-24,48.82,48.32,48.12,48.35,3396,973156
2013-06-25,49.02,48.33,48.18,48.72,2449,944912
2013-06-26,48.25,48.1,47.57,48.0,4196,1429430
2013-06-27,48.75,48.34,48.3,48.39,2862,1185049
2013-06-28,48.84,48.53,48.23,48.43,3033,1765098
2013-07-01,49.13,48.79,48.54,48.54,2398,781629
2013-07-02,49.31,49.17,48.66,48.78,2532,918546
2013-07-03,49.2,48.95,48.78,49.12,1780,748696
