Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,11.04,10.94,10.55,10.87,317,61727
2013-01-03,11.31,11.19,10.77,10.94,221,38397
2013-01-04,11.2,11.04,10.95,11.2,115,18390
2013-01-07,11.06,11.0,10.7,10.96,132,21994
2013-01-08,11.0,10.88,10.79,10.99,182,33446
2013-01-09,11.81,11.24,10.98,11.0,153,24666
2013-01-10,12.33,11.8,11.16,11.33,230,51463
2013-01-11,12.33,11.93,11.66,11.86,305,63316
2013-01-14,12.38,12.32,11.94,11.95,242,40617
2013-01-15,13.51,13.0,12.41,12.77,523,106023
2013-01-16,13.17,12.47,12.4,13.0,348,80493
2013-01-17,12.68,12.5,12.45,12.57,178,26550
2013-01-18,12.95,12.82,12.41,12.51,118,30556
2013-01-22,12.97,12.93,12.72,12.79,166,37689
2013-01-23,13.34,13.28,12.67,12.87,319,52971
2013-01-24,13.53,13.04,12.99,13.13,160,28243
2013-01-25,13.5,13.1,13.0,13.19,223,32142
2013-01-28,13.91,13.5,13.11,13.11,460,66391
2013-01-29,13.53,13.19,13.02,13.53,167,32522
2013-01-30,13.21,12.59,12.27,13.21,361,79488
2013-01-31,12.91,12.78,12.39,12.5,236,39832
2013-02-01,13.07,12.9,12.62,12.71,282,52870
2013-02-04,13.24,12.99,12.7,12.8,139,21473
2013-02-05,13.28,13.03,12.95,12.95,435,92729
2013-02-06,13.1,12.99,12.85,12.96,205,32124
2013-02-07,13.26,13.24,12.91,12.97,335,51056
2013-02-08,13.66,13.58,13.13,13.25,263,55709
2013-02-11,14.83,14.65,13.32,13.61,403,65936
2013-02-12,14.94,14.86,14.21,14.7,368,66238
2013-02-13,15.01,14.47,14.18,14.84,456,131776
2013-02-14,14.54,14.03,13.82,14.45,379,65305
2013-02-15,14.24,13.9,13.75,14.24,285,51737
2013-02-19,14.42,13.82,13.15,13.85,697,136018
2013-02-20,13.87,13.0,12.99,13.62,371,103339
2013-02-21,13.22,13.02,12.79,12.97,152,24569
2013-02-22,13.36,13.36,12.95,13.06,101,14634
2013-02-25,13.5,13.3,13.29,13.37,164,27458
2013-02-26,13.75,13.66,12.6,13.34,448,104652
2013-02-27,14.05,13.82,13.55,13.7,282,55032
2013-02-28,14.69,14.45,13.72,13.88,839,172265
2013-03-01,14.7,14.25,14.0,14.7,345,62581
2013-03-04,14.59,14.45,13.98,14.21,238,65635
2013-03-05,14.84,14.24,13.8,14.58,292,56231
2013-03-06,14.55,14.51,14.24,14.25,156,28728
2013-03-07,14.88,14.85,14.45,14.5,270,50031
2013-03-08,14.93,14.9,14.49,14.81,233,56700
2013-03-11,15.13,15.0,14.78,14.87,429,177668
2013-03-12,15.04,14.74,13.17,15.0,361,80614
2013-03-13,14.75,14.51,14.36,14.72,155,35656
2013-03-14,14.66,14.5,14.09,14.47,254,39614
2013-03-15,14.53,14.26,14.26,14.5,714,427110
2013-03-18,14.27,14.19,14.07,14.07,237,37979
2013-03-19,14.39,14.35,14.01,14.25,309,59131
2013-03-20,14.31,14.15,13.95,14.25,208,49288
2013-03-21,14.41,14.36,14.05,14.17,129,29231
2013-03-22,14.41,14.33,14.24,14.36,228,40720
2013-03-25,14.39,14.33,14.16,14.35,181,29971
2013-03-26,14.6,14.56,14.32,14.35,275,56191
2013-03-27,14.95,14.88,14.46,14.46,203,30755
2013-03-28,14.84,14.68,14.4,14.84,121,50107
2013-04-01,14.8,14.56,14.24,14.76,274,44840
2013-04-02,14.79,14.65,14.41,14.57,277,40797
2013-04-03,14.44,14.29,13.8,14.41,307,78294
2013-04-04,14.74,14.64,14.34,14.34,211,30580
2013-04-05,14.7,14.63,14.18,14.47,193,36558
2013-04-08,15.12,14.98,14.58,14.58,668,128284
2013-04-09,15.54,15.34,14.97,14.97,291,67224
2013-04-10,15.7,15.35,15.33,15.5,371,70389
2013-04-11,15.4,14.83,14.76,15.35,368,79073
2013-04-12,15.19,15.05,14.73,14.73,127,21707
2013-04-15,15.26,15.11,14.79,15.0,415,158655
2013-04-16,15.22,15.22,14.43,15.0,354,132710
2013-04-17,15.14,15.05,14.91,15.05,185,47612
2013-04-18,15.17,15.11,14.99,15.03,180,40172
2013-04-19,15.17,15.14,14.96,15.1,297,83073
2013-04-22,15.68,15.55,15.08,15.2,273,63191
2013-04-23,15.86,15.79,15.58,15.58,177,32260
2013-04-24,15.99,15.94,15.69,15.76,237,44498
2013-04-25,16.0,15.83,15.27,15.95,300,88087
2013-04-26,15.86,15.22,15.21,15.82,143,26652
2013-04-29,15.3,14.8,14.601,15.3,257,49907
2013-04-30,15.22,15.22,14.77,14.79,336,75607
2013-05-01,15.26,15.19,15.1,15.19,277,43889
2013-05-02,15.96,15.68,15.15,15.21,316,55114
2013-05-03,16.4,16.39,15.37,15.96,521,122420
