Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-06-06,12.6,10.48,9.62,12.1,8560,5685222
2019-06-07,10.7,10.0,8.53,10.5,2664,947390
2019-06-10,9.8,9.55,9.35,9.69,1037,240084
2019-06-11,9.71,9.52,9.44,9.57,911,166421
2019-06-12,9.7,9.57,9.45,9.52,305,119635
2019-06-13,9.75,9.56,9.42,9.42,330,99965
2019-06-14,9.66,9.5,9.3,9.55,1822,493887
2019-06-17,9.62,9.45,9.4,9.6,212,43480
2019-06-18,9.64,9.42,9.22,9.46,534,85802
2019-06-19,9.42,9.35,9.29,9.42,36,30857
2019-06-20,9.42,9.37,9.22,9.4,196,37581
2019-06-21,9.64,9.6,9.32,9.5,748,266418
2019-06-24,9.54,9.36,9.34,9.52,199,42879
2019-06-25,9.67,9.4,9.27,9.27,559,173786
2019-06-26,9.7,9.42,9.34,9.35,378,89197
2019-06-27,10.04,10.01,9.31,9.31,485,157219
2019-06-28,10.83,10.79,9.81,10.0,1452,478312
2019-07-01,11.23,9.92,9.85,11.12,605,119471
2019-07-02,10.48,10.15,9.9,9.9,480,103165
2019-07-03,10.52,10.5,10.01,10.15,526,125939
2019-07-05,10.9,10.6,10.03,10.35,852,210211
2019-07-08,10.6,9.57,9.5,10.55,1277,559966
2019-07-09,9.87,9.51,9.41,9.52,705,213941
2019-07-10,9.7,9.07,8.96,9.55,1406,465474
2019-07-11,9.41,9.07,8.83,9.15,600,159836
2019-07-12,9.37,9.12,9.06,9.09,164,30736
2019-07-15,9.73,9.58,9.07,9.07,261,71505
2019-07-16,10.38,10.12,9.62,9.8,1099,259966
2019-07-17,10.78,10.4,10.08,10.08,880,229835
2019-07-18,10.61,10.06,10.02,10.47,272,63026
2019-07-19,10.42,10.34,10.14,10.14,32,10500
2019-07-22,10.85,10.82,10.25,10.25,164,45332
2019-07-23,11.46,11.27,10.65,10.82,308,63417
2019-07-24,11.99,11.88,11.06,11.17,304,82113
2019-07-25,13.4,12.74,11.99,12.0,1418,312511
2019-07-26,13.99,13.0,12.91,13.0,1239,244229
2019-07-29,13.5,13.3,12.53,13.14,1135,221423
2019-07-30,13.84,13.18,13.01,13.38,1240,296273
2019-07-31,13.72,12.95,12.87,13.24,1455,283533
2019-08-01,13.49,12.9,12.82,12.94,1236,236976
2019-08-02,13.17,12.79,12.44,12.94,929,189139
2019-08-05,13.0,12.54,12.08,12.65,1144,403324
2019-08-06,12.9,12.6,12.43,12.43,528,225684
2019-08-07,13.49,13.15,12.38,12.55,437,98281
2019-08-08,13.66,13.28,13.19,13.19,379,159597
2019-08-09,13.39,13.36,13.13,13.16,233,39193
2019-08-12,15.37,14.67,13.43,13.43,1071,246326
2019-08-13,14.97,14.24,13.67,14.74,778,177451
2019-08-14,14.3,13.4,13.35,13.9,619,169098
2019-08-15,13.88,13.39,13.3,13.4,664,378416
2019-08-16,14.0,13.45,13.26,13.53,999,347910
2019-08-19,14.72,13.94,13.55,13.55,751,359495
2019-08-20,15.0,14.65,14.06,14.07,1369,413681
2019-08-21,17.14,16.0,15.0,15.0,2244,449159
2019-08-22,17.51,14.61,14.51,17.5,1280,380032
2019-08-23,14.59,13.57,13.35,14.01,1869,375127
2019-08-26,14.04,12.8,12.41,13.78,949,222076
2019-08-27,13.34,12.78,12.57,13.0,620,153968
2019-08-28,13.84,13.73,12.75,12.76,722,327471
2019-08-29,14.15,13.64,13.51,13.9,745,109300
2019-08-30,14.4,14.32,13.24,13.8,690,110625
2019-09-03,14.1,13.75,13.56,14.1,613,499210
2019-09-04,13.84,13.09,13.01,13.75,699,112110
2019-09-05,13.07,12.82,12.51,13.07,552,86870
2019-09-06,13.12,12.3,11.77,12.93,681,132463
2019-09-09,12.86,12.46,12.2,12.4,502,91888
2019-09-10,12.92,12.83,12.07,12.28,694,315417
2019-09-11,12.95,12.93,12.79,12.79,651,304665
2019-09-12,12.97,12.95,12.725,12.88,180,238919
2019-09-13,13.45,13.44,12.95,12.98,234,244003
2019-09-16,13.65,13.6,13.08,13.27,482,86569
2019-09-17,13.75,13.7,13.36,13.48,357,70631
2019-09-18,14.33,14.15,13.49,13.49,439,74125
2019-09-19,14.4,14.29,13.58,14.15,370,70232
2019-09-20,14.64,14.59,14.17,14.17,595,96868
2019-09-23,14.64,14.59,14.27,14.47,276,39773
2019-09-24,14.71,14.07,14.03,14.47,762,120723
2019-09-25,14.86,14.86,13.91,13.96,720,107330
2019-09-26,15.15,14.75,14.22,14.78,560,72524
2019-09-27,15.35,15.02,14.4,14.64,1419,297887
2019-09-30,15.31,15.31,14.6,15.01,913,146300
2019-10-01,15.35,15.15,14.8,15.35,823,160435
2019-10-02,15.03,14.08,13.86,15.03,564,83830
2019-10-03,14.26,14.11,13.71,13.98,781,108923
2019-10-04,14.7,14.7,13.8,14.17,469,68403
2019-10-07,14.51,14.33,14.13,14.51,343,45924
2019-10-08,14.21,13.88,13.3,14.21,658,115041
2019-10-09,14.62,14.49,13.8,14.07,213,39493
2019-10-10,14.56,14.2,13.86,14.49,641,84273
2019-10-11,15.75,14.31,13.89,15.75,404,224460
2019-10-14,14.41,14.31,14.1,14.19,324,55555
2019-10-15,14.44,14.01,13.99,14.44,426,55978
2019-10-16,14.11,14.1,13.71,13.89,211,34935
2019-10-17,14.61,14.61,13.93,14.0,316,52780
2019-10-18,14.84,14.25,14.04,14.61,318,58627
2019-10-21,14.5,13.99,13.91,14.16,457,91234
2019-10-22,14.35,14.25,14.05,14.09,389,58415
