Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,20.87,20.77,20.67,20.77,137,22204
2013-01-03,20.93,20.9,20.73,20.8,79,18733
2013-01-04,21.25,21.25,20.83,20.83,195,41039
2013-01-07,21.3,21.29,21.1,21.25,88,26961
2013-01-08,21.45,21.14,21.11,21.23,103,20700
2013-01-09,21.45,21.32,21.25,21.29,157,38643
2013-01-10,21.48,21.4,21.32,21.32,144,38392
2013-01-11,21.46,21.4,21.31,21.31,123,28816
2013-01-14,21.4,21.29,21.23,21.33,121,28200
2013-01-15,21.47,21.45,21.23,21.26,140,27346
2013-01-16,21.79,21.5,21.34,21.45,236,57103
2013-01-17,21.95,21.71,21.58,21.58,224,48934
2013-01-18,21.95,21.8,21.67,21.75,140,42288
2013-01-22,22.56,22.35,21.81,21.81,109,27546
2013-01-23,22.58,22.3,22.03,22.19,354,56182
2013-01-24,22.42,22.3,22.24,22.28,243,60519
2013-01-25,22.49,22.33,22.3,22.42,184,59457
2013-01-28,22.6,22.58,22.31,22.35,142,34176
2013-01-29,22.74,22.63,22.4,22.4,79,18486
2013-01-30,22.83,22.6,22.55,22.55,79,18786
2013-01-31,22.73,22.7,22.58,22.6,56,19240
2013-02-01,22.7,22.66,22.61,22.66,60,18445
2013-02-04,22.68,22.67,22.5,22.65,37,9229
2013-02-05,22.87,22.69,22.63,22.75,131,42784
2013-02-06,22.84,22.8,22.69,22.7,66,12255
2013-02-07,22.85,22.76,22.71,22.75,60,18033
2013-02-08,22.9,22.76,22.73,22.73,85,17433
2013-02-11,22.9,22.68,22.58,22.9,111,30778
2013-02-12,22.83,22.77,22.66,22.75,78,16076
2013-02-13,22.95,22.95,22.66,22.72,62,19166
2013-02-14,22.97,22.97,22.84,22.84,79,18230
2013-02-15,23.05,22.78,22.78,22.97,104,35605
2013-02-19,22.86,22.55,22.55,22.84,215,41567
2013-02-20,22.77,22.63,22.55,22.66,213,38685
2013-02-21,22.74,22.61,22.45,22.57,126,33118
2013-02-22,22.8,22.68,22.63,22.73,91,17911
2013-02-25,23.2,22.84,22.62,22.62,157,27220
2013-02-26,22.97,22.77,22.73,22.97,110,39317
2013-02-27,22.85,22.63,22.63,22.8,138,49985
2013-02-28,22.72,22.65,22.64,22.65,118,73771
2013-03-01,22.7,22.59,22.58,22.65,108,31194
2013-03-04,22.7,22.57,22.52,22.68,101,25570
2013-03-05,22.71,22.61,22.56,22.65,147,30129
2013-03-06,22.7,22.66,22.6,22.7,110,29225
2013-03-07,22.71,22.65,22.6,22.66,167,41443
2013-03-08,22.86,22.83,22.62,22.62,76,24840
2013-03-11,22.79,22.78,22.75,22.79,55,18282
2013-03-12,22.97,22.91,22.83,22.83,70,29811
2013-03-13,23.03,22.9,22.86,22.86,88,28936
2013-03-14,22.98,22.92,22.79,22.96,73,13509
2013-03-15,22.97,22.66,22.66,22.87,63,21845
2013-03-18,22.85,22.83,22.71,22.82,58,16350
2013-03-19,23.19,22.88,22.83,22.98,99,16061
2013-03-20,23.07,22.92,22.88,23.05,85,18720
2013-03-21,23.09,22.93,22.9,23.06,122,23241
2013-03-22,23.06,22.98,22.97,22.97,71,14534
2013-03-25,23.08,23.07,22.98,22.98,75,23785
2013-03-26,23.2,23.17,23.0,23.02,112,28263
2013-03-27,23.4,23.3,23.15,23.17,62,11856
2013-03-28,23.48,23.48,23.31,23.4,179,50781
2013-04-01,23.48,23.35,23.32,23.41,103,20897
2013-04-02,23.42,23.41,23.31,23.31,55,13576
2013-04-03,23.47,23.45,23.32,23.45,81,15133
2013-04-04,23.4,23.35,23.32,23.34,90,17115
2013-04-05,23.36,23.3,23.15,23.35,113,18523
2013-04-08,23.3,23.11,23.11,23.3,65,15847
2013-04-09,23.35,23.25,23.13,23.17,71,17542
2013-04-10,23.39,23.3,23.25,23.3,96,22338
2013-04-11,23.42,23.42,23.29,23.29,78,30176
2013-04-12,23.46,23.46,23.3,23.4,114,23097
2013-04-15,23.44,23.32,23.31,23.42,28,5337
2013-04-16,23.48,23.48,23.33,23.39,65,17934
2013-04-17,23.68,23.54,23.47,23.48,103,21499
2013-04-18,23.74,23.44,23.39,23.74,97,30566
2013-04-19,23.58,23.52,23.45,23.58,54,16837
2013-04-22,23.58,23.32,23.32,23.58,45,11917
2013-04-23,23.19,23.1,23.04,23.1,63,10704
2013-04-24,23.23,23.06,23.03,23.19,84,14059
2013-04-25,23.1,22.89,22.89,23.1,111,21023
2013-04-26,22.98,22.89,22.86,22.86,148,26239
2013-04-29,22.9,22.77,22.7,22.88,176,33623
2013-04-30,22.91,22.89,22.73,22.88,157,26033
2013-05-01,22.96,22.89,22.82,22.86,65,9069
2013-05-02,23.15,23.13,22.92,22.97,110,21031
2013-05-03,23.19,23.18,23.03,23.13,29,7728
2013-05-06,23.21,23.21,23.07,23.15,72,29886
2013-05-07,23.39,23.2,23.18,23.24,101,20309
2013-05-08,23.43,23.34,23.18,23.28,72,15789
2013-05-09,23.48,23.47,23.33,23.33,72,17515
2013-05-10,23.65,23.55,23.47,23.47,54,17204
2013-05-13,23.67,23.52,23.52,23.67,92,26766
2013-05-14,23.59,23.37,23.37,23.5,134,34493
2013-05-15,23.5,23.43,23.37,23.44,489,95401
2013-05-16,23.51,23.5,23.43,23.5,93,23422
2013-05-17,23.74,23.74,23.51,23.57,60,22707
2013-05-20,23.73,23.7,23.65,23.68,42,12227
2013-05-21,23.74,23.67,23.65,23.74,64,16874
2013-05-22,23.7,23.65,23.6,23.7,56,14020
2013-05-23,23.56,23.55,23.47,23.55,96,19774
2013-05-24,23.74,23.74,23.55,23.6,52,13627
2013-05-28,23.68,23.63,23.58,23.65,52,16762
2013-05-29,23.66,23.6,23.42,23.66,40,11661
2013-05-30,23.73,23.61,23.56,23.57,71,15425
2013-05-31,23.66,23.45,23.25,23.66,84,23355
2013-06-03,23.3,23.25,22.76,23.3,116,23501
2013-06-04,23.48,23.48,23.19,23.25,143,25531
2013-06-05,23.39,23.24,23.05,23.39,60,16314
2013-06-06,23.5,23.45,23.06,23.06,85,17282
2013-06-07,23.65,23.55,23.32,23.43,109,24192
2013-06-10,23.59,23.4,23.38,23.51,43,9128
2013-06-11,23.38,22.6,22.38,23.38,131,27615
2013-06-12,22.74,22.1,21.51,22.56,118,28195
2013-06-13,22.48,22.48,21.78,22.04,170,61992
