Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-12-13,,,,,3,210
2016-12-14,27.0,25.76,25.76,27.0,10,1450
2016-12-15,27.0,26.1,26.0,26.96,147,30459
2016-12-16,26.11,26.05,26.0,26.0,21,1620
2016-12-19,26.0,25.76,25.57,25.57,23,2866
2016-12-20,26.4,26.0,25.55,25.65,70,4274
2016-12-21,25.9,25.38,25.36,25.9,145,9065
2016-12-22,25.7,25.49,25.45,25.46,336,19260
2016-12-23,25.65,25.65,25.5,25.51,169,7160
2016-12-27,25.67,25.5,25.4,25.67,11,1610
2016-12-28,25.75,25.75,25.75,25.75,4,560
2016-12-29,25.85,25.85,25.85,25.85,9,542
2016-12-30,26.8,26.0,25.75,25.85,61,7555
2017-01-03,26.0,25.58,25.51,26.0,452,108459
2017-01-04,27.93,25.85,25.0,25.35,3928,2934588
2017-01-05,25.98,25.58,24.99,25.74,2224,417759
2017-01-06,26.97,26.55,25.69,25.69,1288,262850
2017-01-09,26.97,26.5,26.02,26.34,1075,508825
2017-01-10,26.55,25.79,25.58,26.55,1473,310212
2017-01-11,25.95,25.49,25.46,25.88,1879,362232
2017-01-12,25.68,25.35,24.68,24.81,1807,402105
2017-01-13,25.37,25.05,25.03,25.29,869,170466
2017-01-17,25.04,24.99,24.9,24.95,460,117684
2017-01-18,25.24,25.19,25.03,25.12,369,80911
2017-01-19,26.94,26.09,26.0,26.01,736,211690
2017-01-20,26.74,26.6,25.98,25.98,504,131910
2017-01-23,27.22,27.14,26.48,26.48,457,75059
2017-01-24,28.71,28.65,26.81,26.94,910,136857
2017-01-25,29.0,28.36,28.24,28.65,457,69631
2017-01-26,28.5,28.23,28.19,28.5,347,108922
2017-01-27,28.67,28.51,28.0,28.17,437,62616
2017-01-30,28.51,28.36,28.12,28.51,331,57284
2017-01-31,29.45,29.33,28.18,28.2,889,210721
2017-02-01,29.72,29.26,29.1,29.1,548,78534
2017-02-02,29.44,29.03,28.97,29.44,842,106383
2017-02-03,29.71,29.31,28.84,29.35,806,122756
2017-02-06,29.41,29.3,28.99,29.0,386,116672
2017-02-07,29.79,29.58,29.17,29.18,839,91086
2017-02-08,30.09,30.01,29.64,29.73,596,109889
2017-02-09,30.68,30.6,30.0,30.05,625,85182
2017-02-10,30.73,30.35,30.17,30.73,385,50301
2017-02-13,30.64,30.3,29.87,30.46,499,108382
2017-02-14,30.35,29.62,29.51,30.29,862,106497
2017-02-15,30.05,30.01,29.53,29.96,1015,158236
2017-02-16,30.02,29.43,29.31,29.98,648,97887
2017-02-17,29.54,29.48,28.91,29.48,566,90744
2017-02-21,30.01,29.86,29.69,29.7,441,60884
2017-02-22,29.83,29.71,29.37,29.75,290,35245
2017-02-23,30.3,30.0,29.6,29.69,307,50338
2017-02-24,30.39,30.01,29.88,29.9,382,38648
2017-02-27,30.19,30.1,29.93,29.93,422,87275
2017-02-28,30.08,29.94,29.87,30.02,414,102165
2017-03-01,31.37,30.91,30.09,30.09,608,97115
2017-03-02,30.96,30.35,29.77,30.96,680,104240
2017-03-03,30.42,30.07,29.97,30.42,677,99018
2017-03-06,30.2,29.69,29.67,29.87,445,85609
2017-03-07,29.67,28.79,28.71,29.65,676,82583
2017-03-08,28.88,28.11,27.94,28.88,982,136719
2017-03-09,28.67,28.3,28.09,28.09,276,29156
