Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,21.26,21.23,20.76,21.25,1555,607030
2013-01-03,21.44,20.86,20.79,21.16,1131,271428
2013-01-04,21.88,21.84,20.91,21.05,1476,323261
2013-01-07,21.96,21.66,21.59,21.7,1465,338655
2013-01-08,21.58,21.09,21.05,21.55,1495,474476
2013-01-09,21.15,20.95,20.72,21.15,2001,487031
2013-01-10,21.17,21.0,20.89,21.13,1169,273599
2013-01-11,21.11,20.85,20.67,21.05,1430,331370
2013-01-14,20.92,20.72,20.59,20.81,841,203270
2013-01-15,21.6,21.51,20.75,21.0,1653,413169
2013-01-16,21.83,21.76,21.33,21.39,1804,415422
2013-01-17,22.24,22.12,21.69,21.92,1161,285358
2013-01-18,22.73,22.65,22.11,22.12,853,286398
2013-01-22,22.95,22.94,22.67,22.72,1099,297408
2013-01-23,23.0,22.76,22.54,22.94,1597,318995
2013-01-24,23.01,22.61,22.482,22.82,950,237152
2013-01-25,22.95,22.73,22.48,22.84,1278,347244
2013-01-28,23.11,22.85,22.66,22.83,1392,342660
2013-01-29,23.53,23.49,22.77,22.85,1820,421394
2013-01-30,23.77,23.36,23.12,23.43,2027,468859
2013-01-31,23.79,23.72,23.15,23.16,1452,350593
2013-02-01,24.3,24.07,23.46,23.84,1350,351093
2013-02-04,24.01,23.87,23.77,23.83,848,180497
2013-02-05,24.37,24.27,23.78,23.96,1208,255072
2013-02-06,24.59,24.59,24.05,24.1,1457,308349
2013-02-07,24.77,24.61,24.37,24.54,1272,277795
2013-02-08,24.9,24.8,24.62,24.63,658,178168
2013-02-11,24.82,24.5,24.322,24.75,697,153685
2013-02-12,24.55,24.34,24.27,24.52,1199,287550
2013-02-13,24.75,24.75,24.41,24.44,867,197795
2013-02-14,25.49,25.37,24.56,24.74,819,197847
2013-02-15,25.2,24.15,23.8,25.18,1407,403711
2013-02-19,24.68,24.67,24.24,24.24,972,239210
2013-02-20,24.64,23.75,23.67,24.6,1072,305132
2013-02-21,23.82,23.14,22.16,23.05,2374,534246
2013-02-22,24.44,24.07,22.92,23.37,2376,492825
2013-02-25,24.28,22.5,22.5,24.19,1559,317089
2013-02-26,22.74,22.62,22.11,22.68,1273,263670
2013-02-27,23.55,23.39,22.58,22.58,1156,238399
2013-02-28,23.66,23.41,23.15,23.39,1094,259603
2013-03-01,23.27,22.98,22.64,23.1,1439,348726
2013-03-04,23.2,22.79,22.45,22.93,630,162629
2013-03-05,23.32,23.24,22.91,23.01,691,164558
2013-03-06,23.47,23.24,22.97,23.35,632,146229
2013-03-07,23.45,23.34,23.15,23.28,811,181477
2013-03-08,23.81,23.7,23.3,23.56,931,282096
2013-03-11,23.8,23.8,23.29,23.62,826,197449
2013-03-12,23.85,23.5,23.17,23.75,1274,246362
2013-03-13,23.82,23.62,23.47,23.53,713,155350
2013-03-14,24.0,23.85,23.67,23.67,815,176415
2013-03-15,23.93,23.81,23.62,23.88,958,581898
2013-03-18,23.57,23.16,23.08,23.33,641,146654
2013-03-19,23.3,22.76,22.37,23.27,889,181643
2013-03-20,23.08,22.92,22.64,22.99,466,103146
2013-03-21,22.99,22.61,22.44,22.67,654,131957
2013-03-22,22.81,22.5,22.29,22.73,823,160045
2013-03-25,22.9,22.76,22.52,22.66,1096,248647
2013-03-26,23.53,23.51,22.94,22.96,528,129495
2013-03-27,23.28,23.15,22.86,23.26,1031,224847
2013-03-28,23.31,22.88,22.88,23.19,705,220550
2013-04-01,23.0,22.44,22.24,22.81,751,176454
2013-04-02,22.53,21.72,21.62,22.53,897,195802
2013-04-03,21.9,21.17,20.97,21.82,961,193869
2013-04-04,21.46,21.45,20.93,21.16,1023,230665
2013-04-05,22.5,22.06,20.95,20.95,1666,432418
2013-04-08,22.8,22.79,22.09,22.21,1104,206719
2013-04-09,23.45,23.37,22.65,22.84,705,166063
2013-04-10,24.39,23.89,23.42,23.42,1354,314690
2013-04-11,23.9,23.54,23.27,23.9,954,202630
2013-04-12,23.43,22.89,22.6,23.29,750,163437
2013-04-15,22.5,21.33,21.14,22.5,1948,457492
2013-04-16,21.85,21.75,21.16,21.64,1082,210286
2013-04-17,21.41,20.69,20.41,21.41,1316,274679
2013-04-18,21.25,21.16,20.34,20.82,1691,408114
2013-04-19,21.4,21.32,20.82,21.37,1516,375547
2013-04-22,21.73,21.55,20.71,21.28,1667,324224
2013-04-23,22.49,22.33,21.64,21.7,1540,308487
2013-04-24,23.49,23.1,22.41,22.41,1478,286512
2013-04-25,23.28,22.18,22.16,23.28,1498,305666
2013-04-26,22.43,22.33,21.78,22.07,1021,240820
2013-04-29,22.92,22.72,22.33,22.5,778,151043
2013-04-30,23.04,23.04,22.5,22.74,883,239372
2013-05-01,22.8,22.26,22.2,22.74,1314,333362
2013-05-02,23.58,23.41,22.28,22.41,1164,258060
2013-05-03,24.38,23.88,23.76,23.76,1130,228425
2013-05-06,24.07,23.95,23.52,23.81,1316,278382
2013-05-07,24.46,24.42,24.0,24.03,1132,244857
2013-05-08,24.56,24.46,24.11,24.5,1310,243275
2013-05-09,24.58,24.42,24.01,24.47,1374,267508
2013-05-10,24.53,24.52,23.84,24.27,820,155299
2013-05-13,24.68,24.39,24.17,24.48,646,140912
2013-05-14,25.01,24.95,24.32,24.39,946,229066
2013-05-15,25.08,25.01,24.66,24.79,718,139190
2013-05-16,25.08,24.69,24.64,24.87,791,165756
2013-05-17,25.58,25.5,24.9,24.9,642,189398
2013-05-20,25.99,25.84,25.38,25.49,730,165062
2013-05-21,25.81,25.53,25.38,25.78,607,119316
2013-05-22,25.66,24.38,24.29,25.59,1225,232047
2013-05-23,24.67,24.63,23.59,23.93,1085,326102
2013-05-24,24.5,24.35,24.1,24.45,685,132047
2013-05-28,24.95,24.46,24.26,24.95,811,186300
