Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-11-09,24.75,24.5,24.45,24.75,105,203916
2016-11-10,24.54,24.5,23.5,24.1,167,49601
2016-11-11,24.15,23.7,23.6,24.15,38,10505
2016-11-14,23.6,23.0,23.0,23.51,34,33950
2016-11-15,23.5,23.45,23.15,23.15,40,3144
2016-11-16,23.9,23.9,23.35,23.45,48,3424
2016-11-17,24.15,23.74,23.3,23.74,143,43635
2016-11-18,24.0,24.0,23.36,23.52,35,5064
2016-11-21,24.26,23.81,23.51,24.0,113,50545
2016-11-22,23.95,23.9,23.85,23.85,14,6588
2016-11-23,24.4,24.15,23.61,23.61,37,14221
2016-11-25,24.25,23.6,23.6,24.25,4,5540
2016-11-28,24.65,24.3,24.01,24.01,85,30997
2016-11-29,24.3,23.91,23.85,24.3,90,14684
2016-11-30,23.9,23.6,23.6,23.9,24,2934
2016-12-01,24.0,23.41,23.26,23.42,74,15141
2016-12-02,23.48,23.15,23.03,23.48,66,10155
2016-12-05,23.48,23.0,22.7,23.15,38,5263
2016-12-06,22.91,22.7,22.61,22.91,32,3243
2016-12-07,23.0,23.0,22.85,22.85,30,4291
2016-12-08,23.11,22.7,22.42,23.11,189,16091
2016-12-09,22.66,22.43,22.4,22.62,93,13414
2016-12-12,22.5,22.1,22.1,22.5,77,14048
2016-12-13,22.2,22.04,22.03,22.11,148,13043
2016-12-14,22.2,22.13,22.0,22.14,180,12593
2016-12-15,22.2,22.16,22.01,22.09,284,15280
2016-12-16,22.5,22.5,22.15,22.17,514,22915
2016-12-19,22.75,22.54,22.47,22.47,51,11086
2016-12-20,22.68,22.6,22.35,22.55,170,19914
2016-12-21,22.63,22.6,22.52,22.63,107,12987
2016-12-22,22.88,22.76,22.56,22.6,123,21540
2016-12-23,22.95,22.95,22.7,22.859,79,8742
2016-12-27,23.0,22.95,22.8,22.93,166,32778
2016-12-28,22.68,22.58,22.36,22.68,108,20959
2016-12-29,22.62,22.56,22.5,22.62,164,32486
2016-12-30,22.61,22.51,22.51,22.6,195,21565
2017-01-03,22.68,22.62,22.56,22.58,155,12223
2017-01-04,22.89,22.86,22.72,22.76,78,5558
2017-01-05,22.99,22.86,22.75,22.97,54,4331
2017-01-06,23.05,23.05,22.85,22.85,46,5876
2017-01-09,23.06,22.99,22.93,23.0,124,5117
2017-01-10,23.04,23.0,22.96,23.04,41,3609
2017-01-11,23.03,23.03,22.85,22.89,95,16778
2017-01-12,23.13,23.1,23.03,23.11,48,4832
2017-01-13,23.15,23.13,23.1,23.12,171,3202
2017-01-17,23.3,23.3,23.21,23.21,100,5356
2017-01-18,23.4,23.4,23.3,23.3,226,18623
2017-01-19,23.25,23.24,23.24,23.24,127,5853
2017-01-20,23.09,23.06,23.05,23.08,209,6630
2017-01-23,23.28,23.26,23.16,23.16,64,6655
2017-01-24,23.25,23.16,23.08,23.19,598,7702
2017-01-25,23.1,22.78,22.78,23.1,480,4338
2017-01-27,22.91,22.91,22.89,22.89,6,450
2017-01-30,22.96,22.87,22.76,22.86,197,5530
2017-01-31,22.98,22.9,22.88,22.88,206,2021
2017-02-01,22.88,22.88,22.88,22.88,87,1328
2017-02-02,23.02,23.02,22.92,22.92,28,1485
2017-02-03,23.1,23.04,23.0,23.02,344,11072
2017-02-06,23.33,23.3,23.1,23.1,124,14579
2017-02-07,23.32,23.3,23.3,23.3,14,2700
2017-02-08,23.38,23.38,23.3,23.31,23,3521
2017-02-09,23.41,23.41,23.31,23.31,28,2063
2017-02-10,23.58,23.58,23.4,23.4,13,1220
2017-02-13,23.67,23.67,23.59,23.59,20,3367
2017-02-14,23.75,23.7,23.6,23.68,41,6202
2017-02-15,23.68,23.63,23.41,23.54,48,8228
2017-02-16,23.78,23.78,23.71,23.72,25,2131
2017-02-17,23.98,23.7,23.661,23.78,30,5128
2017-02-21,24.07,24.0,23.88,23.88,69,5464
2017-02-22,24.09,23.95,23.85,24.05,78,10317
2017-02-23,23.95,23.95,23.76,23.95,98,12706
2017-02-24,24.05,24.04,23.94,23.95,24,3493
2017-02-27,24.09,24.09,23.87,23.87,43,6258
2017-02-28,24.1,24.0,23.78,24.09,49,7305
2017-03-01,23.94,23.74,23.51,23.72,153,28391
2017-03-02,23.73,23.6,23.54,23.6,93,10032
2017-03-03,23.7,23.56,23.53,23.7,80,12451
2017-03-06,23.7,23.7,23.5,23.5,41,4125
2017-03-07,23.77,23.77,23.7,23.7,19,1532
2017-03-08,23.78,23.49,23.4,23.78,34,4740
2017-03-09,23.7,23.35,23.16,23.7,37,4359
2017-03-10,23.67,23.67,23.31,23.4,27,2542
2017-03-13,23.69,23.69,23.4,23.66,7,1000
2017-03-14,23.69,23.59,23.5,23.5,25,3714
2017-03-15,23.88,23.88,23.69,23.69,25,4198
2017-03-16,23.78,23.73,23.62,23.75,80,11226
2017-03-17,23.91,23.91,23.6,23.72,42,6340
2017-03-20,23.91,23.9,23.76,23.76,28,5201
2017-03-21,23.98,23.97,23.89,23.89,777,8793
2017-03-22,24.08,24.08,23.91,23.91,789,3994
2017-03-23,24.1,24.1,24.04,24.079,538,11761
2017-03-24,24.19,24.15,24.09,24.09,256,4505
2017-03-27,24.28,24.25,24.1,24.18,88,2662
2017-03-28,24.36,24.36,24.25,24.25,183,3556
2017-03-29,24.01,23.9,23.86,23.95,402,17229
2017-03-30,24.42,24.42,23.98,23.98,486,28265
2017-03-31,24.7,24.69,24.36,24.44,26,18811
2017-04-03,24.84,24.8,24.5,24.5,490,12184
2017-04-04,24.76,24.76,24.57,24.66,523,12363
2017-04-05,24.77,24.75,24.7,24.76,471,17815
2017-04-06,24.75,24.75,24.75,24.75,115,582
2017-04-07,24.751,24.751,24.74,24.75,484,15859
2017-04-10,24.77,24.76,24.75,24.77,69,1188
2017-04-11,24.78,24.5,24.39,24.75,58,10852
2017-04-13,24.88,24.66,24.58,24.58,126,13372
2017-04-17,24.84,24.73,24.7,24.84,8,5235
2017-04-18,24.75,24.75,24.68,24.71,11,2844
2017-04-19,24.75,24.7,24.6,24.75,46,6608
2017-04-20,24.89,24.89,24.89,24.89,2,101
2017-04-21,24.89,24.51,24.51,24.89,15,30996
2017-04-24,24.68,24.67,24.66,24.66,39,1072
2017-04-25,24.769,24.45,24.38,24.769,112,10132
2017-04-26,24.75,24.7,24.38,24.47,177,7693
2017-04-27,24.75,24.66,24.66,24.74,133,2065
2017-04-28,24.8,24.75,24.75,24.8,95,3492
2017-05-01,24.8,24.8,24.7,24.7,3,1134
2017-05-02,24.72,24.72,24.69,24.7,12,1168
2017-05-03,24.89,24.89,24.66,24.66,28,5430
2017-05-04,24.85,24.76,24.76,24.85,68,1891
2017-05-05,24.75,24.75,24.75,24.75,38,1752
2017-05-08,24.89,24.54,24.54,24.89,195,6182
2017-05-09,24.74,24.74,24.58,24.58,21,3088
2017-05-10,24.89,24.89,24.879,24.89,18,4459
2017-05-11,24.78,24.6,24.6,24.78,12,1808
2017-05-12,24.85,24.8,24.8,24.85,7,347
2017-05-15,24.9,24.9,24.9,24.9,12,1486
2017-05-16,24.9,24.9,24.65,24.66,28,2701
2017-05-17,24.901,24.901,24.9,24.9,13,1826
2017-05-18,24.87,24.87,24.85,24.87,7,4004
2017-05-19,24.75,24.72,24.72,24.75,2,1600
2017-05-22,24.95,24.9,24.64,24.94,10,1900
2017-05-23,,,,,1,89
2017-05-24,24.8,24.63,24.62,24.73,27,5060
2017-05-25,24.88,24.72,24.72,24.75,20,2354
