Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-04-12,25.46,25.46,18.27,18.95,9531,2786679
2019-04-15,39.95,31.91,25.63,27.05,14117,2932586
2019-04-16,43.39,43.04,33.11,36.0,13996,2932955
2019-04-17,49.72,40.07,36.33,48.0,15380,2656511
2019-04-18,38.25,35.15,31.7,38.15,6058,1316268
2019-04-22,36.94,33.37,32.71,34.21,3136,714241
2019-04-23,36.3,36.01,33.85,34.0,1902,492479
2019-04-24,38.74,37.17,36.5,37.0,2393,530436
2019-04-25,37.47,35.9,35.0,37.31,1325,363197
2019-04-26,40.95,40.21,35.9,36.81,3947,887497
2019-04-29,45.3,45.26,40.33,41.3,4574,995532
2019-04-30,45.0,42.97,41.36,44.35,3529,720644
2019-05-01,47.95,46.99,42.2,43.33,4172,920348
2019-05-02,46.68,40.77,40.57,45.54,3018,666493
2019-05-03,43.13,38.86,37.7,42.37,3959,744107
2019-05-06,40.38,37.72,37.0,37.4,1798,416626
2019-05-07,36.55,35.8,34.14,36.5,3245,696112
2019-05-08,35.64,33.11,33.11,34.86,1672,304790
2019-05-09,32.84,26.89,25.0,32.1,7971,1739244
2019-05-10,26.75,24.5,18.13,24.16,9274,2119697
2019-05-13,26.88,26.6,20.2,21.46,7198,1445262
2019-05-14,29.17,25.6,25.07,28.36,4571,990200
2019-05-15,26.38,23.44,23.29,25.75,2021,453880
2019-05-16,23.46,21.23,21.0,23.01,2762,631239
2019-05-17,21.04,19.92,19.09,21.03,2540,512891
2019-05-20,21.801,20.44,18.8,20.4,2582,519865
2019-05-21,24.1,23.29,20.89,20.89,1769,405857
2019-05-22,25.48,22.35,22.01,23.29,1678,361688
2019-05-23,22.99,22.49,20.8,21.22,792,205715
2019-05-24,24.28,23.4,23.1,24.0,813,215139
2019-05-28,24.54,23.06,21.01,23.5,1887,368298
2019-05-29,24.63,24.39,22.37,22.76,1434,289293
2019-05-30,26.44,25.33,24.36,24.36,1096,205352
2019-05-31,26.7,26.62,24.97,24.97,1209,210099
2019-06-03,27.16,25.81,24.38,26.7,1007,172967
2019-06-04,26.85,26.54,25.97,26.0,613,136593
2019-06-05,27.475,26.36,25.55,27.15,575,115842
2019-06-06,26.72,25.93,25.75,26.4,518,95823
2019-06-07,26.5,24.64,24.5,25.9,718,141005
2019-06-10,24.87,23.45,23.21,24.5,972,134413
2019-06-11,23.86,22.58,21.91,23.61,968,190398
2019-06-12,25.25,24.75,22.42,22.42,927,141805
2019-06-13,24.71,23.89,22.96,24.71,797,112730
2019-06-14,25.13,24.23,23.57,23.87,632,109207
2019-06-17,24.2,23.33,23.0,24.2,542,93805
2019-06-18,23.67,23.13,22.75,23.18,446,81236
2019-06-19,23.22,23.08,22.55,23.21,337,72894
2019-06-20,24.24,24.04,22.96,22.96,412,74571
2019-06-21,25.68,25.62,23.7,24.0,1020,311220
2019-06-24,26.08,25.53,24.78,25.59,984,144570
2019-06-25,26.33,25.65,24.59,25.21,761,107979
2019-06-26,26.26,26.12,25.31,25.65,938,123673
2019-06-27,28.27,26.27,26.27,26.33,1647,381804
2019-06-28,26.79,26.42,24.64,26.5,809,140278
2019-07-01,27.25,26.0,25.61,27.0,940,151956
2019-07-02,26.2,25.14,24.76,26.03,817,252959
2019-07-03,26.49,24.85,24.62,25.14,863,166623
2019-07-05,26.57,26.07,24.88,24.88,679,108737
2019-07-08,26.46,25.98,25.72,26.13,378,55118
2019-07-09,27.37,27.16,25.46,26.0,743,111312
2019-07-10,27.9,26.33,26.2,27.59,812,123827
2019-07-11,26.45,24.87,24.82,26.45,740,127867
2019-07-12,25.26,24.54,23.65,24.89,823,123046
2019-07-15,25.01,23.85,23.8,24.45,896,124612
2019-07-16,24.0,23.07,22.95,23.97,706,97213
2019-07-17,23.76,22.72,22.7,23.05,767,104257
2019-07-18,22.69,22.1,21.89,22.69,621,95768
2019-07-19,23.19,22.72,22.0,22.0,479,71962
2019-07-22,23.1,21.58,21.21,22.75,719,93251
2019-07-23,22.11,21.15,20.26,21.63,1067,142274
2019-07-24,21.51,21.38,20.84,20.94,439,68451
2019-07-25,21.35,20.08,20.01,21.02,782,89451
2019-07-26,21.07,19.66,19.54,20.19,625,107264
2019-07-29,20.1,19.05,19.0,20.1,599,147550
2019-07-30,19.43,17.83,17.51,19.05,1572,265752
2019-07-31,17.865,17.02,16.64,17.6,2100,441686
2019-08-01,17.26,16.25,16.11,17.15,598,113205
2019-08-02,16.26,15.66,15.35,16.1,711,95134
2019-08-05,15.91,14.57,14.02,15.59,1257,225158
2019-08-06,15.43,13.81,13.68,15.15,786,127585
2019-08-07,13.79,13.46,12.6,13.79,909,179057
2019-08-08,13.91,13.25,13.16,13.75,617,79938
2019-08-09,13.19,12.35,12.18,13.11,723,123054
2019-08-12,12.66,11.48,11.43,12.65,718,130662
2019-08-13,13.675,13.13,11.3,11.5,1247,212000
2019-08-14,13.49,12.8,11.8,12.75,784,169147
2019-08-15,13.55,13.27,12.17,13.38,785,184884
2019-08-16,13.67,13.07,12.57,13.59,741,145458
2019-08-19,15.75,15.41,13.12,13.57,1396,261143
2019-08-20,15.98,14.75,14.34,15.91,2270,440647
2019-08-21,13.87,12.27,12.09,12.09,3764,800364
2019-08-22,13.59,13.31,12.54,12.88,1417,305621
2019-08-23,13.22,12.77,12.59,12.81,960,239581
2019-08-26,13.02,11.83,11.41,12.99,1399,207970
2019-08-27,12.099,11.06,11.05,12.0,971,169883
2019-08-28,11.19,10.53,10.18,11.19,1156,223623
2019-08-29,11.06,10.8,10.37,10.7,741,130357
2019-08-30,11.35,11.15,10.62,10.8,562,106639
2019-09-03,11.04,10.05,9.99,11.04,898,178131
2019-09-04,11.36,11.31,10.27,10.35,1028,260547
2019-09-05,11.2,10.9,10.1,11.18,882,228126
2019-09-06,11.56,11.05,10.8,10.9,537,112959
2019-09-09,11.39,10.77,10.39,11.23,772,172116
2019-09-10,11.679,10.88,10.42,10.76,902,134285
2019-09-11,10.84,10.75,10.47,10.84,910,204619
2019-09-12,11.3,10.93,10.69,10.8,427,107229
2019-09-13,11.42,11.11,10.92,10.99,483,93188
2019-09-16,11.225,11.04,10.75,10.93,500,79170
2019-09-17,11.405,10.86,10.75,11.08,472,84377
2019-09-18,11.12,10.94,10.62,10.95,550,94263
2019-09-19,11.07,10.55,10.49,10.77,385,80464
2019-09-20,10.77,10.38,10.21,10.55,909,167170
2019-09-23,10.52,9.43,9.36,10.44,1072,254656
2019-09-24,9.77,8.53,8.49,9.49,1141,258371
2019-09-25,8.6,7.95,7.8,8.55,723,238863
2019-09-26,8.54,8.05,7.53,8.0,1663,284645
2019-09-27,8.87,8.23,7.95,8.0,592,148633
2019-09-30,8.3,7.93,7.88,8.17,501,144377
2019-10-01,7.98,7.39,7.35,7.89,959,194767
2019-10-02,7.71,7.58,7.14,7.28,469,106098
2019-10-03,8.07,7.94,7.6,7.66,691,131081
2019-10-04,8.32,8.07,8.01,8.04,444,85199
2019-10-07,8.74,8.36,8.0,8.0,751,131009
2019-10-08,8.23,7.54,7.48,8.21,1225,237594
2019-10-09,7.74,7.54,7.33,7.69,874,200070
2019-10-10,7.57,7.19,6.97,7.55,1213,212464
2019-10-11,7.29,6.68,6.42,7.17,1584,330694
2019-10-14,6.69,6.2,6.08,6.62,1213,268457
2019-10-15,7.04,6.78,5.94,6.11,2082,432090
2019-10-16,7.63,7.24,6.57,6.85,1851,338936
2019-10-17,8.25,7.98,7.11,7.36,2286,600478
2019-10-18,8.25,7.02,7.0,8.15,1005,269272
2019-10-21,7.67,7.22,7.17,7.22,643,154498
2019-10-22,7.15,6.74,6.51,7.15,1078,240275
2019-10-23,6.99,6.89,6.59,6.81,1108,206363
2019-10-24,6.99,6.87,6.62,6.89,654,142387
2019-10-25,6.945,6.8,6.61,6.85,611,146953
2019-10-28,6.96,6.52,6.45,6.82,900,205165
2019-10-29,6.6,6.46,6.24,6.49,928,200282
2019-10-30,6.58,6.51,6.01,6.43,1131,281882
2019-10-31,6.51,6.45,6.16,6.51,859,174141
2019-11-01,6.45,6.32,6.26,6.41,795,157900
2019-11-04,6.74,6.48,6.3,6.45,1509,273405
2019-11-05,6.55,6.3,6.3,6.53,772,161916
2019-11-06,6.39,6.21,6.11,6.31,755,180714
2019-11-07,6.305,6.19,6.12,6.2,489,94146
2019-11-08,6.36,6.26,6.16,6.36,483,123237
2019-11-11,6.86,6.66,6.13,6.25,1406,333742
2019-11-12,6.72,5.84,5.6,6.65,2722,880314
2019-11-13,6.3,6.09,5.83,5.84,1313,926427
2019-11-14,5.94,5.32,5.3,5.9,1567,692628
2019-11-15,5.57,5.49,5.37,5.37,779,232159
2019-11-18,5.55,5.28,4.95,5.5,1169,548528
2019-11-19,5.34,5.28,5.01,5.25,485,180149
2019-11-20,5.59,5.48,5.09,5.16,575,149737
2019-11-21,5.59,5.52,5.4,5.42,333,115832
2019-11-22,5.83,5.81,5.45,5.74,920,323318
2019-11-25,5.9,5.59,5.49,5.9,1024,321807
2019-11-26,6.305,5.93,5.47,5.6,1282,408333
2019-11-27,6.34,6.3,5.85,5.89,854,263086
2019-11-29,6.36,6.26,6.05,6.32,804,302957
2019-12-02,6.28,6.07,6.02,6.13,902,260213
2019-12-03,6.21,6.0,5.84,6.0,493,145678
2019-12-04,6.23,6.07,5.72,5.91,997,287936
2019-12-05,6.06,5.75,5.6,6.0,1044,321011
2019-12-06,5.95,5.85,5.71,5.8,644,164980
2019-12-09,5.9,5.58,5.56,5.9,386,139795
2019-12-10,5.64,5.53,5.2,5.63,784,402124
2019-12-11,5.65,5.43,5.34,5.56,597,286804
2019-12-12,5.62,5.46,5.34,5.34,384,102026
2019-12-13,5.55,5.38,5.37,5.51,273,93138
2019-12-16,5.51,5.44,5.35,5.35,371,91232
2019-12-17,5.815,5.75,5.36,5.39,372,147005
2019-12-18,5.96,5.48,5.44,5.8,401,135336
2019-12-19,5.66,5.66,5.4,5.4,671,184758
2019-12-20,5.62,5.44,5.44,5.62,413,319979
2019-12-23,5.59,5.49,5.41,5.41,337,100736
2019-12-24,5.57,5.5,5.465,5.49,191,66462
2019-12-26,5.825,5.78,5.5,5.55,611,141113
2019-12-27,6.19,6.13,5.86,5.86,1324,340927
2019-12-30,6.27,6.25,5.965,6.16,1307,406584
2019-12-31,6.745,6.73,6.21,6.23,1741,566663
2020-01-02,7.0,6.6,6.4,6.93,1509,390980
2020-01-03,6.61,6.51,6.23,6.4,1266,357055
2020-01-06,6.45,6.4,6.2,6.33,796,240134
2020-01-07,6.47,6.31,6.28,6.42,358,100793
2020-01-08,6.35,6.25,6.08,6.27,641,167147
2020-01-09,6.27,5.9,5.85,6.19,903,401260
2020-01-10,6.0,5.72,5.58,5.9,949,255820
2020-01-13,6.21,6.2,5.79,5.79,916,240634
2020-01-14,6.25,6.14,5.9,6.23,681,188586
2020-01-15,6.22,6.06,5.98,6.13,794,208966
2020-01-16,7.97,7.75,6.05,6.05,4622,1561588
2020-01-17,8.62,7.24,6.94,8.0,7793,2629945
2020-01-21,8.39,8.38,7.04,7.05,3253,1073218
2020-01-22,9.15,8.13,7.62,8.5,5045,1926183
2020-01-23,8.9,8.39,7.7,8.23,2667,1088931
2020-01-24,9.06,8.28,7.89,8.6,2073,771387
2020-01-27,8.0,7.33,7.2,7.95,1918,634275
2020-01-28,7.64,7.1,7.08,7.58,1370,440568
2020-01-29,7.24,6.5,6.5,7.15,2609,767646
