Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,25.04,25.0,24.73,24.73,31,9239
2013-01-03,25.0,24.94,24.78,25.0,41,16669
2013-01-04,25.0,25.0,24.88,24.96,47,17612
2013-01-07,25.34,25.34,24.97,25.0,70,25276
2013-01-08,25.32,25.12,25.04,25.32,70,17677
2013-01-09,25.34,25.22,25.07,25.14,101,20251
2013-01-10,25.34,25.22,25.22,25.28,37,6541
2013-01-11,25.25,25.15,25.08,25.23,65,10340
2013-01-14,25.3,25.05,25.05,25.3,44,11174
2013-01-15,25.17,25.05,24.99,25.17,31,7187
2013-01-16,25.22,25.18,25.08,25.08,41,7929
2013-01-17,25.25,25.24,25.16,25.25,39,9536
2013-01-18,25.33,25.26,25.15,25.25,40,7628
2013-01-22,25.36,25.25,25.17,25.34,53,13544
2013-01-23,25.36,25.17,25.16,25.18,75,20294
2013-01-24,25.35,25.2,25.16,25.23,51,10705
2013-01-25,25.3,25.29,25.21,25.27,45,12514
2013-01-28,25.27,25.19,25.06,25.22,92,17650
2013-01-29,25.2,25.16,25.06,25.2,57,13725
2013-01-30,25.18,25.08,25.05,25.15,65,16258
2013-01-31,25.17,25.08,25.06,25.15,52,13717
2013-02-01,25.28,25.25,25.14,25.18,26,12464
2013-02-04,25.28,25.22,25.12,25.28,68,13939
2013-02-05,25.3,25.25,25.18,25.26,43,7461
2013-02-06,25.35,25.28,25.27,25.29,29,6610
2013-02-07,25.38,25.33,25.29,25.35,25,5136
2013-02-08,25.46,25.44,25.26,25.38,31,7547
2013-02-11,25.44,25.41,25.32,25.44,22,6324
2013-02-12,25.49,25.47,25.35,25.49,30,6446
2013-02-13,25.43,25.35,25.3,25.35,28,8083
2013-02-14,25.47,25.45,25.28,25.47,34,7916
2013-02-15,25.47,25.47,25.28,25.44,50,11482
2013-02-19,25.57,25.39,25.35,25.5,52,11380
2013-02-20,25.59,25.46,25.3,25.45,120,30397
2013-02-21,25.53,25.36,25.27,25.49,121,26453
2013-02-22,25.48,25.46,25.26,25.36,90,16900
2013-02-25,25.46,25.3,25.3,25.44,58,14117
2013-02-26,25.45,25.37,25.3,25.38,50,9202
2013-02-27,25.57,25.52,25.37,25.37,115,25810
2013-02-28,25.58,25.55,25.48,25.53,36,8144
2013-03-01,25.62,25.6,25.53,25.56,33,11583
2013-03-04,25.68,25.63,25.5,25.6,73,18973
2013-03-05,25.77,25.62,25.6,25.73,49,8536
2013-03-06,25.77,25.75,25.64,25.7,22,4107
2013-03-07,25.79,25.6,25.48,25.78,77,19388
2013-03-08,25.82,25.65,25.54,25.82,35,10788
2013-03-11,25.79,25.7,25.61,25.79,26,8069
2013-03-12,25.75,25.56,25.46,25.75,50,9580
2013-03-13,25.57,25.46,25.35,25.57,21,4906
2013-03-14,25.61,25.39,25.34,25.5,40,11654
2013-03-15,25.55,25.19,25.08,25.55,42,7900
2013-03-18,25.48,25.13,25.09,25.25,45,15242
2013-03-19,25.25,25.0,24.91,25.25,66,19009
2013-03-20,25.24,24.98,24.97,25.01,43,10151
2013-03-21,25.2,25.19,25.01,25.01,23,8479
2013-03-22,25.37,25.2,25.13,25.37,41,9860
2013-03-25,25.37,25.16,25.11,25.37,46,13272
2013-03-26,25.24,25.19,25.16,25.2,31,16785
2013-03-27,25.23,25.16,25.15,25.21,62,22161
2013-03-28,25.6,25.6,25.17,25.28,445,95996
2013-04-01,25.57,25.55,25.35,25.56,154,32721
2013-04-02,25.6,25.41,25.4,25.6,30,7349
2013-04-03,25.5,25.29,25.19,25.47,55,12984
2013-04-04,25.58,25.36,25.26,25.49,59,23248
2013-04-05,25.5,25.36,25.33,25.5,28,13254
2013-04-08,25.5,25.35,25.31,25.5,51,15398
2013-04-09,25.55,25.51,25.37,25.55,42,10947
2013-04-10,25.6,25.55,25.52,25.6,23,6285
2013-04-11,25.57,25.36,25.34,25.57,31,7733
2013-04-12,25.56,25.4,25.34,25.5,27,6233
2013-04-15,25.4,25.26,25.17,25.4,36,9877
2013-04-16,25.43,25.34,25.2,25.41,61,11301
2013-04-17,25.42,25.41,25.25,25.25,42,11576
2013-04-18,25.49,25.44,25.36,25.37,45,8947
2013-04-19,25.57,25.45,25.41,25.53,22,6590
2013-04-22,25.56,25.43,25.41,25.56,18,5442
2013-04-23,25.53,25.42,25.4,25.53,48,11688
2013-04-24,25.74,25.63,25.44,25.49,71,12691
2013-04-25,25.65,25.58,25.4,25.5,92,29408
2013-04-26,25.68,25.59,25.56,25.68,47,13818
2013-04-29,25.67,25.6,25.5,25.53,72,19111
2013-04-30,25.78,25.73,25.66,25.69,54,12608
2013-05-01,25.83,25.79,25.71,25.83,47,18193
2013-05-02,25.98,25.97,25.82,25.88,21,3983
2013-05-03,26.09,26.09,25.91,25.91,70,15563
2013-05-06,26.18,26.1,25.92,26.18,76,14699
2013-05-07,26.2,26.13,25.94,26.1,64,11931
2013-05-08,26.39,26.38,26.13,26.2,104,17983
2013-05-09,26.42,26.21,26.12,26.42,53,13991
2013-05-10,26.27,26.16,26.12,26.21,40,8826
2013-05-13,26.05,25.99,25.96,26.02,41,11274
2013-05-14,26.06,25.95,25.86,26.06,43,8168
2013-05-15,26.09,26.0,25.89,25.97,107,20495
2013-05-16,26.1,26.03,25.89,25.95,111,21724
2013-05-17,26.19,26.1,25.92,26.19,87,19701
2013-05-20,26.08,25.85,25.83,26.0,45,9545
2013-05-21,25.94,25.85,25.7,25.93,24,6428
2013-05-22,26.02,25.51,25.41,25.97,69,21079
2013-05-23,25.6,25.3,25.29,25.49,90,28792
2013-05-24,25.43,25.43,25.32,25.42,22,5448
2013-05-28,25.59,25.41,25.28,25.5,50,12352
2013-05-29,25.58,25.02,24.94,25.48,86,21922
2013-05-30,25.24,25.24,25.03,25.2,85,22905
2013-05-31,25.22,25.0,24.91,25.22,83,24704
2013-06-03,25.09,24.42,24.26,25.09,129,37704
2013-06-04,24.62,24.57,24.31,24.32,60,15536
2013-06-05,24.62,24.42,24.38,24.59,45,14385
2013-06-06,24.73,24.69,24.41,24.42,66,15176
2013-06-07,24.81,24.76,24.68,24.7,46,11537
2013-06-10,24.71,24.31,24.31,24.66,60,13536
2013-06-11,24.2,23.92,23.86,24.19,93,27524
2013-06-12,23.95,23.17,23.0,23.9,200,43759
2013-06-13,23.98,23.94,22.9,23.29,147,22623
2013-06-14,24.06,23.91,23.76,23.92,43,12658
2013-06-17,24.14,24.01,23.96,24.07,42,9750
2013-06-18,24.08,23.97,23.78,24.08,56,15454
2013-06-19,24.1,23.65,23.65,24.0,81,16697
2013-06-20,23.48,23.28,22.95,23.48,92,22768
2013-06-21,23.45,23.15,23.03,23.45,50,10538
2013-06-24,22.99,22.65,22.34,22.93,85,19450
2013-06-25,22.93,22.83,22.63,22.67,45,10178
2013-06-26,23.76,23.76,23.17,23.17,71,19931
2013-06-27,24.25,24.25,23.76,23.76,39,7833
2013-06-28,24.29,24.29,23.91,24.24,93,26428
2013-07-01,24.73,24.25,24.19,24.73,51,19417
2013-07-02,24.4,23.86,23.55,24.4,97,22860
2013-07-03,24.14,23.89,23.81,23.88,42,7136
2013-07-05,23.91,23.38,23.14,23.88,95,19201
2013-07-08,23.76,23.2,23.15,23.66,82,22524
2013-07-09,23.55,23.43,23.23,23.39,30,7685
2013-07-10,23.62,23.52,23.42,23.6,31,7796
2013-07-11,23.62,23.59,23.46,23.5,57,14629
2013-07-12,23.73,23.45,23.34,23.59,58,17057
2013-07-15,23.57,23.47,23.4,23.54,28,7420
2013-07-16,23.59,23.27,23.27,23.59,45,7977
2013-07-17,23.57,23.53,23.2,23.48,66,12994
2013-07-18,23.55,23.25,23.25,23.53,72,16694
2013-07-19,23.35,23.28,23.25,23.25,34,6808
2013-07-22,23.38,23.29,23.25,23.38,29,7083
2013-07-23,23.5,23.47,23.32,23.37,23,7608
2013-07-24,23.56,23.47,23.31,23.56,34,9487
2013-07-25,23.48,23.33,23.22,23.48,48,11796
2013-07-26,23.6,23.52,23.24,23.32,52,10439
2013-07-29,23.63,23.54,23.38,23.54,34,7356
2013-07-30,23.72,23.67,23.43,23.57,70,14320
2013-07-31,23.7,23.68,23.37,23.56,60,11136
2013-08-01,23.97,23.49,23.44,23.97,47,13785
2013-08-02,23.68,23.62,23.49,23.64,22,5379
2013-08-05,23.74,23.38,23.37,23.74,24,5082
2013-08-06,23.4,23.31,23.24,23.39,44,7842
2013-08-07,23.45,23.33,23.23,23.45,23,3654
2013-08-08,23.51,23.45,23.26,23.44,32,6823
2013-08-09,23.53,23.53,23.31,23.45,25,11838
2013-08-12,23.46,23.42,23.3,23.45,24,3922
2013-08-13,23.32,23.01,22.95,23.32,44,10024
2013-08-14,22.99,22.56,22.51,22.93,65,13729
2013-08-15,22.51,22.31,22.02,22.5,175,53103
2013-08-16,22.33,22.23,22.15,22.3,35,6899
2013-08-19,22.23,21.89,21.85,22.23,110,27906
2013-08-20,22.1,21.99,21.82,21.85,172,43811
2013-08-21,22.14,22.0,21.94,22.07,42,7658
2013-08-22,22.32,22.19,22.08,22.15,40,8065
2013-08-23,22.47,22.36,22.15,22.15,76,13891
2013-08-26,22.52,22.34,22.3,22.48,92,18213
2013-08-27,22.38,22.3,22.18,22.3,54,15844
2013-08-28,22.4,22.34,22.19,22.35,55,9202
2013-08-29,22.66,22.66,22.36,22.37,43,7056
2013-08-30,22.67,22.6,22.46,22.67,35,10259
2013-09-03,22.87,22.56,22.47,22.87,66,22352
2013-09-04,22.65,22.53,22.46,22.61,46,12189
2013-09-05,22.59,22.33,22.26,22.59,34,7969
2013-09-06,22.49,22.31,22.31,22.34,51,18893
2013-09-09,22.37,22.33,22.29,22.35,26,9871
2013-09-10,22.44,22.2,22.07,22.44,78,16566
2013-09-11,22.12,22.04,21.94,22.01,40,13205
2013-09-12,22.16,22.05,22.05,22.12,37,12512
2013-09-13,22.14,22.14,22.0,22.0,17,5121
2013-09-16,22.41,22.25,22.21,22.21,68,18388
