Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-08-17,24.8,24.8,24.55,24.7,131,183564
2017-08-18,24.9,24.85,24.62,24.66,108,79810
2017-08-21,24.811,24.75,24.69,24.811,44,53589
2017-08-22,24.85,24.78,24.74,24.74,135,133024
2017-08-23,24.751,24.75,24.72,24.75,49,19251
2017-08-24,24.77,24.76,24.64,24.72,86,29827
2017-08-25,24.8,24.8,24.67,24.7,43,13230
2017-08-28,24.8,24.73,24.7,24.8,41,16582
2017-08-29,24.75,24.69,24.67,24.69,43,7305
2017-08-30,24.75,24.74,24.69,24.74,60,17621
2017-08-31,24.82,24.77,24.74,24.74,47,25334
2017-09-01,24.8,24.79,24.72,24.8,51,8532
2017-09-05,24.81,24.75,24.73,24.81,61,31208
2017-09-06,24.74,24.68,24.63,24.74,83,18372
2017-09-07,24.7,24.665,24.64,24.66,364,29235
2017-09-08,24.75,24.58,24.56,24.75,122,20022
2017-09-11,24.73,24.59,24.52,24.73,269,36195
2017-09-12,24.6,24.49,24.41,24.59,207,57307
2017-09-13,24.48,24.48,24.38,24.45,669,47626
2017-09-14,24.47,24.4,24.33,24.46,327,73314
2017-09-15,24.46,24.39,24.371,24.41,105,43372
2017-09-18,24.51,24.5,24.44,24.47,426,28668
2017-09-19,24.58,24.58,24.49,24.52,116,27397
2017-09-20,24.69,24.69,24.53,24.531,133,27561
2017-09-21,24.79,24.79,24.65,24.65,72,19158
2017-09-22,24.85,24.83,24.76,24.78,77,58029
2017-09-25,24.83,24.82,24.74,24.83,87,14543
2017-09-26,24.94,24.94,24.79,24.83,66,27852
2017-09-27,24.92,24.89,24.76,24.88,120,30785
2017-09-28,24.88,24.78,24.75,24.88,69,20544
2017-09-29,25.0,24.96,24.81,24.85,119,42788
2017-10-02,24.88,24.8,24.77,24.88,87,16629
2017-10-03,24.82,24.79,24.72,24.73,123,28231
2017-10-04,24.88,24.82,24.8,24.83,123,30944
2017-10-05,24.89,24.83,24.75,24.81,209,52780
2017-10-06,24.85,24.85,24.6,24.78,175,42166
2017-10-09,24.93,24.85,24.78,24.9,198,99582
2017-10-10,24.9,24.9,24.79,24.88,87,22813
2017-10-11,24.95,24.94,24.83,24.83,45,14086
2017-10-12,24.95,24.93,24.9,24.95,120,25918
2017-10-13,25.04,25.0,24.96,24.97,114,29467
2017-10-16,25.01,25.0,24.9,24.99,183,38158
2017-10-17,25.0,25.0,24.96,24.99,131,32328
2017-10-18,25.05,24.95,24.86,24.97,134,73180
2017-10-19,25.03,24.93,24.89,25.03,144,32622
2017-10-20,24.94,24.94,24.78,24.92,302,821592
2017-10-23,24.92,24.9,24.85,24.92,95,23358
2017-10-24,24.92,24.82,24.76,24.92,182,32008
2017-10-25,24.83,24.75,24.62,24.83,183,33249
2017-10-26,24.85,24.72,24.62,24.84,71,18267
2017-10-27,24.85,24.85,24.78,24.78,47,12383
2017-10-30,24.85,24.81,24.7,24.73,85,24140
2017-10-31,24.85,24.84,24.67,24.85,103,42505
2017-11-01,24.89,24.83,24.68,24.88,69,9483
2017-11-02,24.99,24.95,24.88,24.89,23,5117
2017-11-03,24.99,24.93,24.93,24.99,12,2256
2017-11-06,25.03,24.81,24.79,24.98,122,33640
2017-11-07,24.95,24.94,24.84,24.95,44,15318
2017-11-08,24.9,24.63,24.63,24.9,177,22790
2017-11-09,24.77,24.7,24.63,24.73,155,23397
2017-11-10,24.915,24.9,24.8,24.85,82,15299
2017-11-13,24.93,24.85,24.83,24.93,23,3973
2017-11-14,24.93,24.9,24.87,24.93,43,6838
2017-11-15,24.97,24.92,24.9,24.97,23,6538
2017-11-16,24.99,24.9,24.86,24.99,39,6238
2017-11-17,24.99,24.87,24.79,24.99,58,19833
2017-11-20,24.95,24.77,24.77,24.95,60,15304
2017-11-21,24.89,24.84,24.7,24.78,99,29766
2017-11-22,24.89,24.89,24.87,24.89,40,14378
2017-11-24,24.92,24.9,24.89,24.92,16,2184
2017-11-27,24.93,24.9,24.84,24.93,59,18899
2017-11-28,24.99,24.81,24.76,24.9,54,19022
2017-11-29,24.86,24.86,24.7,24.8,49,12154
2017-11-30,24.9,24.77,24.75,24.88,36,12622
2017-12-01,24.97,24.7,24.69,24.79,93,22320
2017-12-04,24.99,24.8,24.72,24.72,160,36248
2017-12-05,24.96,24.8,24.8,24.96,32,11417
2017-12-06,24.99,24.9,24.82,24.82,84,28610
2017-12-07,24.9,24.8,24.8,24.9,57,20604
2017-12-08,24.89,24.83,24.81,24.89,49,12644
2017-12-11,24.88,24.74,24.73,24.82,109,27284
2017-12-12,24.8,24.8,24.65,24.77,87,42864
2017-12-13,24.8,24.68,24.665,24.8,70,19733
2017-12-14,24.75,24.63,24.57,24.68,138,47285
2017-12-15,24.82,24.82,24.61,24.65,116,29101
2017-12-18,24.94,24.84,24.8,24.81,48,15286
2017-12-19,24.95,24.86,24.69,24.92,53,23435
2017-12-20,24.87,24.75,24.72,24.87,42,10654
2017-12-21,24.87,24.75,24.75,24.81,18,5126
2017-12-22,24.8,24.8,24.68,24.75,36,8785
2017-12-26,24.87,24.8,24.75,24.87,63,12721
2017-12-27,24.95,24.95,24.71,24.84,43,26959
2017-12-28,24.99,24.99,24.95,24.95,15,2839
2017-12-29,24.74,24.74,24.65,24.73,43,6389
2018-01-02,24.77,24.59,24.3,24.75,83,14764
2018-01-03,24.66,24.66,24.39,24.65,36,6480
2018-01-04,24.82,24.68,24.59,24.81,58,7268
2018-01-05,24.84,24.721,24.55,24.84,61,7343
2018-01-08,24.85,24.85,24.671,24.85,36,5616
2018-01-09,24.85,24.8,24.69,24.85,27,10271
2018-01-10,24.79,24.65,24.56,24.79,34,10138
2018-01-11,24.75,24.75,24.65,24.68,19,6428
2018-01-12,24.78,24.69,24.6,24.78,27,4100
2018-01-16,24.8,24.79,24.72,24.73,21,4523
2018-01-17,24.79,24.54,24.42,24.79,71,13319
2018-01-18,24.53,24.45,24.4,24.53,31,5057
2018-01-19,24.5,24.28,24.28,24.48,51,14017
2018-01-22,24.29,23.86,23.805,24.29,76,21130
2018-01-23,23.97,23.97,23.85,23.85,29,6681
2018-01-24,23.98,23.97,23.8,23.98,30,9695
2018-01-25,23.97,23.95,23.65,23.97,41,9990
2018-01-26,23.84,23.69,23.54,23.81,56,11356
2018-01-29,23.7,23.31,23.15,23.7,79,12580
2018-01-30,23.45,22.65,22.58,23.45,105,30590
2018-01-31,22.93,22.86,22.7,22.93,44,6078
2018-02-01,22.87,22.12,22.051,22.85,152,43639
2018-02-02,21.95,21.81,21.46,21.95,108,15609
2018-02-05,22.23,22.05,21.71,21.81,226,12634
2018-02-06,22.24,22.06,21.35,21.35,102,14055
2018-02-07,22.45,22.36,22.15,22.15,99,14037
2018-02-08,22.35,22.25,22.17,22.17,119,15362
2018-02-09,22.44,22.44,22.0,22.34,48,6287
2018-02-12,22.5,22.07,21.85,22.5,87,4105
2018-02-13,21.99,21.77,21.72,21.9,19,4540
2018-02-14,21.81,21.81,21.45,21.79,79,11154
2018-02-15,21.95,21.88,21.86,21.91,18,2084
2018-02-16,22.13,22.08,21.98,21.99,30,7207
2018-02-20,22.17,21.91,21.75,22.17,106,12264
2018-02-21,22.07,21.97,21.91,22.01,29,7976
2018-02-22,22.05,21.85,21.85,21.97,62,10081
2018-02-23,22.15,22.15,21.9,21.9,34,4416
2018-02-26,22.25,21.94,21.88,22.18,315,37124
2018-02-27,22.24,22.24,21.96,22.04,63,6749
2018-02-28,22.4,22.301,22.17,22.24,62,6954
2018-03-01,22.36,22.21,22.18,22.36,27,4988
2018-03-02,22.3,22.28,22.18,22.3,96,15397
2018-03-05,22.3,22.0,21.84,22.3,72,10234
2018-03-06,22.07,22.019,21.999,22.0,20,2688
2018-03-07,22.11,22.1,21.86,21.86,107,15462
2018-03-08,22.21,22.21,22.1,22.15,36,4686
2018-03-09,22.25,22.1,22.06,22.18,46,6177
2018-03-12,22.17,22.14,21.97,22.08,86,9502
2018-03-13,22.36,22.32,22.1,22.23,50,7526
2018-03-14,22.41,22.3,22.22,22.32,42,12268
2018-03-15,22.44,22.21,22.15,22.44,41,5398
2018-03-16,22.49,22.49,22.15,22.15,62,11988
2018-03-19,22.49,22.28,22.19,22.49,54,5223
2018-03-20,22.3,22.08,22.061,22.3,26,5041
2018-03-21,22.27,22.27,22.1,22.17,20,3921
2018-03-22,22.39,22.39,22.25,22.27,54,14455
2018-03-23,22.46,22.29,22.29,22.39,35,5297
2018-03-26,22.4,22.22,22.181,22.4,26,3393
2018-03-27,22.31,22.29,22.19,22.3,40,6356
2018-03-28,22.36,22.2,22.2,22.29,26,3386
2018-03-29,22.02,22.02,21.89,21.98,13,2000
2018-04-02,22.09,21.88,21.88,22.06,37,8668
2018-04-03,21.97,21.76,21.64,21.97,33,2811
2018-04-04,21.8,21.54,21.47,21.8,48,7618
2018-04-05,21.56,21.3,21.28,21.56,36,6351
2018-04-06,21.51,21.51,21.35,21.35,14,2210
2018-04-09,21.57,21.56,21.42,21.42,37,7609
2018-04-10,21.67,21.55,21.55,21.61,30,4328
2018-04-11,22.07,22.04,21.58,21.66,112,12494
2018-04-12,22.04,21.85,21.83,22.04,36,12043
2018-04-13,21.9,21.64,21.57,21.9,16,5447
2018-04-16,21.85,21.74,21.73,21.85,24,5278
2018-04-17,21.79,21.56,21.531,21.79,33,5046
2018-04-18,21.76,21.59,21.4,21.4,299,15938
2018-04-19,21.75,21.45,21.42,21.75,35,7399
2018-04-20,21.49,21.14,20.95,21.49,44,5422
2018-04-23,21.14,20.9,20.89,21.14,31,2544
2018-04-24,20.94,20.82,20.61,20.94,33,4270
2018-04-25,20.82,20.72,20.55,20.68,47,5864
2018-04-26,20.85,20.76,20.75,20.83,37,4709
2018-04-27,20.84,20.76,20.75,20.79,24,2827
2018-04-30,20.94,20.94,20.76,20.9,12,1213
2018-05-01,21.0,20.85,20.76,21.0,37,3741
2018-05-02,20.98,20.75,20.75,20.98,104,19762
2018-05-03,20.9,20.67,20.54,20.9,162,18308
2018-05-04,20.77,20.28,20.15,20.77,448,35182
2018-05-07,20.31,20.11,20.06,20.31,32,10206
2018-05-08,20.19,20.19,20.05,20.15,19,3791
2018-05-09,20.18,20.08,20.01,20.18,40,5169
2018-05-10,20.48,20.48,20.24,20.28,22,4022
2018-05-11,20.72,20.72,20.58,20.58,44,6634
2018-05-14,20.885,20.61,20.6,20.75,65,13468
2018-05-15,20.55,20.33,20.28,20.48,31,5545
2018-05-16,20.55,20.48,20.37,20.5,44,6783
2018-05-17,20.73,20.65,20.52,20.52,60,10308
2018-05-18,20.88,20.88,20.7,20.75,13,2833
2018-05-21,20.87,20.85,20.72,20.87,27,5062
2018-05-22,20.905,20.63,20.62,20.84,57,6318
2018-05-23,20.81,20.62,20.53,20.71,75,8001
2018-05-24,21.16,21.06,20.54,20.61,66,9497
2018-05-25,21.5,21.5,21.18,21.18,16,1859
2018-05-29,21.7,21.28,21.24,21.56,64,17045
2018-05-30,21.43,21.41,21.16,21.43,39,8207
2018-05-31,21.82,21.81,21.43,21.43,28,2644
2018-06-01,22.23,22.23,21.84,21.84,18,2977
2018-06-04,22.58,22.57,22.07,22.07,22,2900
2018-06-05,22.78,22.6,22.6,22.68,53,7350
2018-06-06,22.94,22.9,22.52,22.75,52,6476
2018-06-07,23.21,22.96,22.8,22.93,47,8239
2018-06-08,23.17,23.16,22.97,22.97,21,4139
2018-06-11,23.16,22.83,22.78,22.98,32,7248
2018-06-12,22.93,22.68,22.44,22.93,34,5495
2018-06-13,22.85,22.79,22.61,22.61,16,5043
2018-06-14,22.99,22.97,22.88,22.99,22,7850
2018-06-15,23.19,23.19,22.97,23.04,21,2926
2018-06-18,23.35,23.27,23.11,23.32,44,6440
2018-06-19,23.35,23.18,23.11,23.27,71,5477
2018-06-20,23.27,23.1,23.1,23.25,27,6328
2018-06-21,23.16,23.0,23.0,23.16,10,2800
2018-06-22,23.31,23.31,22.9,22.9,25,6115
2018-06-25,23.25,23.12,23.12,23.23,21,3406
2018-06-26,23.35,23.35,23.25,23.29,20,1939
2018-06-27,23.31,23.2,23.2,23.25,37,10051
2018-06-28,23.15,22.99,22.86,23.15,29,6864
2018-06-29,22.95,22.91,22.65,22.89,14,2469
2018-07-02,23.15,23.03,22.93,22.96,35,6557
2018-07-03,23.31,22.87,22.87,23.31,33,5460
2018-07-05,23.08,23.01,22.81,23.0,39,3550
2018-07-06,23.4,23.11,23.11,23.33,27,6892
2018-07-09,23.35,23.18,23.14,23.35,44,6173
2018-07-10,23.33,23.28,23.13,23.33,37,4045
2018-07-11,23.37,23.02,22.99,23.37,179,24645
2018-07-12,23.25,23.25,23.12,23.19,30,2696
2018-07-13,23.3,23.3,23.22,23.29,32,3523
2018-07-16,23.35,23.19,23.18,23.35,18,1428
2018-07-17,23.32,23.0,23.0,23.18,32,6308
2018-07-18,23.27,23.19,22.96,22.96,19,5395
2018-07-19,23.33,23.33,23.0,23.3,19,3319
2018-07-20,23.33,23.29,23.15,23.33,23,3548
2018-07-23,23.22,23.11,23.03,23.13,22,4817
2018-07-24,23.19,22.8,22.8,23.18,44,7145
2018-07-25,22.97,22.75,22.75,22.96,21,3864
2018-07-26,22.845,22.845,22.75,22.75,19,3501
2018-07-27,22.95,22.63,22.63,22.85,25,5053
2018-07-30,22.85,22.73,22.7,22.7,6,1353
2018-07-31,22.88,22.72,22.7,22.88,9,1033
2018-08-01,22.71,22.47,22.47,22.71,15,2440
2018-08-02,22.61,22.33,22.16,22.61,84,5921
2018-08-03,22.51,22.51,22.43,22.43,13,2639
2018-08-06,22.6,22.55,22.51,22.53,8,1331
2018-08-07,22.5,22.5,22.4,22.4,12,1868
2018-08-08,22.75,22.53,22.53,22.57,20,3562
2018-08-09,22.57,22.42,22.33,22.49,19,1988
2018-08-10,22.49,22.49,22.35,22.47,11,2256
2018-08-13,22.5,22.32,22.31,22.5,24,11713
2018-08-14,22.455,22.455,22.3,22.32,20,7397
2018-08-15,22.44,22.3,22.26,22.44,13,5291
2018-08-16,22.525,22.5,22.38,22.39,20,2777
2018-08-17,22.55,22.5,22.5,22.51,16,2170
2018-08-20,22.75,22.6,22.5,22.5,12,4688
2018-08-21,22.9,22.89,22.89,22.9,7,1122
2018-08-22,22.8,22.79,22.72,22.79,22,4918
2018-08-23,22.7,22.57,22.47,22.7,44,15613
2018-08-24,22.82,22.82,22.64,22.64,24,2793
2018-08-27,23.05,23.05,22.89,22.93,17,8930
2018-08-28,23.18,23.13,23.0,23.18,29,3238
2018-08-29,23.01,22.98,22.98,23.01,65,15793
2018-08-30,23.1,23.05,22.95,23.04,23,7630
2018-08-31,23.15,23.075,23.075,23.15,4,632
2018-09-04,23.22,23.11,23.1,23.1,32,4144
2018-09-05,23.02,22.98,22.8,23.02,17,3914
2018-09-06,22.98,22.97,22.79,22.98,19,2479
2018-09-07,22.93,22.75,22.75,22.93,14,6493
2018-09-10,23.1,23.1,22.9,22.9,23,3612
2018-09-11,23.18,22.85,22.85,23.18,29,2991
2018-09-12,23.1,22.95,22.86,23.0,23,9055
2018-09-13,22.99,22.95,22.86,22.99,21,2635
2018-09-14,22.95,22.78,22.75,22.95,22,2710
2018-09-17,22.91,22.75,22.75,22.91,16,4314
2018-09-18,22.78,22.78,22.69,22.76,30,11487
2018-09-19,22.78,22.65,22.57,22.78,32,6210
2018-09-20,22.65,22.35,22.3,22.65,56,16089
2018-09-21,22.61,22.44,22.31,22.61,16,4603
2018-09-24,22.43,22.25,22.24,22.43,20,5151
2018-09-25,22.47,22.45,22.12,22.38,77,10882
2018-09-26,22.365,22.33,22.33,22.34,14,1184
2018-09-27,22.34,22.28,22.27,22.34,15,5135
2018-09-28,22.25,22.25,22.09,22.09,16,5967
2018-10-01,22.3,21.99,21.75,22.3,56,9287
2018-10-02,22.07,21.95,21.59,22.07,52,7022
2018-10-03,21.89,21.54,21.35,21.89,31,3698
2018-10-04,21.49,20.99,20.76,21.49,85,9545
2018-10-05,21.3,21.23,20.76,20.98,52,7001
2018-10-08,21.23,20.9,20.8,21.23,25,6464
2018-10-09,21.08,21.08,20.82,20.82,17,1519
2018-10-10,21.09,21.08,21.0,21.09,111,19531
2018-10-11,21.1,20.98,20.75,21.08,57,7209
2018-10-12,21.03,20.9,20.9,21.0,22,3095
2018-10-15,21.18,21.12,21.05,21.18,53,7401
2018-10-16,21.19,21.09,21.09,21.19,15,2101
2018-10-17,21.17,21.17,21.1,21.1,7,1212
2018-10-18,21.17,21.17,21.17,21.17,6,807
2018-10-19,21.24,21.2,21.15,21.17,22,2381
2018-10-22,21.251,21.25,21.07,21.07,19,2705
2018-10-23,21.31,20.96,20.96,21.31,47,8455
2018-10-24,21.21,21.2,21.0,21.1,29,3994
2018-10-25,21.2,21.0,21.0,21.2,26,4307
2018-10-26,21.15,20.98,20.76,21.15,16,3193
2018-10-29,21.16,20.97,20.91,21.0,35,6687
2018-10-30,21.07,20.9,20.84,21.07,26,3945
2018-10-31,21.1,21.0,21.0,21.0,15,2911
2018-11-01,21.25,21.22,21.15,21.16,10,1074
2018-11-02,21.2,21.0,21.0,21.2,6,433
2018-11-05,21.17,21.17,21.05,21.17,13,1942
2018-11-06,21.455,21.42,21.17,21.17,34,4003
2018-11-07,21.65,21.42,21.42,21.49,15,4049
2018-11-08,21.63,21.63,21.3,21.31,171,23344
2018-11-09,21.63,21.32,21.32,21.63,12,928
2018-11-12,21.35,21.06,21.06,21.33,31,4590
2018-11-13,21.25,21.06,21.06,21.2,22,1675
2018-11-14,21.13,20.96,20.9,21.13,22,2928
2018-11-15,20.96,20.61,20.61,20.96,6,891
2018-11-16,20.66,20.31,19.95,20.66,67,12660
2018-11-19,20.3,20.15,19.95,20.3,45,6967
2018-11-20,20.1,19.89,19.87,20.1,22,3785
2018-11-21,20.13,19.92,19.89,20.08,42,9652
2018-11-23,20.115,20.0,19.92,19.92,32,3346
2018-11-26,20.16,19.92,19.92,20.16,23,4961
2018-11-27,20.0,19.7,19.7,19.94,75,7643
2018-11-28,20.0,19.66,19.65,19.99,116,24496
2018-11-29,19.73,19.59,19.59,19.73,13,1669
2018-11-30,19.53,19.46,19.34,19.53,42,5442
2018-12-03,19.52,19.34,19.3,19.34,54,11159
2018-12-04,19.48,19.48,19.17,19.34,47,9151
2018-12-06,19.4,19.35,19.2,19.3,53,20225
2018-12-07,19.41,19.4,19.32,19.32,27,7155
2018-12-10,19.601,19.55,19.32,19.41,54,11459
2018-12-11,20.06,19.98,19.86,19.89,111,39665
2018-12-12,20.23,20.21,19.88,19.89,116,33462
2018-12-13,20.14,20.08,19.94,20.14,57,10220
2018-12-14,20.17,20.17,19.835,19.88,37,6457
2018-12-17,19.91,19.75,19.69,19.69,89,31721
2018-12-18,19.99,19.99,19.49,19.93,74,17298
2018-12-19,20.1,19.65,19.65,20.1,74,13466
2018-12-20,19.9,19.8,19.61,19.78,77,13900
2018-12-21,19.97,19.9,19.63,19.79,52,10032
2018-12-24,19.99,19.86,19.705,19.99,49,13816
2018-12-26,20.01,20.01,19.835,19.97,55,10080
2018-12-27,19.87,19.72,19.64,19.87,115,24261
2018-12-28,19.98,19.84,19.75,19.78,136,29110
2018-12-31,19.82,19.71,19.61,19.63,164,22436
2019-01-02,20.17,20.17,19.72,19.72,59,8431
2019-01-03,20.62,20.62,20.17,20.17,94,21498
2019-01-04,21.07,21.07,20.74,20.74,43,9271
2019-01-07,21.46,21.35,21.14,21.14,96,12396
2019-01-08,21.49,21.3,21.3,21.49,25,3072
2019-01-09,21.3,21.25,21.19,21.3,39,6447
2019-01-10,21.25,20.96,20.96,21.25,76,18426
2019-01-11,21.67,21.6,21.04,21.06,264,29556
2019-01-14,21.68,21.65,21.46,21.46,71,8044
2019-01-15,21.64,21.59,21.42,21.63,34,4908
2019-01-16,21.67,21.6,21.5,21.67,30,5610
2019-01-17,21.6,21.55,21.55,21.6,15,977
2019-01-18,21.6,21.53,21.4,21.6,33,7692
2019-01-22,21.74,21.53,21.52,21.54,38,7717
2019-01-23,21.59,21.41,21.39,21.54,24,5374
2019-01-24,21.48,21.47,21.39,21.4,33,7377
2019-01-25,21.65,21.5,21.5,21.63,37,4863
2019-01-28,21.57,21.57,21.2,21.5,26,2038
2019-01-29,21.59,21.33,21.31,21.59,39,5248
2019-01-30,21.69,21.53,21.16,21.16,131,19209
2019-01-31,21.67,21.06,21.06,21.6,136,54919
2019-02-01,21.44,21.37,21.29,21.33,50,5657
2019-02-04,21.5,21.5,21.4,21.4,85,16610
2019-02-05,21.63,21.49,21.49,21.54,43,4355
2019-02-06,21.51,21.43,21.42,21.49,69,10632
2019-02-07,21.57,21.57,21.36,21.39,34,16905
2019-02-08,21.6,21.6,21.35,21.35,29,5633
2019-02-11,21.7,21.56,21.56,21.61,13,6246
2019-02-12,21.76,21.7,21.6,21.6,28,3851
2019-02-13,21.97,21.85,21.71,21.75,38,7048
2019-02-14,21.93,21.91,21.8,21.85,54,9112
2019-02-15,22.32,22.32,21.97,21.99,76,14716
2019-02-19,22.52,22.5,22.29,22.31,59,15919
2019-02-20,22.49,22.44,22.37,22.38,22,1622
