Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-05-09,17.2,16.47,15.52,17.0,1646,1652274
2019-05-10,16.9,16.5,16.07,16.42,186,36155
2019-05-13,16.42,16.05,16.0,16.42,177,33568
2019-05-14,16.98,16.69,16.05,16.12,248,46338
2019-05-15,17.4,17.15,16.6,16.61,234,31161
2019-05-16,17.25,16.95,16.85,17.25,172,26017
2019-05-17,16.84,16.13,16.1,16.75,69,17093
2019-05-20,16.31,16.2,16.02,16.05,185,23833
2019-05-21,16.26,16.07,15.92,16.26,115,12088
2019-05-22,16.05,15.95,15.9,16.03,85,11190
2019-05-23,15.97,15.77,15.6,15.97,79,13809
2019-05-24,15.82,15.3,15.19,15.82,203,28647
2019-05-28,15.99,15.81,15.6,15.75,136,29653
2019-05-29,15.87,15.75,15.66,15.71,150,19751
2019-05-30,16.12,15.94,15.73,15.95,96,18679
2019-05-31,16.44,16.3,15.69,15.8,185,18204
2019-06-03,16.89,16.89,15.9,16.03,201,26622
2019-06-04,16.95,16.6,16.48,16.89,120,14916
2019-06-05,16.62,15.99,15.71,16.62,175,20784
2019-06-06,15.92,15.15,15.03,15.92,228,34890
2019-06-07,15.41,14.36,14.18,15.25,344,27290
2019-06-10,14.6,13.75,13.49,14.46,219,25414
2019-06-11,13.85,12.12,11.95,13.69,558,90147
2019-06-12,13.39,13.36,12.43,12.92,329,52479
2019-06-13,15.095,14.9,13.72,13.72,168,28076
2019-06-14,15.55,15.03,14.73,14.95,152,22241
2019-06-17,15.78,15.18,14.76,15.16,176,17483
2019-06-18,15.89,15.86,15.19,15.39,258,32749
2019-06-19,16.0,15.68,15.03,15.95,201,29250
2019-06-20,15.9,14.97,14.97,15.84,189,32290
2019-06-21,15.01,14.31,14.16,15.01,286,168940
2019-06-24,14.74,14.36,14.2,14.2,250,29312
2019-06-25,14.47,13.95,13.94,14.42,147,25620
2019-06-26,14.79,14.52,13.85,13.85,262,24757
2019-06-27,14.67,14.61,14.23,14.47,165,19441
2019-06-28,14.94,13.8,13.78,14.73,428,580305
2019-07-01,14.29,13.74,13.6,13.78,464,56877
2019-07-02,13.9,13.58,13.3,13.75,291,33114
2019-07-03,14.41,14.27,13.64,13.64,56,4991
2019-07-05,14.85,14.82,14.18,14.18,126,13747
2019-07-08,15.89,15.27,14.72,14.72,211,28601
2019-07-09,15.32,15.03,14.985,15.17,67,9770
2019-07-10,15.78,15.43,15.0,15.1,185,21342
2019-07-11,15.47,14.35,14.27,15.39,117,14566
2019-07-12,14.84,14.7,14.41,14.41,71,11000
2019-07-15,14.87,14.77,14.63,14.7,64,5991
2019-07-16,15.27,15.12,14.78,14.79,204,8240
2019-07-17,15.46,15.22,14.79,15.1,140,11740
2019-07-18,15.43,15.24,15.13,15.15,117,11427
2019-07-19,15.52,15.19,15.0,15.19,143,11047
2019-07-22,15.17,14.26,14.14,15.17,123,8139
2019-07-23,14.49,14.31,14.2,14.28,45,4432
2019-07-24,14.8,14.8,14.25,14.5,205,12770
2019-07-25,14.74,13.99,13.85,14.74,195,16721
2019-07-26,14.48,14.4,14.04,14.05,98,9734
2019-07-29,14.3,13.98,13.93,14.3,45,4868
2019-07-30,14.13,13.92,13.86,14.01,86,10569
2019-07-31,13.98,13.17,13.14,13.91,102,10112
2019-08-01,13.47,12.94,12.94,13.19,121,12445
2019-08-02,13.18,13.03,12.94,12.94,94,9876
2019-08-05,13.03,12.95,12.83,12.87,112,11221
2019-08-06,12.98,12.98,12.26,12.87,145,11660
2019-08-07,13.1,12.2,12.14,13.1,223,17321
2019-08-08,12.32,11.82,11.69,12.29,326,30766
2019-08-09,11.9,11.49,11.39,11.85,210,24202
2019-08-12,11.79,11.58,11.38,11.52,188,15382
2019-08-13,12.23,12.14,11.66,11.66,170,15170
2019-08-14,12.03,11.46,11.29,11.93,202,20230
2019-08-15,12.03,11.81,11.26,11.56,120,10458
2019-08-16,12.01,11.84,11.6,11.99,105,9887
2019-08-19,12.6,12.25,11.89,11.89,78,12405
2019-08-20,12.39,12.33,12.18,12.29,59,6679
2019-08-21,13.4,12.76,12.39,12.44,86,10848
2019-08-22,13.39,13.08,12.68,12.9,66,6901
2019-08-23,13.13,12.57,12.56,12.96,92,7062
2019-08-26,13.31,13.2,12.53,12.73,97,11081
2019-08-27,13.43,13.24,12.8,13.3,213,8255
2019-08-28,13.22,13.04,12.92,13.2,112,11018
2019-08-29,13.71,13.63,13.1,13.2,83,6042
