Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,25.31,25.04,24.53,24.81,155,35488
2013-01-03,25.13,24.4,24.34,25.13,87,15593
2013-01-04,24.63,24.41,24.39,24.55,38,11201
2013-01-07,24.42,24.02,24.0,24.21,106,18903
2013-01-08,24.09,23.72,23.6,24.09,252,34584
2013-01-09,22.5,21.11,19.97,22.5,893,159131
2013-01-10,21.5,21.19,20.81,21.32,681,105622
2013-01-11,21.26,21.16,20.82,21.04,237,38955
2013-01-14,21.8,21.73,21.14,21.14,256,37959
2013-01-15,22.05,22.04,21.64,21.64,196,34242
2013-01-16,22.04,21.6,21.5,22.04,165,26474
2013-01-17,21.88,21.76,21.52,21.62,155,23922
2013-01-18,22.2,22.19,21.74,21.75,159,31528
2013-01-22,22.27,22.27,22.13,22.13,129,23855
2013-01-23,22.32,22.2,22.05,22.32,123,28421
2013-01-24,22.73,22.5,22.28,22.3,102,19085
2013-01-25,22.48,22.32,22.11,22.48,324,50148
2013-01-28,22.75,22.75,22.3,22.33,163,23782
2013-01-29,22.94,22.93,22.66,22.72,187,26849
2013-01-30,22.84,22.06,22.02,22.84,209,37847
2013-01-31,22.16,22.02,21.74,22.04,264,44599
2013-02-01,22.26,22.18,22.07,22.17,168,23653
2013-02-04,22.16,21.75,21.72,22.03,140,21848
2013-02-05,21.98,21.61,21.57,21.82,175,30577
2013-02-06,21.69,21.56,21.36,21.49,127,16885
2013-02-07,21.7,21.6,21.4,21.61,175,73310
2013-02-08,21.93,21.76,21.63,21.63,128,20017
2013-02-11,21.72,21.4,21.4,21.72,80,10807
2013-02-12,21.45,21.25,21.25,21.42,79,11310
2013-02-13,21.6,21.52,21.14,21.31,164,19886
2013-02-14,21.59,21.06,21.0,21.52,95,18132
2013-02-15,21.49,21.42,20.67,21.16,228,44208
2013-02-19,21.58,21.49,21.32,21.39,114,19704
2013-02-20,21.6,21.2,21.12,21.53,90,17482
2013-02-21,21.17,20.82,20.57,21.17,67,10363
2013-02-22,20.96,20.6,20.34,20.96,232,29619
2013-02-25,20.84,20.27,20.25,20.71,207,27701
2013-02-26,20.71,20.53,20.13,20.35,190,23669
2013-02-27,20.84,20.53,20.49,20.58,166,28567
2013-02-28,20.7,20.45,20.34,20.53,294,91230
2013-03-01,21.11,20.72,20.46,20.46,510,66959
2013-03-04,20.76,20.66,20.43,20.74,171,25875
2013-03-05,20.71,20.64,20.49,20.7,316,47879
2013-03-06,21.44,21.34,20.67,20.69,217,28932
2013-03-07,21.67,21.63,21.19,21.4,87,15057
2013-03-08,22.35,22.32,21.88,21.9,158,29982
2013-03-11,22.83,22.68,22.18,22.31,222,33713
2013-03-12,22.79,22.4,22.3,22.79,153,24026
2013-03-13,23.09,23.04,22.43,22.48,125,17206
2013-03-14,23.17,23.12,22.94,23.09,136,19274
2013-03-15,23.26,22.86,22.72,23.16,205,64244
2013-03-18,22.89,22.51,22.42,22.57,139,20847
2013-03-19,22.67,22.64,22.38,22.61,139,26484
2013-03-20,22.98,22.82,22.62,22.64,124,21187
2013-03-21,23.21,23.11,22.62,22.62,112,15139
2013-03-22,23.32,23.27,22.99,23.24,136,18572
2013-03-25,23.55,23.41,23.25,23.28,225,30763
2013-03-26,23.66,23.65,23.37,23.51,111,15592
2013-03-27,24.04,24.0,23.45,23.45,253,32609
2013-03-28,24.5,24.21,23.88,24.1,132,26266
2013-04-01,24.21,23.46,23.16,24.1,237,31203
2013-04-02,23.72,23.5,23.43,23.62,146,17493
2013-04-03,23.63,23.31,23.07,23.42,294,39028
2013-04-04,23.71,23.6,23.26,23.39,134,21610
2013-04-05,23.89,23.87,23.37,23.41,117,19054
2013-04-08,23.97,23.89,23.53,23.89,123,19897
2013-04-09,22.75,21.28,21.16,22.5,813,155518
2013-04-10,21.17,20.9,20.36,21.02,650,126076
2013-04-11,20.92,20.66,20.51,20.92,472,77799
2013-04-12,20.72,20.49,20.3,20.43,240,48195
2013-04-15,20.44,20.0,19.94,20.44,352,54910
2013-04-16,20.17,20.06,19.96,20.17,297,43425
2013-04-17,19.83,19.19,19.19,19.83,288,42593
2013-04-18,19.23,18.8,18.76,19.07,145,26860
2013-04-19,18.88,18.69,18.59,18.78,189,39430
2013-04-22,18.76,18.53,18.21,18.68,204,31803
2013-04-23,18.86,18.8,18.55,18.72,206,35040
2013-04-24,18.95,18.8,18.64,18.8,191,33796
2013-04-25,19.09,18.81,18.69,18.91,278,41706
2013-04-26,18.97,18.79,18.74,18.81,85,18102
2013-04-29,18.96,18.94,18.81,18.81,65,10952
2013-04-30,19.03,18.95,18.77,18.9,166,28121
2013-05-01,19.21,18.94,18.79,18.95,266,50239
2013-05-02,19.08,18.92,18.83,18.96,115,20130
2013-05-03,19.35,19.2,19.05,19.05,192,28385
2013-05-06,19.5,19.35,19.15,19.26,155,22926
2013-05-07,19.7,19.68,19.37,19.38,211,33335
2013-05-08,20.08,20.02,19.55,19.6,410,74160
2013-05-09,20.38,20.28,20.0,20.01,221,34721
2013-05-10,20.41,20.32,20.2,20.27,196,29394
2013-05-13,20.48,20.39,20.23,20.26,112,19208
2013-05-14,20.68,20.65,20.34,20.4,151,18544
2013-05-15,20.82,20.75,20.61,20.67,123,22954
2013-05-16,21.29,20.97,20.71,20.76,182,28610
2013-05-17,21.14,20.95,20.91,21.1,104,30995
2013-05-20,21.12,21.02,20.79,20.93,138,26787
2013-05-21,21.17,21.16,20.77,20.97,94,16796
2013-05-22,22.09,21.08,20.87,21.11,233,37913
2013-05-23,21.03,20.99,20.68,20.93,140,18232
2013-05-24,21.32,21.3,20.96,20.96,104,21075
2013-05-28,21.74,21.66,21.41,21.45,123,19239
2013-05-29,21.74,21.65,21.36,21.54,169,29230
2013-05-30,21.6,21.44,21.01,21.57,346,68727
2013-05-31,21.63,21.38,21.21,21.33,80,17443
2013-06-03,21.74,21.57,21.31,21.48,247,54418
2013-06-04,21.53,21.42,21.26,21.53,95,14925
2013-06-05,21.57,21.41,21.23,21.42,357,44624
2013-06-06,21.66,21.64,21.29,21.48,242,32512
2013-06-07,21.94,21.8,21.65,21.85,163,31099
2013-06-10,21.88,21.49,21.47,21.88,79,10212
