Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-09-23,25.16,25.09,25.09,25.15,132,83976
2014-09-24,25.13,25.1,25.06,25.11,398,200525
2014-09-25,25.14,25.07,25.07,25.1,84,45749
2014-09-26,25.05,24.97,24.97,25.01,208,118643
2014-09-29,24.97,24.95,24.9,24.95,255,137192
2014-09-30,25.09,25.07,24.95,24.95,272,189338
2014-10-01,25.1,25.03,24.99,25.08,165,142234
2014-10-02,25.06,25.05,24.97,25.04,37,30685
2014-10-03,25.23,25.23,25.1,25.1,149,102818
2014-10-06,25.24,25.24,25.149,25.22,360,116596
2014-10-07,25.38,25.35,25.15,25.21,256,170051
2014-10-08,25.45,25.43,25.35,25.37,263,123250
2014-10-09,25.41,25.32,25.27,25.38,148,82807
2014-10-10,25.33,25.3,25.23,25.33,75,25882
2014-10-13,25.3,25.25,25.2,25.26,82,50068
2014-10-14,25.3,25.27,25.25,25.26,160,25054
2014-10-15,25.24,25.21,25.08,25.22,315,124766
2014-10-16,25.24,25.19,25.04,25.11,482,80543
2014-10-17,25.29,25.29,25.14,25.25,853,1364731
2014-10-20,25.22,25.18,25.16,25.21,97,25747
2014-10-21,25.22,25.18,25.17,25.18,71,31913
2014-10-22,25.23,25.16,25.16,25.21,109,26319
2014-10-23,25.219,25.18,25.17,25.2,89,34320
2014-10-24,25.24,25.22,25.22,25.22,40,10786
2014-10-27,25.23,25.19,25.18,25.23,28,20300
2014-10-28,25.2,25.16,25.16,25.19,45,11545
2014-10-29,25.23,25.23,25.16,25.2,85,27692
2014-10-30,25.26,25.22,25.22,25.24,67,33671
2014-10-31,25.32,25.21,25.19,25.27,151,95584
2014-11-03,25.27,25.26,25.19,25.24,120,74767
2014-11-04,25.31,25.28,25.25,25.26,149,133556
2014-11-05,25.34,25.34,25.26,25.27,162,48044
2014-11-06,25.4,25.33,25.32,25.36,30,17214
2014-11-07,25.43,25.42,25.32,25.33,107,28346
2014-11-10,25.44,25.41,25.4,25.4,45,21978
2014-11-11,25.49,25.48,25.4,25.4,51,30418
2014-11-12,25.58,25.55,25.46,25.47,171,71141
2014-11-13,25.59,25.57,25.51,25.59,52,39341
2014-11-14,25.59,25.59,25.56,25.56,44,22971
2014-11-17,25.65,25.62,25.589,25.59,125,40044
2014-11-18,25.67,25.58,25.58,25.67,133,47554
2014-11-19,25.62,25.54,25.54,25.58,39,14127
2014-11-20,25.58,25.5,25.48,25.54,81,29100
2014-11-21,25.57,25.55,25.49,25.56,124,65979
2014-11-24,25.59,25.57,25.51,25.58,59,7510
2014-11-25,25.59,25.59,25.56,25.58,29,8711
2014-11-26,25.68,25.68,25.59,25.62,37,9272
2014-11-28,25.7,25.7,25.65,25.68,13,4098
2014-12-01,25.71,25.66,25.59,25.7,75,16523
2014-12-02,25.65,25.56,25.55,25.65,53,15199
2014-12-03,25.65,25.57,25.48,25.64,50,17372
2014-12-04,25.57,25.56,25.46,25.57,45,20523
2014-12-05,25.58,25.58,25.485,25.56,59,14981
2014-12-08,25.59,25.5,25.4,25.52,150,65290
2014-12-09,25.53,25.44,25.4,25.51,213,39954
2014-12-10,25.47,25.44,25.41,25.41,54,83278
2014-12-11,25.55,25.52,25.45,25.5,112,19726
