Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,26.83,26.69,26.3,26.44,204,41941
2013-01-03,27.25,27.07,26.6,26.7,116,21225
2013-01-04,27.39,27.35,26.93,27.22,204,39810
2013-01-07,27.78,27.45,27.05,27.13,121,19144
2013-01-08,27.38,26.6,26.43,27.36,127,42481
2013-01-09,27.11,27.03,26.72,26.72,91,20432
2013-01-10,27.47,27.39,26.99,27.3,88,11785
2013-01-11,27.46,27.26,26.73,27.46,178,45550
2013-01-14,28.84,28.83,27.6,27.6,254,50733
2013-01-15,29.13,28.85,28.72,28.96,198,32203
2013-01-16,28.77,27.96,27.96,28.77,335,66617
2013-01-17,28.16,27.87,27.75,28.06,210,33290
2013-01-18,28.18,28.14,27.7,27.86,193,49225
2013-01-22,28.65,28.55,27.8,28.01,195,44818
2013-01-23,28.48,27.97,27.83,28.48,102,18964
2013-01-24,28.23,27.77,27.64,27.95,213,32974
2013-01-25,27.89,27.49,27.31,27.89,236,37666
2013-01-28,27.0,26.8,26.3,26.66,264,45993
2013-01-29,27.67,27.67,26.79,26.79,207,39131
2013-01-30,27.65,26.86,26.73,27.65,186,26838
2013-01-31,27.32,26.9,26.79,26.82,91,21485
2013-02-01,27.96,27.81,27.08,27.08,111,20942
2013-02-04,27.54,27.3,27.15,27.54,74,13629
2013-02-05,27.82,27.45,27.3,27.47,47,8570
2013-02-06,28.27,28.22,27.33,27.33,62,10331
2013-02-07,28.14,27.85,27.68,28.14,50,9186
2013-02-08,28.49,28.15,27.88,27.96,66,12828
2013-02-11,28.16,28.12,27.79,28.16,84,11072
2013-02-12,28.77,28.53,28.12,28.12,64,10800
2013-02-13,29.07,28.61,28.4,28.78,95,19074
2013-02-14,29.5,29.39,28.62,28.62,93,15710
2013-02-15,29.81,29.42,29.3,29.81,92,30984
2013-02-19,29.61,29.39,28.97,29.55,146,78802
2013-02-20,29.34,28.05,27.98,29.34,172,37960
2013-02-21,28.32,27.86,27.49,28.03,90,13881
2013-02-22,28.76,28.72,27.81,28.1,116,18613
2013-02-25,28.96,27.35,27.02,28.91,116,18591
2013-02-26,27.64,27.54,26.91,27.56,124,20390
2013-02-27,27.82,27.74,27.46,27.52,128,24731
2013-02-28,29.0,27.66,27.55,29.0,186,39120
2013-03-01,27.38,27.04,26.4,27.38,246,37414
2013-03-04,27.35,27.21,26.73,26.94,167,30760
2013-03-05,28.62,27.64,27.46,27.46,276,56432
2013-03-06,28.41,28.32,27.72,27.72,134,19897
2013-03-07,28.34,28.24,27.93,28.25,72,14174
2013-03-08,29.23,29.04,28.4,28.55,122,24056
2013-03-11,29.04,28.76,28.19,29.04,122,18919
2013-03-12,28.76,28.18,27.98,28.76,179,24421
2013-03-13,28.29,27.95,27.6,28.26,110,16658
2013-03-14,28.47,28.47,27.79,28.16,178,25948
2013-03-15,28.88,28.63,28.39,28.5,253,106101
2013-03-18,28.74,28.41,28.31,28.32,131,18395
2013-03-19,28.7,28.58,27.74,28.41,241,80300
2013-03-20,28.98,28.7,28.35,28.88,101,17158
2013-03-21,28.94,28.55,28.45,28.54,69,12013
2013-03-22,28.77,28.54,28.39,28.66,81,15290
2013-03-25,28.8,28.6,28.17,28.8,47,8523
2013-03-26,29.01,28.9,28.62,28.85,82,10672
2013-03-27,29.32,29.2,28.59,28.61,100,16161
2013-03-28,29.31,28.5,28.4,29.31,112,30905
2013-04-01,28.51,27.98,27.53,28.43,259,37147
2013-04-02,28.5,28.03,27.86,28.22,154,21381
2013-04-03,28.37,27.99,27.61,28.03,151,24463
2013-04-04,29.15,28.16,27.95,28.12,175,25050
2013-04-05,27.78,27.59,27.26,27.67,126,23667
2013-04-08,27.92,27.81,27.45,27.47,55,8058
2013-04-09,28.49,27.71,27.69,27.96,133,27847
2013-04-10,28.45,28.25,27.72,27.72,263,35496
2013-04-11,28.37,27.84,27.63,28.22,130,16409
2013-04-12,27.66,26.99,26.74,27.65,139,21065
2013-04-15,26.95,25.19,24.94,26.95,225,36548
2013-04-16,25.85,25.72,25.31,25.55,137,22066
2013-04-17,26.01,25.73,24.58,25.52,293,46089
2013-04-18,26.01,25.44,25.22,25.74,172,25421
