Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-08-27,15.14,15.14,15.0,15.0,386,1093012
2020-08-28,15.23,15.22,15.08,15.12,125,50719
2020-08-31,15.29,15.2,15.14,15.2,105,47534
2020-09-01,15.18,15.14,15.07,15.16,100,33215
2020-09-02,15.14,15.03,15.01,15.1,101,101630
2020-09-03,15.07,15.0,15.0,15.03,257,757667
2020-09-04,15.06,15.02,15.0,15.06,41,94669
2020-09-08,15.06,15.04,15.01,15.01,62,37127
2020-09-09,15.12,15.07,15.01,15.08,79,56823
2020-09-10,15.07,15.03,15.0,15.07,57,99953
2020-09-11,15.02,15.01,15.0,15.02,50,253133
2020-09-14,15.07,15.04,15.02,15.04,34,19361
2020-09-15,15.11,15.1,15.04,15.04,107,25296
2020-09-16,15.06,15.03,15.0,15.05,41,23287
2020-09-17,15.04,15.02,15.0,15.01,35,91279
2020-09-18,15.04,15.04,15.0,15.02,51,150387
2020-09-21,15.03,15.0,15.0,15.01,77,196865
2020-09-22,15.01,15.0,15.0,15.0,32,174286
2020-09-23,15.03,15.03,15.0,15.01,23,57256
2020-09-24,15.04,15.0,15.0,15.0,17,26382
2020-09-25,15.03,15.02,15.0,15.03,14,79226
2020-09-28,15.03,15.0,15.0,15.03,68,213805
2020-09-29,15.02,15.0,15.0,15.0,44,71075
2020-09-30,15.1,15.0,15.0,15.04,26,33823
2020-10-01,15.01,15.0,14.95,15.0,46,122315
2020-10-02,15.02,15.0,15.0,15.0,28,89266
2020-10-05,15.01,15.01,15.0,15.0,10,29129
2020-10-06,15.01,15.0,15.0,15.0,13,21409
2020-10-07,15.07,15.0,15.0,15.01,23,25090
2020-10-08,15.05,15.0,15.0,15.01,21,51482
2020-10-09,15.05,15.03,15.0,15.03,64,25803
2020-10-12,15.19,15.03,15.03,15.07,48,10559
2020-10-13,15.22,15.2,15.08,15.1,225,82146
2020-10-14,15.2,14.86,14.56,15.2,121,41962
2020-10-15,15.0,14.92,14.75,14.83,44,12942
2020-10-16,14.99,14.84,14.83,14.99,31,13573
2020-10-19,15.03,14.94,14.84,14.88,110,52185
2020-10-20,14.9992,14.9992,14.95,14.99,81,16157
2020-10-21,15.03,15.01,14.95,14.96,74,20727
2020-10-22,15.05,14.99,14.94,15.03,37,20747
2020-10-23,15.01,14.95,14.94,14.98,43,11355
2020-10-26,14.96,14.84,14.8,14.95,40,8675
2020-10-27,15.04,15.0,14.88,14.9,72,27251
2020-10-28,14.99,14.91,14.91,14.97,18,11795
2020-10-29,15.03,14.92,14.89,14.89,14,10093
2020-10-30,15.0,15.0,14.93,15.0,20,15215
2020-11-02,15.0,14.9,14.89,15.0,30,19141
2020-11-03,15.0,14.87,14.87,15.0,11,11422
2020-11-04,14.96,14.91,14.91,14.96,33,18665
2020-11-05,15.0,14.95,14.93,14.93,15,11300
2020-11-06,15.0,15.0,14.88,14.89,40,13019
2020-11-09,15.0,14.99,14.88,15.0,20,11756
2020-11-10,15.0,14.99,14.95,14.96,49,6788
2020-11-11,15.01,14.93,14.93,15.01,34,7407
2020-11-12,15.05,15.0,14.94,14.99,48,46858
2020-11-13,15.04,14.98,14.95,14.95,105,24486
2020-11-16,14.96,14.94,14.87,14.94,37,15843
2020-11-17,14.98,14.96,14.95,14.95,21,2951
2020-11-18,15.0,15.0,14.96,14.96,10,3003
2020-11-19,15.0,14.99,14.99,15.0,20,31828
2020-11-20,15.0,14.93,14.93,15.0,25,10221
2020-11-23,15.0,14.97,14.95,15.0,31,14087
2020-11-24,15.0,15.0,14.92,14.96,34,8417
2020-11-25,14.95,14.92,14.85,14.95,38,25912
2020-11-27,15.01,15.0,14.97,14.97,27,44367
2020-11-30,15.01,15.0,14.9,14.9,38,21299
2020-12-01,15.05,15.05,15.01,15.01,94,18915
2020-12-02,15.1,15.09,15.05,15.05,20,24075
2020-12-03,15.18,15.18,15.05,15.1,181,104852
2020-12-04,15.29,15.22,15.125,15.2,58,48822
2020-12-07,15.43,15.18,15.14,15.43,38,11524
2020-12-08,15.3,15.29,15.13,15.18,56,13971
2020-12-09,15.3,15.25,15.16,15.3,31,22612
2020-12-10,15.41,15.39,15.11,15.2,51,18317
2020-12-11,15.5,15.23,15.2,15.5,185,24883
2020-12-14,15.425,15.41,15.21,15.25,21,9831
2020-12-15,15.5,15.34,15.27,15.38,42,37192
2020-12-16,15.51,15.37,15.32,15.39,91,16857
2020-12-17,15.59,15.45,15.36,15.36,35,10857
2020-12-18,15.45,15.325,15.3,15.41,29,18826
