Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,177.12,177.12,174.96,174.96,62,1770.5
2013-01-03,179.92,178.72,174.56,177.76,71,2089.375
2013-01-04,180.64,180.64,178.64,179.68,61,1885.625
2013-01-07,181.28,180.88,178.96,181.28,78,2227.5
2013-01-08,182.24,182.24,180.0,180.32,80,2711.0
2013-01-09,184.24,183.76,182.24,182.24,97,3881.75
2013-01-10,186.96,186.8,184.4,184.4,88,2370.75
2013-01-11,187.76,186.4,183.92,187.76,45,1402.75
2013-01-14,187.6,186.48,185.44,185.44,34,1048.75
2013-01-15,186.24,186.24,184.96,185.04,39,1928.125
2013-01-16,186.56,186.48,184.16,186.4,48,1666.125
2013-01-17,189.52,188.88,187.04,187.52,44,1552.75
2013-01-18,189.52,188.72,187.68,189.36,56,1866.875
2013-01-22,191.52,190.8,189.44,189.92,70,3250.25
2013-01-23,193.36,192.8,189.12,190.64,173,9338.875
2013-01-24,193.6,192.88,191.68,192.0,93,3253.625
2013-01-25,193.36,192.08,191.92,192.88,52,1687.0
2013-01-28,193.12,192.24,191.52,193.12,63,2073.625
2013-01-29,194.4,194.0,191.76,191.76,80,2289.5
2013-01-30,194.64,193.68,193.12,194.24,34,1130.5
2013-01-31,195.44,195.2,194.32,194.8,37,1125.875
2013-02-01,197.2,195.44,194.24,197.2,101,3839.75
2013-02-04,196.16,194.32,193.68,196.16,33,867.125
2013-02-05,196.0,194.4,194.08,194.08,52,2081.25
2013-02-06,196.4,195.84,195.04,195.04,56,1379.5
2013-02-07,196.32,195.84,194.56,196.32,57,1145.25
2013-02-08,197.44,195.36,194.16,197.44,41,1668.75
2013-02-11,195.6,195.6,194.48,194.48,50,981.375
2013-02-12,196.56,196.16,194.96,195.28,42,1666.5
2013-02-13,198.72,198.48,195.68,195.68,84,3108.875
2013-02-14,198.88,198.32,198.0,198.08,33,2001.0
2013-02-15,198.88,196.96,195.68,198.64,69,2796.75
2013-02-19,194.24,194.24,191.76,192.4,77,2162.0
2013-02-20,195.2,191.28,191.12,195.2,68,2213.375
2013-02-21,190.4,188.8,187.36,190.32,56,1263.125
2013-02-22,191.84,191.84,188.88,188.88,56,1618.25
2013-02-25,192.96,189.52,189.52,192.08,47,1894.25
2013-02-26,189.76,189.44,188.64,189.6,16,647.75
2013-02-27,191.68,190.32,189.12,190.64,67,1665.5
2013-02-28,193.6,192.16,188.8,188.8,75,1646.375
2013-03-01,192.32,192.16,190.24,192.16,64,1996.625
2013-03-04,192.72,192.32,190.96,190.96,47,918.375
2013-03-05,193.92,193.28,191.6,192.0,46,1191.625
2013-03-06,194.64,191.6,189.36,194.0,121,2868.375
2013-03-07,192.64,192.08,189.36,191.52,55,961.5
2013-03-08,194.32,194.0,191.92,193.04,49,928.25
2013-03-11,194.0,193.52,192.56,192.56,29,731.125
2013-03-12,193.52,192.64,192.16,193.44,27,708.75
2013-03-13,192.8,191.44,190.56,192.8,34,1233.125
2013-03-14,193.44,191.36,191.36,192.32,29,662.125
2013-03-15,192.16,190.64,190.56,192.16,24,707.5
2013-03-18,191.68,190.8,190.0,190.56,33,825.0
2013-03-19,192.24,189.76,189.76,190.8,31,564.75
2013-03-20,191.52,190.56,189.52,190.4,114,2834.625
2013-03-21,192.32,191.84,190.88,192.32,54,2084.375
2013-03-22,194.88,193.6,192.32,192.32,57,1846.875
2013-03-25,195.2,192.4,191.52,193.68,103,2372.5
2013-03-26,193.84,193.68,191.12,192.08,34,790.75
2013-03-27,193.84,193.52,192.48,192.48,32,839.0
2013-03-28,194.72,194.0,193.44,193.6,56,973.375
2013-04-01,194.72,194.08,192.56,194.64,47,1146.625
2013-04-02,195.84,194.4,194.24,194.96,61,1633.0
