Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-06-09,26.0,24.75,24.5,24.5,205,57583
2021-06-10,25.4,24.75,24.75,24.75,154,21001
2021-06-11,25.1,24.89,24.7,25.0,167,18450
2021-06-14,25.38,24.66,24.25,25.01,347,68827
2021-06-15,24.83,24.36,24.31,24.73,200,30383
2021-06-16,24.91,24.69,24.15,24.15,105,17189
2021-06-17,24.5,23.96,22.13,24.5,361,40822
2021-06-18,23.95,23.84,23.43,23.43,130,38023
2021-06-21,24.88,24.71,23.95,24.59,251,33431
2021-06-22,24.76,24.76,24.37,24.5,506,57654
2021-06-23,25.1,24.7,24.43,24.79,474,68633
2021-06-24,25.0,24.995,24.7,24.7,37,11470
2021-06-25,25.25,25.25,24.9,25.24,164,28723
2021-06-28,25.45,25.1,24.61,25.45,158,34508
2021-06-29,25.2,25.02,24.99,25.03,431,101307
2021-06-30,25.02,24.73,24.42,25.02,140,24835
2021-07-01,25.66,25.4,24.99,25.0,252,77838
2021-07-02,25.51,25.44,25.24,25.5,209,62160
2021-07-06,25.62,24.58,24.36,25.62,331,80183
2021-07-07,24.65,24.3,24.19,24.45,258,45318
2021-07-08,24.37,24.0,23.7,23.97,1014,201477
2021-07-09,24.6,24.44,23.95,24.17,278,49350
2021-07-12,24.7,24.02,23.9,24.22,214,42429
2021-07-13,24.09,23.66,23.49,23.97,620,91474
2021-07-14,24.03,23.0,22.9,23.76,551,97091
2021-07-15,23.0,22.29,21.51,22.94,1309,235177
2021-07-16,22.33,21.59,21.57,22.33,601,123486
2021-07-19,21.34,21.01,20.6,21.11,452,102641
2021-07-20,21.21,21.06,20.9,21.0,80,11821
2021-07-21,22.15,21.87,21.17,21.17,51,9188
2021-07-22,22.46,21.95,21.78,21.98,234,27182
2021-07-23,21.9,21.71,21.71,21.9,105,9748
2021-07-26,22.38,22.26,21.69,21.71,308,43196
2021-07-27,22.25,22.25,22.0,22.23,198,50037
2021-07-28,22.71,22.33,22.19,22.19,156,25324
2021-07-29,22.55,22.42,22.35,22.36,36,2246
2021-07-30,22.17,22.0,21.57,22.17,27,2350
2021-08-02,22.72,22.3,21.86,22.11,84,6665
2021-08-03,22.2,22.15,21.95,22.13,95,9912
2021-08-04,21.87,21.45,21.37,21.76,124,9369
2021-08-05,21.57,20.4,20.34,21.35,194,15388
2021-08-06,20.89,20.89,20.58,20.58,75,4965
2021-08-09,20.84,20.8,20.48,20.65,227,21065
2021-08-10,21.24,21.21,20.7,20.71,200,20055
2021-08-11,21.83,21.53,21.28,21.28,203,17034
2021-08-12,21.99,21.99,21.39,21.39,82,7221
2021-08-13,21.94,21.26,21.26,21.48,242,11947
2021-08-16,21.54,21.1,20.97,21.2,93,12281
