Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-02-24,32.5,32.5,32.0,32.0,4,850
2016-02-25,33.0,32.0,32.0,33.0,2,372
2016-02-26,31.97,31.5,31.5,31.97,4,500
2016-02-29,31.75,31.75,31.75,31.75,2,205
2016-03-04,31.5,31.4,31.4,31.5,7,968
2016-03-07,31.75,31.75,31.75,31.75,2,300
2016-03-08,31.77,31.77,31.5,31.5,8,1637
2016-03-10,32.75,32.75,32.2,32.2,5,775
2016-03-14,33.5,33.13,33.13,33.5,13,1882
2016-03-15,33.5,33.5,33.3,33.3,9,112
2016-03-16,33.5,33.5,33.5,33.5,3,273
2016-03-17,35.0,35.0,34.38,34.38,7,1748
2016-03-18,35.0,35.0,35.0,35.0,2,280
2016-03-21,35.87,35.0,35.0,35.5,5,1249
2016-03-22,35.96,35.7,35.7,35.96,4,513
2016-03-23,36.0,36.0,35.75,35.75,8,980
2016-03-24,37.42,36.62,36.62,37.42,5,238
2016-03-28,37.4,37.25,37.25,37.4,3,400
2016-03-29,38.0,37.9,37.14,38.0,8,515
2016-03-30,38.48,38.48,38.0,38.0,53,3123
2016-03-31,38.85,38.85,37.95,38.47,56,4474
2016-04-01,38.1,38.1,37.04,37.97,5,301
2016-04-04,38.82,38.3,38.0,38.05,37,2000
2016-04-05,38.3,37.99,37.4,38.3,20,502
2016-04-06,37.89,37.19,37.0,37.89,54,2936
2016-04-07,37.38,37.0,37.0,37.38,25,778
2016-04-08,37.35,37.35,37.0,37.0,5,1633
2016-04-11,37.24,37.04,37.04,37.24,11,139
2016-04-12,37.84,37.84,37.04,37.04,10,769
2016-04-13,37.28,36.3,35.35,37.28,25,1864
2016-04-14,37.75,37.5,37.33,37.75,5,365
2016-04-15,37.95,37.95,37.5,37.5,3,118
2016-04-18,37.99,37.5,37.5,37.99,2,517
2016-04-19,37.75,37.75,37.4,37.4,13,1292
2016-04-20,38.62,38.62,35.58,35.58,9,1054
2016-04-21,38.19,38.0,37.41,37.7,38,2681
2016-04-22,37.9,37.89,37.21,37.21,22,1151
2016-04-25,38.0,38.0,37.45,37.45,26,2405
2016-04-26,38.5,38.5,37.21,37.8,43,4804
2016-04-27,39.0,39.0,37.69,37.69,13,2250
2016-04-28,39.25,38.85,38.36,38.36,57,5910
2016-04-29,41.5,38.5,38.5,38.85,121,19413
