Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,7.41,7.39,7.32,7.32,207,60067
2013-01-03,7.42,7.41,7.37,7.39,109,42980
2013-01-04,7.43,7.43,7.37,7.41,77,28103
2013-01-07,7.45,7.45,7.37,7.37,152,70031
2013-01-08,7.49,7.47,7.4,7.4,145,67627
2013-01-09,7.52,7.52,7.47,7.47,114,50955
2013-01-10,7.63,7.58,7.51,7.52,169,77750
2013-01-11,7.59,7.59,7.52,7.53,201,68696
2013-01-14,7.6,7.6,7.54,7.59,121,52293
2013-01-15,7.64,7.64,7.57,7.6,61,43455
2013-01-16,7.67,7.63,7.62,7.64,83,38355
2013-01-17,7.65,7.65,7.62,7.63,71,33727
2013-01-18,7.7,7.7,7.65,7.65,133,55895
2013-01-22,7.71,7.7,7.68,7.7,63,37538
2013-01-23,7.74,7.73,7.69,7.7,302,78495
2013-01-24,7.78,7.68,7.64,7.78,151,78476
2013-01-25,7.71,7.7,7.68,7.69,307,74307
2013-01-28,7.71,7.71,7.66,7.7,202,47244
2013-01-29,7.77,7.76,7.69,7.72,255,147409
2013-01-30,7.79,7.79,7.76,7.76,219,83256
2013-01-31,7.82,7.79,7.75,7.81,152,56360
2013-02-01,7.83,7.79,7.75,7.79,166,54600
2013-02-04,7.83,7.76,7.69,7.83,289,67039
2013-02-05,7.81,7.81,7.74,7.76,154,59624
2013-02-06,7.82,7.75,7.73,7.81,228,62834
2013-02-07,7.8,7.74,7.7,7.8,143,52745
2013-02-08,7.81,7.81,7.76,7.76,253,79058
2013-02-11,7.82,7.74,7.72,7.81,118,49210
2013-02-12,7.74,7.66,7.65,7.71,143,53152
2013-02-13,7.7,7.7,7.61,7.61,249,133995
2013-02-14,7.8,7.8,7.7,7.7,314,147499
2013-02-15,7.9,7.9,7.82,7.82,119,26828
2013-02-19,7.94,7.94,7.89,7.9,119,35379
2013-02-20,7.96,7.96,7.9,7.94,51,42284
2013-02-21,8.0,8.0,7.93,7.96,106,33725
2013-02-22,8.04,8.02,7.98,8.02,95,34379
2013-02-25,8.11,8.05,7.99,8.1,124,56086
2013-02-26,8.08,8.08,8.02,8.06,97,49986
2013-02-27,8.16,8.16,8.01,8.03,141,46894
2013-02-28,8.23,8.16,8.08,8.08,208,56605
2013-03-01,8.36,8.3,8.15,8.18,98,32342
2013-03-04,8.34,8.27,8.22,8.24,55,27619
2013-03-05,8.34,8.24,8.15,8.34,157,51424
2013-03-06,8.28,8.09,8.03,8.28,131,62191
2013-03-07,8.1,7.91,7.87,8.09,226,95599
2013-03-08,8.02,7.92,7.88,8.01,189,70148
2013-03-11,7.9,7.87,7.82,7.82,102,67199
2013-03-12,7.87,7.86,7.85,7.85,68,34290
2013-03-13,7.86,7.81,7.78,7.86,85,27426
2013-03-14,7.81,7.76,7.74,7.81,104,28788
2013-03-15,7.75,7.73,7.67,7.71,149,50908
2013-03-18,7.76,7.76,7.71,7.71,182,65536
2013-03-19,7.78,7.78,7.75,7.76,141,54934
2013-03-20,7.81,7.81,7.76,7.77,132,79010
2013-03-21,7.84,7.84,7.81,7.81,134,42600
2013-03-22,7.87,7.87,7.83,7.84,153,47871
2013-03-25,7.87,7.82,7.79,7.87,75,30095
2013-03-26,7.88,7.86,7.81,7.81,231,65150
2013-03-27,7.88,7.88,7.85,7.86,197,56285
2013-03-28,7.88,7.82,7.82,7.88,128,60548
2013-04-01,7.88,7.85,7.83,7.87,182,55960
2013-04-02,7.89,7.89,7.83,7.84,164,70784
2013-04-03,7.96,7.93,7.83,7.89,188,73770
2013-04-04,7.93,7.92,7.88,7.93,123,53370
2013-04-05,7.97,7.93,7.9,7.97,133,70534
2013-04-08,7.97,7.97,7.92,7.93,76,60775
2013-04-09,8.03,8.03,8.0,8.0,76,69862
2013-04-10,8.08,8.08,8.03,8.03,95,72463
2013-04-11,8.12,8.04,7.99,8.12,73,37867
2013-04-12,8.16,8.1,8.03,8.16,86,45352
2013-04-15,8.1,8.05,7.97,8.1,59,31337
2013-04-16,8.12,8.06,8.02,8.05,107,52858
2013-04-17,8.1,8.1,8.0,8.06,709,164893
2013-04-18,8.1,8.07,8.05,8.1,96,42516
2013-04-19,8.1,8.09,8.06,8.07,58,62780
2013-04-22,8.12,8.12,8.09,8.09,90,66612
2013-04-23,8.17,8.17,8.11,8.13,138,78273
2013-04-24,8.16,8.1,8.1,8.15,129,54972
2013-04-25,8.33,8.14,8.06,8.1,306,103401
2013-04-26,8.15,8.15,8.07,8.1,341,94347
2013-04-29,8.15,8.09,8.05,8.15,74,40306
2013-04-30,8.11,8.11,8.07,8.09,181,72038
2013-05-01,8.12,8.12,8.06,8.11,131,61603
2013-05-02,8.13,8.11,8.06,8.12,121,43769
2013-05-03,8.18,8.18,8.07,8.07,182,74065
2013-05-06,8.15,8.15,8.09,8.14,118,55459
2013-05-07,8.14,8.09,8.09,8.12,171,60714
2013-05-08,8.2,8.2,8.08,8.08,203,71860
2013-05-09,8.15,8.12,8.11,8.15,61,33459
2013-05-10,8.16,8.15,8.09,8.12,246,92341
2013-05-13,8.12,8.12,8.09,8.1,139,36837
2013-05-14,8.12,8.11,8.05,8.1,195,43953
2013-05-15,8.11,8.04,7.97,8.11,181,61604
2013-05-16,8.05,8.0,7.98,8.04,188,55341
2013-05-17,8.03,7.97,7.93,8.0,87,49858
2013-05-20,7.97,7.91,7.88,7.95,188,49250
2013-05-21,7.96,7.96,7.89,7.91,168,57344
2013-05-22,8.02,8.0,7.98,8.02,153,90282
2013-05-23,8.02,8.02,7.98,8.0,81,36812
2013-05-24,8.02,7.95,7.9,8.02,153,44312
2013-05-28,7.95,7.89,7.85,7.95,125,48781
2013-05-29,7.89,7.76,7.68,7.85,107,36013
2013-05-30,7.84,7.82,7.73,7.75,101,45713
2013-05-31,7.8,7.77,7.71,7.77,115,42216
2013-06-03,7.79,7.65,7.56,7.79,140,56770
2013-06-04,7.7,7.62,7.54,7.62,100,30299
2013-06-05,7.69,7.68,7.58,7.65,179,48766
2013-06-06,7.75,7.75,7.63,7.63,107,54912
2013-06-07,7.79,7.79,7.69,7.72,129,71872
2013-06-10,7.79,7.72,7.7,7.79,186,46868
2013-06-11,7.72,7.71,7.51,7.51,158,101092
2013-06-12,7.66,7.6,7.56,7.66,123,43443
2013-06-13,7.6,7.51,7.51,7.6,69,27366
2013-06-14,7.53,7.47,7.37,7.53,135,51834
2013-06-17,7.58,7.52,7.5,7.53,54,32462
2013-06-18,7.52,7.47,7.43,7.52,55,23143
2013-06-19,7.5,7.41,7.34,7.49,74,32526
2013-06-20,7.4,7.26,7.2,7.4,66,28459
2013-06-21,7.51,7.51,7.28,7.34,126,50750
2013-06-24,7.38,7.33,7.25,7.36,78,36905
2013-06-25,7.45,7.44,7.26,7.4,100,41965
2013-06-26,7.52,7.51,7.46,7.46,173,85060
2013-06-27,7.55,7.53,7.48,7.48,215,75570
2013-06-28,7.6,7.59,7.49,7.53,103,53392
2013-07-01,7.59,7.49,7.46,7.59,46,28502
