Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,38.85,38.35,37.85,37.89,1742,371403
2013-01-03,39.09,38.23,38.03,38.32,1261,230821
2013-01-04,38.47,38.29,38.05,38.39,1038,218867
2013-01-07,38.3,38.0,37.76,38.06,886,172565
2013-01-08,38.83,38.43,37.94,37.97,1581,275066
2013-01-09,39.73,39.14,38.66,38.71,1802,364705
2013-01-10,39.35,39.1,38.45,39.35,2035,347580
2013-01-11,39.75,39.45,39.28,39.45,1807,423120
2013-01-14,39.6,39.04,38.95,39.37,1046,274880
2013-01-15,39.52,39.39,38.99,39.11,1361,293299
2013-01-16,39.36,39.23,38.91,39.27,847,155830
2013-01-17,40.13,40.07,39.41,39.5,2781,711132
2013-01-18,40.57,40.24,39.95,40.07,1361,283046
2013-01-22,41.35,41.25,40.34,40.34,1805,446079
2013-01-23,41.6,41.18,40.84,41.18,983,230214
2013-01-24,41.8,41.24,40.86,41.15,1523,294989
2013-01-25,42.18,42.02,41.15,41.4,1181,223487
2013-01-28,42.78,41.28,40.74,42.23,2042,375713
2013-01-29,42.23,42.04,41.17,41.4,1239,215961
2013-01-30,42.33,41.69,41.49,42.09,1255,197865
2013-01-31,41.92,41.67,41.21,41.52,1489,303249
2013-02-01,42.63,41.67,41.57,42.15,1028,219249
2013-02-04,41.79,41.36,41.11,41.37,726,142101
2013-02-05,41.63,41.53,40.38,41.37,2206,420735
2013-02-06,42.16,42.16,41.15,41.27,1216,242746
2013-02-07,42.55,42.23,41.46,42.15,2086,382049
2013-02-08,42.93,42.64,41.56,42.22,1812,318376
2013-02-11,42.93,42.7,42.38,42.63,1009,161340
2013-02-12,43.65,43.39,42.28,42.3,1702,382048
2013-02-13,43.88,43.24,42.97,43.16,1844,348751
2013-02-14,43.4,42.79,42.78,43.23,1545,381799
2013-02-15,43.04,42.79,42.35,42.8,2582,569041
2013-02-19,43.36,43.34,42.88,42.93,3302,686368
2013-02-20,42.22,39.91,39.0,41.7,5816,1400165
2013-02-21,40.1,38.72,38.07,40.1,3567,797511
2013-02-22,40.22,40.15,39.01,39.04,2266,471270
2013-02-25,40.24,38.28,38.24,39.95,3133,542922
2013-02-26,39.54,39.29,38.39,38.55,2182,397600
2013-02-27,39.74,39.17,38.93,39.18,2738,509321
2013-02-28,40.0,38.81,38.79,39.2,2185,442301
2013-03-01,38.99,38.65,38.08,38.55,1765,304950
2013-03-04,39.45,39.25,38.59,38.6,1080,212915
2013-03-05,39.82,39.65,39.35,39.52,1067,202166
2013-03-06,40.13,39.69,39.54,39.9,1944,452209
2013-03-07,40.05,39.38,39.33,39.73,1367,265512
2013-03-08,40.19,40.18,39.5,39.88,1058,215732
2013-03-11,40.49,40.03,39.93,40.18,1045,237746
2013-03-12,40.28,39.74,39.51,40.01,1177,221102
2013-03-13,40.05,40.05,39.52,39.76,1110,182511
2013-03-14,41.13,40.61,40.1,40.1,1666,305657
2013-03-15,41.02,40.6,40.2,40.56,1221,341911
2013-03-18,41.09,40.76,40.0,40.04,1300,257565
2013-03-19,41.77,40.63,40.18,41.04,1714,285624
2013-03-20,41.74,41.32,40.94,40.98,1496,277419
2013-03-21,41.24,40.79,40.45,41.17,1577,303589
2013-03-22,41.16,39.72,39.56,40.94,1825,360527
2013-03-25,40.0,38.84,38.56,39.83,2289,408252
2013-03-26,39.61,39.58,38.98,39.0,1008,194177
2013-03-27,39.49,39.37,38.99,39.22,922,168758
2013-03-28,39.54,39.43,39.01,39.36,601,166235
2013-04-01,39.63,38.26,38.13,39.42,1379,257596
2013-04-02,38.44,37.77,37.49,38.38,1735,287215
2013-04-03,38.02,37.26,36.87,37.8,1426,340056
2013-04-04,37.9,37.72,37.03,37.26,1273,243406
2013-04-05,38.13,38.1,36.97,37.0,1142,215586
2013-04-08,39.12,38.97,37.78,38.13,1818,302749
2013-04-09,39.06,38.69,38.33,39.06,1650,248306
2013-04-10,39.39,39.37,38.61,38.79,1130,222481
2013-04-11,39.93,39.27,39.18,39.29,918,179533
2013-04-12,40.64,39.4,39.07,39.58,1682,311747
2013-04-15,39.11,37.73,37.68,39.11,2089,377113
2013-04-16,39.06,39.05,37.86,38.6,3058,596607
2013-04-17,38.8,38.44,37.72,38.63,2703,467459
2013-04-18,39.05,38.5,38.09,38.5,1929,339911
2013-04-19,39.48,39.24,38.52,38.71,2285,436721
2013-04-22,39.96,39.67,38.79,39.34,1955,312541
2013-04-23,40.32,40.12,39.73,40.05,2783,567139
2013-04-24,42.9,42.13,41.42,42.45,5694,1193823
2013-04-25,42.91,42.66,42.22,42.5,3390,613755
2013-04-26,42.69,42.38,42.01,42.67,2020,409280
2013-04-29,42.98,42.45,42.32,42.66,2635,507580
2013-04-30,42.7,42.06,41.85,42.38,1953,425412
2013-05-01,42.0,41.32,41.16,41.97,1695,298039
2013-05-02,42.09,41.89,41.43,41.43,1834,369641
2013-05-03,43.33,42.82,42.39,42.39,2253,463705
2013-05-06,43.3,43.01,42.69,42.98,1665,329958
2013-05-07,43.37,43.06,42.5,43.09,1444,309770
2013-05-08,43.46,43.29,42.77,43.06,1360,268887
2013-05-09,43.679,42.94,42.85,43.26,1600,274124
2013-05-10,43.64,43.62,42.79,42.94,1317,231006
2013-05-13,44.75,43.98,43.63,44.3,1852,454284
2013-05-14,44.81,44.81,43.88,43.89,1297,265159
2013-05-15,45.23,44.95,44.56,44.58,1933,441584
2013-05-16,45.07,44.13,44.0,44.72,1501,338659
2013-05-17,44.87,44.87,44.29,44.5,1571,368596
2013-05-20,45.25,44.79,44.47,44.94,913,183185
2013-05-21,45.0,44.53,44.28,44.8,877,156307
2013-05-22,45.54,44.23,43.88,44.72,3239,568683
2013-05-23,44.9,44.42,43.41,43.65,1885,415368
2013-05-24,44.35,44.21,43.45,44.14,1120,195300
