Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,7.71,7.45,7.35,7.66,278,67519
2013-01-03,7.72,7.62,7.39,7.45,133,23819
2013-01-04,7.83,7.76,7.61,7.68,78,18623
2013-01-07,7.69,7.48,7.42,7.68,84,15244
2013-01-08,7.64,7.43,7.35,7.5,91,13771
2013-01-09,7.52,7.48,7.42,7.48,111,23292
2013-01-10,7.5,7.26,7.26,7.5,102,18416
2013-01-11,7.45,7.38,7.29,7.29,123,22464
2013-01-14,7.48,7.39,7.26,7.39,119,23040
2013-01-15,7.54,7.51,7.31,7.31,84,14617
2013-01-16,7.57,7.45,7.44,7.46,108,33728
2013-01-17,7.79,7.48,7.46,7.51,104,17930
2013-01-18,7.62,7.35,7.3,7.47,95,29206
2013-01-22,7.41,7.35,7.27,7.37,105,33061
2013-01-23,7.57,7.49,7.37,7.37,118,19525
2013-01-24,7.64,7.61,7.5,7.53,107,17187
2013-01-25,7.67,7.5,7.45,7.67,145,25307
2013-01-28,7.67,7.64,7.47,7.54,108,22613
2013-01-29,7.87,7.85,7.63,7.64,119,24114
2013-01-30,7.87,7.67,7.64,7.86,178,67441
2013-01-31,7.85,7.8,7.67,7.67,102,26046
2013-02-01,8.06,8.01,7.81,7.87,123,18775
2013-02-04,7.96,7.58,7.57,7.96,108,20822
2013-02-05,7.74,7.69,7.56,7.64,62,10575
2013-02-06,7.76,7.66,7.6,7.66,71,12156
2013-02-07,7.67,7.55,7.55,7.67,30,5747
2013-02-08,7.84,7.8,7.58,7.58,134,27922
2013-02-11,8.06,7.96,7.8,7.82,108,19419
2013-02-12,8.26,8.26,7.93,7.99,101,19357
2013-02-13,8.53,8.51,8.22,8.29,128,30361
2013-02-14,8.77,8.74,8.45,8.47,155,22885
2013-02-15,8.92,8.87,8.68,8.79,138,48484
2013-02-19,9.02,8.88,8.7,8.92,161,33381
2013-02-20,8.93,8.46,8.46,8.91,165,43729
2013-02-21,8.64,8.51,8.33,8.49,105,18193
2013-02-22,8.71,8.71,8.57,8.58,55,13219
2013-02-25,8.86,8.66,8.59,8.77,197,30109
2013-02-26,8.86,8.7,8.65,8.73,177,54786
2013-02-27,9.17,9.12,8.67,8.68,162,42335
2013-02-28,10.7,9.52,9.03,10.0,679,144797
2013-03-01,9.8,9.55,9.17,9.47,363,71579
2013-03-04,9.85,9.76,9.55,9.55,170,46439
2013-03-05,10.09,10.02,9.64,9.65,325,70083
2013-03-06,10.09,9.91,9.85,10.09,311,45409
2013-03-07,10.12,10.0,9.86,9.93,279,76078
2013-03-08,10.13,9.99,9.94,10.13,259,44459
2013-03-11,10.03,10.0,9.87,9.98,219,36253
2013-03-12,10.08,10.0,9.91,10.02,286,45234
2013-03-13,10.15,10.08,9.96,10.05,212,34019
2013-03-14,10.25,10.22,10.02,10.13,231,45991
2013-03-15,10.25,10.02,10.02,10.2,296,126480
2013-03-18,10.14,9.99,9.96,9.97,192,44712
2013-03-19,10.11,10.09,9.96,10.03,254,38512
2013-03-20,10.32,10.25,10.1,10.13,186,37304
2013-03-21,10.36,10.08,9.95,10.13,202,31994
2013-03-22,10.31,10.2,10.11,10.11,78,23700
2013-03-25,10.32,10.15,10.09,10.22,166,26257
2013-03-26,10.2,10.13,10.07,10.18,135,19289
2013-03-27,10.16,10.07,9.98,10.08,157,29000
2013-03-28,10.13,9.94,9.9,10.13,123,32230
2013-04-01,10.0,9.73,9.54,9.97,227,43430
2013-04-02,9.81,9.47,9.47,9.81,128,27176
2013-04-03,9.6,9.35,9.27,9.47,200,35159
2013-04-04,9.47,9.35,9.26,9.33,111,19427
2013-04-05,9.34,8.96,8.93,9.15,266,48996
2013-04-08,9.01,8.99,8.8,8.97,261,41415
2013-04-09,9.03,8.89,8.87,9.03,125,26174
2013-04-10,9.22,9.17,8.94,8.94,177,30176
2013-04-11,9.29,9.27,9.09,9.13,164,27234
2013-04-12,9.28,9.2,9.08,9.25,124,23492
2013-04-15,9.11,8.52,8.49,9.11,221,45725
2013-04-16,8.99,8.89,8.63,8.63,178,30535
2013-04-17,8.95,8.64,8.48,8.83,169,31551
2013-04-18,8.87,8.72,8.53,8.68,177,30380
2013-04-19,9.05,8.82,8.65,8.74,228,42174
2013-04-22,8.9,8.81,8.42,8.8,143,31869
2013-04-23,9.05,9.04,8.86,8.93,161,24053
2013-04-24,9.21,9.06,8.98,9.02,149,21320
2013-04-25,9.18,8.94,8.91,9.13,85,14406
2013-04-26,8.97,8.83,8.78,8.9,171,37044
2013-04-29,8.99,8.86,8.81,8.91,87,16586
2013-04-30,9.17,9.16,8.79,8.87,207,41133
2013-05-01,9.16,8.9,8.74,9.09,560,102782
