Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-06,9.85,9.77,9.77,9.85,2,800
2021-07-07,9.65,9.63,9.63,9.65,16,14190
2021-07-08,9.66,9.62,9.61,9.66,93,47510
2021-07-09,9.62,9.62,9.6,9.62,10,6001
2021-07-12,9.65,9.62,9.6,9.65,13,7200
2021-07-13,9.64,9.62,9.62,9.64,14,6000
2021-07-14,9.62,9.62,9.61,9.61,7,2000
2021-07-15,9.62,9.61,9.61,9.62,14,4254
2021-07-16,9.62,9.61,9.61,9.61,18,6751
2021-07-19,9.61,9.61,9.6,9.61,7,4024
2021-07-20,9.62,9.62,9.59,9.62,19,15143
2021-07-21,9.63,9.63,9.63,9.63,,
2021-07-22,9.68,9.63,9.61,9.61,33,26676
2021-07-23,9.67,9.6699,9.6699,9.67,1,300
2021-07-26,9.9,9.62,9.62,9.9,6,700
2021-07-27,9.65,9.65,9.65,9.65,2,5791
2021-07-28,9.68,9.65,9.65,9.68,7,12010
2021-07-29,9.65,9.62,9.59,9.65,3,464
2021-07-30,9.65,9.65,9.59,9.59,18,9017
2021-08-02,9.67,9.65,9.65,9.67,2,500
2021-08-03,9.67,9.67,9.64,9.64,7,2500
2021-08-05,9.625,9.625,9.625,9.625,,
2021-08-06,,,,,3,99
2021-08-09,9.6399,9.6399,9.63,9.63,1,65
2021-08-10,9.64,9.64,9.61,9.61,2,110
2021-08-11,9.69,9.64,9.64,9.69,1,1
2021-08-12,9.64,9.64,9.61,9.61,6,328
2021-08-13,9.64,9.64,9.61,9.61,4,402
2021-08-16,9.63,9.63,9.63,9.63,3,688
2021-08-18,9.63,9.63,9.61,9.63,5,509
2021-08-19,9.63,9.63,9.6,9.6,2,200
2021-08-23,9.64,9.64,9.64,9.64,25,1976
2021-08-26,9.6,9.59,9.57,9.6,32,10035
2021-08-27,9.61,9.61,9.57,9.57,6,241
2021-08-30,9.61,9.61,9.59,9.6,4,304
2021-08-31,9.64,9.64,9.62,9.62,4,9195
2021-09-01,9.63,9.63,9.63,9.63,1,114
2021-09-02,9.64,9.64,9.64,9.64,,
2021-09-03,9.64,9.64,9.61,9.61,2,200
2021-09-07,9.63,9.63,9.63,9.63,,
2021-09-08,9.87,9.74,9.72,9.72,409,255501
2021-09-09,,,,,1,2
