Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,85.56,85.26,84.79,85.4,565,89528
2013-01-03,86.65,86.43,86.33,86.41,678,110848
2013-01-04,86.78,86.69,85.75,86.0,428,69929
2013-01-07,86.8,86.55,86.39,86.49,272,37467
2013-01-08,85.73,85.57,85.19,85.68,499,82996
2013-01-09,85.53,85.39,85.13,85.27,345,53381
2013-01-10,85.61,85.53,85.12,85.45,382,50861
2013-01-11,85.2,85.1,84.79,85.2,309,41555
2013-01-14,85.46,85.11,84.98,85.29,223,34613
2013-01-15,84.94,84.94,84.38,84.77,318,78969
2013-01-16,84.61,84.56,83.68,84.29,272,82986
2013-01-17,85.15,84.98,84.47,84.76,242,33753
2013-01-18,84.72,84.5,84.43,84.5,367,56968
2013-01-22,85.28,85.26,84.58,85.12,423,61516
2013-01-23,84.69,84.47,84.28,84.6,404,63698
2013-01-24,85.87,84.84,84.59,85.38,444,65919
2013-01-25,85.0,84.76,84.09,84.88,283,48240
2013-01-28,84.06,82.08,82.06,84.0,426,69530
2013-01-29,83.22,82.49,82.07,82.07,348,52424
2013-01-30,82.15,81.19,80.85,82.0,550,105515
2013-01-31,81.87,81.46,81.33,81.55,381,70936
2013-02-01,82.84,82.71,82.24,82.24,318,47619
2013-02-04,82.41,81.37,81.35,82.31,189,26966
2013-02-05,81.89,81.61,81.22,81.48,364,49069
2013-02-06,81.43,81.3,80.79,80.92,329,55564
2013-02-07,81.48,80.98,80.7,81.29,294,41807
2013-02-08,81.87,81.64,81.49,81.6,247,36047
2013-02-11,81.91,81.72,81.14,81.5,393,55764
2013-02-12,82.13,81.96,81.12,81.59,202,32003
2013-02-13,82.81,82.45,82.21,82.67,241,74996
2013-02-14,83.52,83.31,82.67,82.84,336,48440
2013-02-15,84.17,83.61,83.26,84.03,347,46729
2013-02-19,84.52,83.44,83.34,84.52,954,118887
2013-02-20,85.7,83.79,83.68,85.58,1130,163187
2013-02-21,83.46,82.49,82.08,83.41,475,72829
2013-02-22,83.14,82.83,82.14,82.95,458,62053
2013-02-25,82.68,80.54,80.52,82.64,359,66707
2013-02-26,81.38,81.06,80.62,81.2,463,65043
2013-02-27,81.7,81.62,80.8,80.85,438,60649
2013-02-28,81.51,80.69,80.65,81.21,274,44637
2013-03-01,80.68,80.36,80.14,80.68,535,78596
2013-03-04,78.75,78.23,77.17,78.75,706,114540
2013-03-05,79.35,79.04,78.36,78.44,864,126916
2013-03-06,79.25,79.05,78.75,78.93,710,116590
2013-03-07,79.03,78.8,78.34,78.43,436,63375
2013-03-08,78.79,78.49,78.25,78.61,386,52086
2013-03-11,78.09,77.86,77.57,78.05,245,32642
2013-03-12,77.84,76.98,76.88,77.3,613,110508
2013-03-13,76.86,75.67,75.59,76.56,389,86707
2013-03-14,75.91,75.91,75.3,75.43,301,49828
2013-03-15,74.59,74.14,74.0,74.05,845,150544
2013-03-18,73.96,73.43,72.5,73.96,671,95528
2013-03-19,73.43,72.89,72.46,73.43,849,119727
2013-03-20,73.38,72.97,72.82,73.38,483,76821
2013-03-21,72.96,72.62,72.42,72.48,408,54888
2013-03-22,72.62,72.41,72.21,72.62,326,46424
2013-03-25,73.06,72.98,72.5,72.5,682,94898
2013-03-26,73.61,73.52,73.21,73.29,504,64170
2013-03-27,73.83,73.8,73.02,73.31,496,92706
2013-03-28,73.8,73.71,73.37,73.8,328,49736
2013-04-01,73.24,73.0,72.93,73.1,357,69460
2013-04-02,72.38,71.53,71.36,72.02,805,143611
2013-04-03,72.48,71.53,71.31,72.23,575,91260
2013-04-04,71.4,71.22,70.55,71.26,587,92032
2013-04-05,68.87,68.82,68.0,68.34,684,115030
2013-04-08,68.94,68.86,68.26,68.94,398,69501
2013-04-09,70.02,69.51,68.83,69.0,707,122444
2013-04-10,71.37,71.15,70.71,70.71,554,78964
2013-04-11,71.44,70.88,70.73,71.44,555,78006
2013-04-12,70.58,69.94,69.66,70.58,243,40056
2013-04-15,71.79,69.62,69.61,71.64,971,140053
2013-04-16,72.18,71.86,71.27,71.27,468,94290
2013-04-17,70.88,69.98,69.77,70.88,404,78946
2013-04-18,70.51,69.9,69.8,70.29,359,49019
2013-04-19,70.98,70.62,70.18,70.97,597,75697
2013-04-22,71.43,71.25,70.8,71.04,554,86094
2013-04-23,71.59,71.0,70.61,71.3,415,65787
2013-04-24,71.73,71.7,71.12,71.12,428,63550
2013-04-25,73.69,72.25,71.54,71.84,614,86901
2013-04-26,71.05,70.75,70.15,70.9,462,67903
2013-04-29,71.33,71.26,70.5,70.58,261,48787
2013-04-30,72.03,71.99,70.6,71.18,309,56737
2013-05-01,72.65,71.11,70.96,71.79,411,60756
2013-05-02,71.2,71.19,70.8,71.14,377,62961
2013-05-03,72.85,72.54,71.5,71.5,295,48786
2013-05-06,72.77,72.64,72.3,72.6,227,37757
2013-05-07,73.89,73.77,72.89,72.89,221,33589
2013-05-08,75.0,74.82,73.9,73.9,648,95446
2013-05-09,74.72,73.89,73.77,74.61,264,38411
2013-05-10,72.81,72.8,72.04,72.33,453,59909
2013-05-13,72.71,72.46,72.19,72.71,302,40849
2013-05-14,73.07,72.83,72.45,72.45,347,45329
2013-05-15,72.36,72.02,71.56,72.36,425,118029
2013-05-16,72.92,72.16,71.9,71.9,349,49116
2013-05-17,72.59,72.42,72.13,72.35,357,115833
2013-05-20,73.15,73.0,72.22,72.4,292,35961
2013-05-21,72.97,72.66,72.2,72.81,482,71783
2013-05-22,74.02,72.65,72.27,72.93,324,42562
2013-05-23,72.08,71.83,71.73,72.0,327,54251
2013-05-24,71.92,71.65,71.33,71.76,430,70429
2013-05-28,72.0,71.48,71.4,72.0,183,27588
2013-05-29,71.51,71.08,70.85,71.48,363,48212
2013-05-30,71.79,71.55,71.19,71.39,279,36387
2013-05-31,71.43,70.65,70.65,71.18,387,86400
2013-06-03,72.26,72.23,71.02,71.12,468,71399
2013-06-04,72.63,71.99,71.551,72.38,276,38556
2013-06-05,71.85,71.15,71.135,71.85,342,49436
2013-06-06,71.46,71.45,70.92,71.33,230,43489
2013-06-07,71.47,70.85,70.4,71.47,449,72130
2013-06-10,70.6,70.41,70.11,70.6,241,40285
2013-06-11,69.58,69.37,68.99,69.19,309,44946
2013-06-12,69.64,68.84,68.77,69.58,282,49303
2013-06-13,69.94,69.8,68.95,68.95,431,126068
2013-06-14,70.49,69.2,69.15,70.01,372,68447
2013-06-17,69.62,69.24,69.08,69.54,254,43211
2013-06-18,69.45,69.36,68.78,69.0,97,17669
2013-06-19,69.36,68.1,68.02,69.3,473,162323
2013-06-20,67.5,66.82,66.22,67.5,525,80199
2013-06-21,64.68,63.82,63.3,64.15,846,143670
2013-06-24,63.92,63.23,62.32,63.0,732,109358
2013-06-25,64.25,63.9,63.61,63.65,645,104275
2013-06-26,64.0,63.84,63.22,64.0,597,89201
2013-06-27,64.34,64.1,63.8,64.26,410,78913
2013-06-28,65.17,65.08,64.04,64.25,638,86314
2013-07-01,65.86,65.45,65.38,65.5,322,52250
2013-07-02,66.03,65.26,65.0,65.55,431,60835
2013-07-03,64.81,64.5,64.02,64.37,175,26298
2013-07-05,65.0,64.29,63.51,65.0,268,45816
2013-07-08,65.35,64.98,64.79,64.79,345,52132
2013-07-09,66.0,65.88,65.54,65.54,260,40874
2013-07-10,66.13,65.79,65.75,66.02,293,45742
2013-07-11,69.58,69.45,68.13,68.13,523,74836
2013-07-12,69.43,69.41,69.0,69.29,433,74570
2013-07-15,70.2,69.9,69.75,69.9,228,34307
2013-07-16,70.1,69.52,69.24,69.82,135,25120
2013-07-17,70.2,70.2,69.57,69.77,290,90390
2013-07-18,69.96,69.96,69.4,69.79,207,36233
2013-07-19,69.7,69.7,69.21,69.67,169,24703
2013-07-22,70.34,70.15,69.5,69.5,385,64186
2013-07-23,72.73,72.47,71.71,71.71,368,62737
2013-07-24,73.08,72.27,71.94,72.99,276,45383
2013-07-25,73.65,73.65,71.7,72.0,243,43563
2013-07-26,73.3,73.13,72.75,73.12,233,30215
2013-07-29,73.0,72.4,72.36,72.9,244,37457
2013-07-30,72.82,72.22,72.15,72.6,131,19478
2013-07-31,72.11,71.68,71.35,72.11,411,61808
2013-08-01,73.01,72.97,72.5,72.67,134,20112
2013-08-02,74.58,74.47,73.06,73.06,355,55876
2013-08-05,73.94,73.72,73.45,73.94,199,60512
2013-08-06,72.96,72.73,72.42,72.68,238,42809
2013-08-07,73.48,73.14,72.28,72.76,493,77207
2013-08-08,74.31,74.16,72.74,73.05,543,84213
2013-08-09,74.45,74.39,73.29,73.7,722,111604
2013-08-12,74.87,74.79,74.3,74.3,389,71896
2013-08-13,74.94,74.66,74.56,74.92,273,38085
2013-08-14,76.09,76.09,74.76,74.76,393,142003
2013-08-15,75.25,74.95,74.6,75.25,373,49045
2013-08-16,75.47,74.91,74.75,75.23,141,20155
2013-08-19,74.67,73.44,73.41,74.67,194,32278
2013-08-20,73.55,73.32,72.58,73.15,234,33861
2013-08-21,72.53,71.58,71.57,72.53,199,31455
2013-08-22,72.97,72.7,72.1,72.3,311,54740
2013-08-23,72.99,72.68,72.18,72.42,275,38317
2013-08-26,72.91,72.52,72.48,72.68,228,32353
2013-08-27,71.95,71.59,71.57,71.83,175,26642
2013-08-28,72.46,72.27,71.55,71.55,183,25184
2013-08-29,72.59,72.51,72.17,72.17,228,29976
2013-08-30,72.39,72.02,71.78,72.39,226,54599
2013-09-03,73.48,73.43,72.95,73.18,234,32005
2013-09-04,74.53,74.53,73.38,73.46,437,65392
2013-09-05,75.2,74.94,74.51,74.52,248,36600
