Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-04,24.35,24.35,24.35,24.35,1,300
2013-01-07,24.47,24.47,24.45,24.45,2,500
2013-01-08,24.4,24.4,24.4,24.4,1,200
2013-01-09,24.5,24.5,24.4,24.4,5,2900
2013-01-10,24.4,24.4,24.4,24.4,1,100
2013-01-14,24.5,24.4,24.4,24.5,14,43630
2013-01-16,24.4,24.4,24.4,24.4,5,1000
2013-01-17,24.4,24.4,24.4,24.4,19,2000
2013-01-18,24.4,24.4,24.4,24.4,20,2000
2013-01-22,24.43,24.4,24.4,24.4,19,8292
2013-01-25,24.49,24.49,24.4,24.4,2,220
2013-01-28,24.4,24.4,24.4,24.4,5,1791
2013-02-06,24.4,24.4,24.4,24.4,2,1000
2013-02-07,24.31,24.31,24.31,24.31,1,700
2013-02-08,24.5,24.39,24.39,24.5,11,5251
2013-02-11,24.45,24.25,24.25,24.45,4,456
2013-02-13,24.25,24.25,24.25,24.25,1,100
2013-02-14,24.5,24.5,24.3,24.3,5,650
2013-02-15,24.4,24.4,24.4,24.4,1,100
2013-02-19,24.4,24.4,24.3,24.3,2,200
2013-02-21,24.3,24.3,24.3,24.3,1,100
2013-02-25,24.9,24.4,24.4,24.9,5,1400
2013-03-04,24.4,24.4,24.4,24.4,1,100
2013-03-07,24.36,24.36,24.36,24.36,1,100
2013-03-12,24.56,24.56,24.45,24.45,3,300
2013-03-13,24.46,24.46,24.46,24.46,1,100
2013-03-15,24.4,24.4,24.4,24.4,1,400
2013-03-18,24.4,24.4,24.4,24.4,2,1000
2013-03-20,24.5,24.5,24.47,24.48,3,1200
2013-03-21,24.5,24.4,24.4,24.4,4,800
2013-03-22,24.5,24.5,24.4,24.4,13,3283
2013-03-25,24.5,24.5,24.48,24.48,3,1700
2013-03-26,24.21,24.11,24.11,24.21,3,300
2013-03-28,24.31,24.31,24.21,24.21,2,200
2013-04-01,24.32,24.32,24.32,24.32,1,200
2013-04-04,24.25,24.25,24.02,24.22,7,1100
2013-04-05,24.2,24.07,24.07,24.2,7,1733
2013-04-08,24.17,24.17,24.17,24.17,4,2651
2013-04-09,24.3,24.3,24.2,24.2,2,200
2013-04-10,24.41,24.41,24.4,24.4,3,300
2013-04-11,24.51,24.51,24.51,24.51,1,100
2013-04-15,24.41,24.28,24.28,24.41,10,1500
2013-04-16,24.37,24.37,24.37,24.37,1,188
2013-04-19,24.56,24.56,24.46,24.46,2,200
2013-04-22,24.6,24.6,24.5,24.56,4,500
2013-04-23,24.6,24.4,24.3,24.6,8,1075
2013-04-24,24.8,24.8,24.5,24.5,4,400
2013-05-01,25.0,24.8,24.8,25.0,6,2286
2013-05-02,24.76,24.75,24.75,24.76,2,400
2013-05-03,24.7,24.7,24.7,24.7,1,100
2013-05-06,24.7,24.7,24.7,24.7,1,400
2013-05-10,24.65,24.65,24.65,24.65,1,100
2013-05-13,24.74,24.74,24.6,24.6,4,400
2013-05-14,24.69,24.69,24.54,24.69,8,800
2013-05-16,24.65,24.64,24.49,24.65,8,1000
2013-05-20,24.8,24.7,24.7,24.75,4,500
2013-05-22,24.65,24.4,24.4,24.65,6,800
2013-05-24,24.45,24.45,24.4,24.4,2,200
2013-05-28,24.4,24.22,24.22,24.4,5,1351
2013-05-29,24.22,24.07,24.07,24.22,3,300
2013-05-30,24.17,24.02,23.87,24.11,13,1800
2013-05-31,24.06,24.06,24.06,24.06,2,200
2013-06-06,24.16,24.16,24.11,24.11,2,200
2013-06-07,24.26,24.26,24.21,24.21,2,200
2013-06-11,24.21,24.21,24.21,24.21,1,100
2013-06-20,24.08,24.08,24.08,24.08,1,300
2013-06-27,23.86,23.86,23.86,23.86,1,100
2013-07-05,23.64,21.9,21.64,23.64,34,5065
2013-07-08,22.3,22.09,22.02,22.02,8,850
2013-07-10,22.35,22.25,22.25,22.35,3,1300
2013-07-15,22.34,22.01,21.74,22.34,4,500
2013-07-16,22.01,22.0,22.0,22.01,2,200
2013-07-17,21.72,21.72,21.61,21.7,8,1000
2013-07-19,21.55,21.55,21.55,21.55,1,408
2013-07-22,21.52,21.52,21.52,21.52,1,100
2013-07-24,21.6,21.3,21.3,21.6,2,250
2013-07-25,21.95,21.95,21.75,21.75,3,583
2013-07-26,21.6,21.6,21.22,21.52,9,1200
2013-07-29,22.0,22.0,21.65,21.98,4,1808
2013-07-30,22.6,22.6,22.35,22.35,4,1600
2013-07-31,22.5,22.5,22.5,22.5,2,200
2013-08-02,22.75,22.65,22.55,22.55,3,300
2013-08-05,22.8,22.5,22.5,22.65,4,666
2013-08-07,22.5,22.23,22.23,22.5,6,1018
2013-08-08,22.25,22.25,22.25,22.25,1,100
2013-08-12,22.4,22.4,22.4,22.4,1,416
2013-08-13,22.5,22.5,22.5,22.5,2,208
2013-08-15,22.44,22.4,22.4,22.44,2,425
2013-08-16,22.2,22.2,22.2,22.2,1,100
2013-08-19,21.85,21.85,21.85,21.85,1,100
2013-08-20,21.4,21.11,21.11,21.2,6,1700
2013-08-21,21.45,21.45,21.45,21.45,1,100
2013-08-29,21.75,21.46,21.46,21.75,5,2300
2013-09-03,21.46,21.46,21.46,21.46,1,100
2013-09-05,21.7,21.7,21.7,21.7,1,100
2013-09-19,21.52,21.45,20.63,21.52,9,1654
2013-09-24,21.4,21.4,21.4,21.4,1,500
2013-09-27,21.27,21.27,21.27,21.27,1,200
2013-10-09,21.28,21.28,21.28,21.28,1,100
2013-10-10,21.5,21.28,21.28,21.5,3,500
2013-10-18,21.16,21.16,21.16,21.16,1,100
2013-10-21,21.11,21.11,21.11,21.11,1,100
2013-10-22,22.14,22.14,21.15,21.15,2,200
2013-10-23,21.71,21.71,21.2,21.2,3,400
2013-10-30,22.3,21.9,21.9,22.3,4,800
2013-10-31,22.35,22.1,22.1,22.35,2,600
2013-11-04,22.1,22.1,22.1,22.1,1,400
2013-11-06,22.29,22.29,22.29,22.29,2,200
2013-11-12,22.14,22.14,22.0,22.05,3,300
2013-11-22,21.85,21.85,21.85,21.85,1,400
2013-11-27,22.22,22.22,22.22,22.22,1,160
2013-12-10,,,,,1,45
2013-12-11,21.65,21.43,21.43,21.65,4,753
2013-12-13,21.45,21.45,21.45,21.45,3,400
2013-12-16,21.51,21.12,21.12,21.2,8,1506
2013-12-17,20.91,20.9,20.9,20.91,3,3000
2013-12-18,20.9,20.9,20.9,20.9,3,450
2013-12-20,20.53,20.41,20.41,20.53,4,5300
2013-12-23,20.27,20.27,20.27,20.27,1,100
2013-12-24,20.51,20.51,20.51,20.51,1,200
2013-12-26,20.54,20.51,20.51,20.54,2,880
2013-12-30,20.1,20.1,20.1,20.1,1,500
2014-01-03,20.65,20.65,20.65,20.65,1,200
2014-01-07,20.49,20.49,20.46,20.46,2,200
2014-01-08,20.5,20.5,20.5,20.5,1,1000
2014-01-09,20.5,20.5,20.5,20.5,1,200
2014-01-10,20.5,20.5,20.5,20.5,1,100
2014-01-15,20.35,20.35,20.35,20.35,1,300
2014-01-16,20.5,20.5,20.5,20.5,4,7714
2014-01-17,20.6,20.6,20.6,20.6,1,1000
2014-01-21,20.6,20.6,20.4,20.4,3,903
2014-01-22,20.33,20.33,20.33,20.33,2,190
2014-01-24,,,,,1,60
2014-01-29,20.5,20.5,20.5,20.5,2,125
2014-01-30,20.51,20.51,20.51,20.51,1,100
2014-01-31,20.6,20.6,20.56,20.57,4,600
2014-02-03,20.6,20.6,20.6,20.6,1,400
2014-02-07,20.61,20.6,20.6,20.6,4,5300
2014-02-10,20.6,20.58,20.57,20.58,8,1700
2014-02-12,20.6,20.6,20.6,20.6,1,6347
2014-02-19,20.78,20.78,20.78,20.78,4,295
2014-02-24,21.03,21.03,21.03,21.03,3,102
2014-02-25,21.16,21.16,21.16,21.16,1,200
2014-02-28,21.33,21.33,21.33,21.33,1,100
2014-03-03,22.02,22.02,22.02,22.02,3,255
2014-03-10,,,,,2,34
2014-03-11,21.75,21.75,21.75,21.75,1,100
2014-03-17,22.59,22.59,21.9,21.9,8,831
2014-03-18,22.49,22.25,22.25,22.25,13,1339
2014-03-19,22.29,22.29,22.25,22.25,4,1100
2014-03-20,22.25,22.25,22.25,22.25,1,100
2014-03-24,23.29,23.29,22.1,22.1,9,748
2014-03-25,22.53,22.53,22.53,22.53,4,348
2014-03-28,23.0,23.0,23.0,23.0,2,1000
2014-04-02,22.51,22.51,22.51,22.51,7,205
2014-04-04,23.0,23.0,22.75,22.75,2,200
2014-04-07,22.55,22.55,22.55,22.55,12,403
2014-04-08,22.58,22.58,22.58,22.58,2,150
2014-04-10,,,,,1,99
2014-04-14,22.75,22.75,22.72,22.72,2,301
2014-04-16,23.21,23.0,23.0,23.21,2,400
2014-04-17,,,,,1,1
2014-04-22,23.22,23.22,23.2,23.2,12,551
2014-04-24,23.5,23.5,23.5,23.5,9,254
2014-04-25,23.04,23.04,23.04,23.04,2,200
2014-04-28,,,,,5,155
2014-04-29,23.4,23.4,23.4,23.4,3,400
2014-04-30,23.75,23.75,23.75,23.75,1,200
2014-05-01,23.75,23.66,23.66,23.75,10,1000
2014-05-02,23.75,23.68,23.65,23.75,11,2304
2014-05-05,23.6,23.6,23.6,23.6,1,400
2014-05-06,23.75,23.6,23.6,23.61,5,1000
2014-05-07,23.73,23.55,23.5,23.73,6,700
2014-05-14,23.45,23.45,23.45,23.45,2,1900
2014-05-15,,,,,2,6
2014-05-23,23.27,23.27,23.27,23.27,2,135
2014-05-28,,,,,1,50
2014-06-02,23.35,23.35,23.25,23.3,11,326
2014-06-03,23.15,23.15,23.0,23.01,5,819
2014-06-05,23.2,23.2,23.15,23.15,2,300
2014-06-09,23.24,23.24,23.24,23.24,1,100
2014-06-10,23.45,23.29,23.29,23.35,17,1500
2014-06-11,23.26,23.0,23.0,23.26,6,600
2014-06-13,23.13,23.13,23.13,23.13,1,100
2014-06-17,23.24,23.24,23.2,23.2,5,600
2014-06-18,23.2,23.18,23.18,23.2,2,200
2014-06-19,23.47,23.47,23.21,23.21,7,735
2014-06-20,23.331,23.331,23.331,23.331,1,100
2014-06-23,24.16,24.16,23.44,23.44,13,1697
2014-06-24,23.7,23.6,23.6,23.6,5,1500
2014-06-25,23.6,23.6,23.6,23.6,3,300
2014-06-27,23.6,23.6,23.6,23.6,3,423
2014-06-30,23.65,23.65,23.65,23.65,2,515
2014-07-01,23.25,23.25,23.25,23.25,3,258
2014-07-02,23.35,23.1,23.1,23.35,8,900
2014-07-03,23.2,23.15,23.1,23.1,12,1999
2014-07-07,23.5,23.5,23.05,23.1,14,1581
2014-07-08,23.53,23.53,23.53,23.53,1,100
2014-07-09,23.55,23.55,23.55,23.55,1,100
2014-07-10,23.45,23.45,23.45,23.45,6,432
2014-07-11,,,,,2,100
2014-07-14,23.58,23.58,23.53,23.58,4,400
2014-07-15,23.62,23.6,23.58,23.59,41,29600
2014-07-16,23.6,23.6,23.6,23.6,1,100
2014-07-21,23.4,23.4,23.4,23.4,1,100
2014-07-24,23.5,23.5,23.5,23.5,1,300
2014-08-01,23.38,23.38,23.0,23.0,4,400
2014-08-04,23.38,23.38,23.38,23.38,1,100
2014-08-05,23.6,23.5,23.4,23.4,5,600
2014-08-07,23.35,23.35,23.35,23.35,4,350
2014-08-08,23.5,23.3,23.3,23.47,9,1200
2014-08-11,23.45,23.45,23.4,23.4,2,200
2014-08-13,23.4,23.4,23.4,23.4,1,100
2014-08-15,23.6,23.43,23.43,23.6,5,783
2014-08-18,23.5,23.5,23.499,23.499,2,200
2014-08-19,23.6,23.6,23.599,23.599,2,1000
2014-08-20,23.6,23.6,23.6,23.6,1,280
2014-08-21,23.59,23.59,23.59,23.59,1,220
2014-08-22,23.5,23.5,23.5,23.5,3,180
2014-08-25,23.86,23.86,23.6,23.6,3,411
2014-08-26,23.6,23.55,23.55,23.6,4,1400
2014-09-02,23.58,23.58,23.53,23.53,7,700
2014-09-03,23.6,23.6,23.58,23.58,4,2052
2014-09-04,23.6,23.57,23.57,23.59,5,740
2014-09-05,23.57,23.57,23.57,23.57,1,100
2014-09-08,23.57,23.52,23.52,23.57,3,505
2014-09-09,23.6,23.55,23.51,23.51,11,1167
2014-09-12,23.6,23.5,23.5,23.6,3,550
2014-09-15,23.56,23.56,23.56,23.56,1,100
2014-09-16,23.6,23.6,23.6,23.6,5,1723
2014-09-18,,,,,2,40
2014-09-19,23.57,23.57,23.54,23.54,4,638
2014-09-22,23.59,23.59,23.59,23.59,5,347
2014-09-23,23.6,23.6,23.58,23.6,7,2526
2014-09-24,23.6,23.6,23.55,23.6,13,5841
2014-09-25,23.6,23.6,23.6,23.6,10,1941
2014-09-26,23.47,23.47,23.16,23.17,13,1256
2014-09-29,23.49,23.49,23.49,23.49,2,255
2014-09-30,23.6,23.6,23.58,23.58,22,2831
2014-10-01,23.46,23.46,23.46,23.46,1,100
2014-10-02,23.24,23.24,23.12,23.19,6,860
2014-10-03,23.16,23.13,23.13,23.16,6,700
2014-10-06,23.15,23.13,23.13,23.15,4,1100
2014-10-07,23.22,23.22,23.22,23.22,2,300
2014-10-08,23.25,23.2,23.2,23.25,2,200
2014-10-09,23.171,23.171,23.171,23.171,1,400
2014-10-10,23.16,23.16,23.16,23.16,1,100
2014-10-13,23.19,23.101,23.1,23.13,7,1300
2014-10-14,23.05,23.0,23.0,23.05,2,900
2014-10-15,22.87,22.85,22.85,22.87,3,500
2014-10-17,22.97,22.97,22.97,22.97,1,100
2014-10-20,22.85,22.85,22.85,22.85,2,450
2014-10-21,22.93,22.93,22.8,22.81,4,740
2014-10-24,22.95,22.95,22.95,22.95,1,100
2014-10-28,22.99,22.99,22.99,22.99,1,100
2014-10-29,23.0,23.0,23.0,23.0,1,100
2014-11-03,23.02,23.0,22.99,23.01,10,896
2014-11-04,23.22,23.1,22.95,23.22,7,1060
2014-11-06,22.97,22.95,22.95,22.97,2,669
2014-11-07,23.0,23.0,23.0,23.0,1,100
2014-11-10,23.001,22.97,22.97,23.0,10,6880
