Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-07-05,25.55,25.43,25.31,25.45,46,16335
2019-07-08,25.55,25.5,25.34,25.45,75,33479
2019-07-09,25.82,25.82,25.45,25.54,227,72082
2019-07-10,26.03,25.8,25.73,25.83,102,35895
2019-07-11,25.98,25.97,25.84,25.87,240,71589
2019-07-12,26.14,26.14,25.97,25.99,106,22635
2019-07-15,26.07,26.03,25.93,26.04,78,26708
2019-07-16,26.02,25.98,25.95,26.02,154,23916
2019-07-17,26.19,26.16,25.98,25.98,140,32734
2019-07-18,26.16,26.14,26.1,26.16,27,5910
2019-07-19,26.18,26.13,26.03,26.18,36,14501
2019-07-22,26.22,26.2,26.08,26.13,63,14262
2019-07-23,26.26,26.2,26.12,26.23,48,7006
2019-07-24,26.3,26.23,26.12,26.12,225,17370
2019-07-25,26.34,26.09,26.08,26.23,70,17078
2019-07-26,26.21,26.14,26.02,26.19,76,12670
2019-07-29,26.2,26.2,26.05,26.14,363,26010
2019-07-30,26.33,26.28,26.11,26.11,178,28368
2019-07-31,26.55,26.55,26.27,26.275,300,332698
2019-08-01,26.5,26.4,26.31,26.4,77,17268
2019-08-02,26.48,26.44,26.32,26.32,32,4643
2019-08-05,26.49,26.39,26.2,26.35,36,14854
2019-08-06,26.5,26.5,26.41,26.5,6,1748
2019-08-07,26.5,26.23,26.17,26.5,41,9959
2019-08-08,26.48,26.2,25.8,26.33,442,129016
2019-08-09,26.3,26.2,26.11,26.26,45,12041
2019-08-12,26.25,26.15,26.11,26.25,18,3100
2019-08-13,26.26,26.2,26.09,26.15,67,16379
2019-08-14,26.2,26.17,26.03,26.13,59,8706
2019-08-15,26.17,26.07,26.0,26.14,122,23281
2019-08-16,26.09,26.02,25.97,26.09,37,9943
2019-08-19,26.12,26.04,26.03,26.08,70,11683
2019-08-20,26.23,26.15,26.09,26.09,116,4720
2019-08-21,26.17,26.16,26.11,26.11,221,2379
2019-08-22,26.16,26.16,26.06,26.06,13,1867
2019-08-23,26.11,26.01,26.01,26.1,31,9928
2019-08-26,26.09,26.06,25.91,26.08,61,13627
2019-08-27,26.1,26.08,26.03,26.07,31,4855
2019-08-28,26.14,26.14,26.02,26.08,43,5883
2019-08-29,26.21,26.12,26.07,26.14,74,14024
2019-08-30,26.44,26.44,26.1,26.1,96,90913
2019-09-03,26.6,26.39,26.34,26.34,53,11919
2019-09-04,26.39,26.29,26.25,26.39,15,3982
2019-09-05,26.32,26.21,26.08,26.27,42,8719
2019-09-06,26.22,26.19,26.1,26.1,14,2164
2019-09-09,26.2,26.07,25.97,26.16,119,12086
2019-09-10,26.04,25.99,25.91,25.99,121,20313
2019-09-11,25.945,25.93,25.83,25.87,99,18436
2019-09-12,26.04,25.94,25.86,25.98,49,10373
2019-09-13,26.19,26.19,25.81,25.95,64,15561
2019-09-16,26.16,26.09,25.97,25.97,13,1267
2019-09-17,26.29,26.29,26.09,26.1,11,1832
2019-09-18,26.22,26.22,26.13,26.2,25,1725
2019-09-19,26.27,26.18,26.12,26.25,47,8169
2019-09-20,26.24,26.18,26.11,26.24,50,4328
2019-09-23,26.28,26.28,26.14,26.14,44,5234
2019-09-24,26.31,26.24,26.17,26.29,36,3080
2019-09-25,26.25,26.12,26.08,26.25,58,12415
2019-09-26,26.19,26.14,26.07,26.19,38,2691
2019-09-27,26.26,26.25,26.14,26.14,37,4027
2019-09-30,26.31,26.31,26.19,26.19,103,59499
2019-10-01,26.34,26.25,26.25,26.29,30,5762
2019-10-02,26.23,26.15,26.02,26.23,59,6637
