Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-12-09,10.005,10.0,9.98,10.0,203,2835968
2021-12-10,10.0,10.0,9.95,10.0,18,259199
2021-12-13,10.0,10.0,10.0,10.0,7,8918
2021-12-14,10.01,10.0,9.98,10.01,6,9000
2021-12-15,10.0,10.0,9.98,9.98,8,4266
2021-12-16,9.98,9.98,9.98,9.98,3,600
2021-12-17,9.98,9.95,9.95,9.98,17,3214
2021-12-20,10.0,10.0,9.95,9.95,3,400
2021-12-21,9.97,9.97,9.96,9.97,6,4950
2021-12-22,9.97,9.97,9.96,9.96,3,8276
2021-12-23,9.98,9.97,9.95,9.97,39,11082
2021-12-27,10.05,9.975,9.975,10.05,2,400
2021-12-28,9.98,9.98,9.98,9.98,,
2021-12-29,9.98,9.95,9.95,9.98,4,784
2021-12-30,9.96,9.96,9.96,9.96,,
2021-12-31,9.96,9.96,9.96,9.96,4,5891
2022-01-03,9.95,9.95,9.95,9.95,1,771
2022-01-04,10.05,10.0,10.0,10.05,1,84
2022-01-05,10.0,9.99,9.99,10.0,2,1654
2022-01-06,9.99,9.99,9.985,9.99,6,605
2022-01-07,9.99,9.99,9.99,9.99,2,200
2022-01-10,10.0,9.99,9.99,10.0,4,611
2022-01-11,9.99,9.9875,9.9875,9.99,2,308
2022-01-12,10.03,10.01,9.99,9.99,8,1139
2022-01-13,,,,,1,38
2022-01-14,9.96,9.96,9.96,9.96,,
2022-01-18,,,,,2,38
2022-01-19,9.97,9.97,9.97,9.97,1,676
2022-01-20,9.96,9.96,9.96,9.96,5,3694
2022-01-21,9.95,9.95,9.93,9.93,4,361
2022-01-24,9.97,9.97,9.93,9.94,14,1327
2022-01-25,9.99,9.99,9.99,9.99,,
2022-01-26,9.96,9.96,9.96,9.99,1,39
2022-01-27,9.97,9.97,9.97,9.97,1,100
2022-01-28,9.97,9.77,9.77,9.97,2,799
2022-01-31,10.0,9.98,9.96,9.96,6,1000
2022-02-01,10.03,9.99,9.98,10.03,9,262
2022-02-02,9.955,9.955,9.955,9.955,,
2022-02-03,9.97,9.97,9.86,9.86,3,300
2022-02-04,10.04,9.94,9.94,10.04,1,81
2022-02-07,9.9801,9.9801,9.9801,9.9801,,
2022-02-08,9.965,9.965,9.965,9.965,1,53
2022-02-09,10.0,10.0,9.96,9.98,15,3820
2022-02-10,10.0,10.0,10.0,10.0,,
2022-02-14,10.05,9.95,9.95,10.04,9,2301
