Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-10-10,25.0,24.98,24.95,25.0,117,73534
2016-10-11,25.0,24.91,24.8,25.0,107,107095
2016-10-12,25.05,25.04,24.9,24.92,151,112960
2016-10-13,25.0,24.76,24.75,25.0,125,50336
2016-10-14,24.92,24.92,24.77,24.8,94,36570
2016-10-17,24.99,24.95,24.91,24.99,16,3602
2016-10-18,25.0,24.99,24.85,24.86,36,48238
2016-10-19,25.0,25.0,24.86,24.92,55,18599
2016-10-20,25.02,24.951,24.951,25.02,9,2900
2016-10-21,25.0,25.0,24.99,25.0,13,11478
2016-10-24,25.0,24.9,24.9,25.0,46,24043
2016-10-25,24.98,24.95,24.85,24.98,40,29903
2016-10-26,24.95,24.85,24.81,24.95,28,7670
2016-10-27,24.85,24.55,24.55,24.85,24,16776
2016-10-28,24.99,24.9,24.65,24.65,21,5890
2016-10-31,25.0,24.65,24.55,25.0,36,13157
2016-11-01,25.0,24.7,24.5,25.0,22,6775
2016-11-02,24.74,24.36,24.12,24.74,38,10035
2016-11-03,24.6,24.25,24.03,24.6,41,8804
2016-11-04,24.8,24.5,24.45,24.8,18,6368
2016-11-07,24.83,24.45,24.28,24.83,28,6885
2016-11-08,24.45,24.06,24.06,24.45,32,5745
2016-11-09,24.121,23.71,23.05,24.121,100,46428
2016-11-10,23.71,23.1,23.0,23.71,71,17919
2016-11-11,23.93,23.52,23.3,23.3,10,5301
2016-11-14,23.35,23.06,23.04,23.32,29,6352
2016-11-15,23.75,23.75,23.07,23.07,54,21872
2016-11-16,23.87,23.48,23.47,23.64,52,10546
2016-11-17,23.72,23.72,23.4,23.51,22,6933
2016-11-18,24.0,24.0,23.8,23.9,15,2970
2016-11-21,24.001,23.8,23.76,24.001,23,5879
2016-11-22,24.0,23.76,23.75,24.0,15,4475
2016-11-23,24.14,23.8,23.62,24.0,15,1847
2016-11-25,23.8,23.76,23.76,23.8,4,1265
2016-11-28,23.97,23.77,23.68,23.97,16,3449
2016-11-29,23.979,23.97,23.91,23.979,17,4057
2016-11-30,24.0,23.84,23.72,23.97,27,12155
2016-12-01,23.82,23.8,23.74,23.82,24,5900
2016-12-02,23.85,23.81,23.67,23.73,11,4400
2016-12-05,23.81,23.69,23.67,23.71,22,6231
2016-12-06,24.0,23.85,23.8,23.8,16,4285
2016-12-07,24.0,23.85,23.79,24.0,16,4918
2016-12-08,23.88,23.81,23.81,23.85,7,3815
2016-12-09,23.82,23.65,23.65,23.77,23,7410
2016-12-12,23.63,22.73,22.66,23.63,129,44616
2016-12-13,22.92,22.84,22.67,22.72,29,5871
2016-12-14,22.95,22.95,22.8,22.85,14,1700
2016-12-15,22.94,22.77,22.71,22.93,40,6915
2016-12-16,23.25,23.24,22.79,22.95,110,21183
2016-12-19,23.45,23.43,23.2,23.23,116,32174
2016-12-20,23.64,23.64,23.31,23.42,67,14761
2016-12-21,23.64,23.61,23.4,23.53,71,15036
2016-12-22,23.91,23.88,23.61,23.61,36,7271
2016-12-23,24.0,23.9,23.8,23.96,97,33665
2016-12-27,24.1,24.03,23.77,23.8,49,12630
2016-12-28,23.85,23.64,23.34,23.74,55,8728
2016-12-29,23.71,23.46,23.42,23.42,111,15260
2016-12-30,23.69,23.48,23.46,23.69,89,15948
2017-01-03,24.15,23.89,23.61,23.65,59,20061
2017-01-04,24.38,24.38,23.9,23.9,85,14440
2017-01-05,24.41,24.36,23.92,24.26,51,6878
2017-01-06,24.73,24.7,24.4,24.49,77,15600
2017-01-09,24.95,24.85,24.62,24.74,158,35672
2017-01-10,24.88,24.88,24.7,24.73,124,26642
2017-01-11,24.89,24.84,24.68,24.7,85,28860
2017-01-12,24.97,24.97,24.78,24.78,68,14627
2017-01-13,24.96,24.9,24.89,24.96,81,33618
2017-01-17,24.99,24.94,24.87,24.95,95,20113
2017-01-18,24.98,24.95,24.9,24.91,62,20192
2017-01-19,24.97,24.9,24.82,24.87,101,22335
2017-01-20,25.38,25.38,24.87,24.89,187,449261
2017-01-23,25.44,25.27,25.16,25.3,360,92772
2017-01-24,25.42,25.41,25.21,25.22,87,67641
2017-01-25,25.41,25.03,25.03,25.41,35,9082
2017-01-26,25.25,25.02,24.89,25.2,81,8992
2017-01-27,25.15,25.1,24.96,25.12,86,12153
2017-01-30,25.07,24.96,24.9,25.07,53,10100
2017-01-31,24.92,24.89,24.7,24.92,96,11079
2017-02-01,24.97,24.97,24.82,24.88,24,3404
2017-02-02,24.97,24.96,24.88,24.97,19,3237
2017-02-03,25.14,24.97,24.95,25.0,53,8476
2017-02-06,25.08,25.0,24.99,25.0,44,6757
2017-02-07,25.04,25.02,24.99,25.0,85,13756
2017-02-08,25.02,24.89,24.78,25.02,77,7976
2017-02-09,24.94,24.93,24.79,24.87,68,8379
2017-02-10,25.2,25.11,24.91,24.94,61,14502
2017-02-13,25.3,25.06,25.0,25.21,82,10819
2017-02-14,25.11,24.9,24.9,25.11,32,7174
2017-02-15,25.0,25.0,24.8,24.87,81,13858
2017-02-16,25.01,25.0,24.99,25.0,18,1701
2017-02-17,25.119,25.0,24.88,25.04,37,12153
2017-02-21,25.09,25.0,25.0,25.0,18,7300
2017-02-22,25.3,25.3,25.02,25.02,37,11740
2017-02-23,25.319,25.27,25.13,25.3,62,11726
2017-02-24,25.24,25.21,25.1,25.24,26,6525
2017-02-27,25.13,25.13,25.08,25.1,51,5502
2017-02-28,25.1,24.99,24.99,25.1,28,4438
2017-03-01,25.18,25.18,24.8,24.91,30,9845
2017-03-02,25.1,25.1,25.1,25.1,7,9800
2017-03-03,25.101,25.0,25.0,25.101,236,22858
2017-03-06,25.15,25.15,25.0,25.0,18,6134
2017-03-07,25.2,25.03,25.0,25.2,25,9962
2017-03-08,25.15,25.1,25.041,25.05,50,6685
2017-03-09,25.08,25.0,25.0,25.02,22,6920
2017-03-10,25.129,25.129,25.0,25.05,15,6308
2017-03-13,25.12,25.12,25.1,25.12,11,6058
2017-03-14,25.2,25.19,25.06,25.2,17,5018
2017-03-15,25.45,25.4,25.0,25.11,69,31844
2017-03-16,25.45,25.45,25.25,25.45,21,7253
2017-03-17,25.4,25.2,25.199,25.4,16,3191
2017-03-20,25.35,25.3,25.16,25.2,46,16180
2017-03-21,25.36,25.25,25.25,25.26,29,7349
2017-03-22,25.39,25.39,25.25,25.26,9,2733
2017-03-23,25.39,25.34,25.25,25.39,17,3188
2017-03-24,25.55,25.49,25.22,25.44,35,7021
2017-03-27,25.6,25.55,25.45,25.49,26,4687
2017-03-28,25.48,25.39,25.17,25.47,80,15989
2017-03-29,25.18,25.06,24.94,25.0,63,14811
2017-03-30,25.18,25.13,25.0,25.14,39,9041
2017-03-31,25.2,25.11,25.07,25.2,17,1628
2017-04-03,25.19,25.18,25.15,25.15,26,5168
2017-04-04,25.25,25.03,25.02,25.25,60,12186
2017-04-05,25.18,25.08,25.06,25.16,54,9239
2017-04-06,25.34,25.24,25.13,25.2,29,7250
2017-04-07,25.19,25.1,25.1,25.19,22,3222
2017-04-10,25.2,25.2,25.13,25.2,29,8182
2017-04-11,25.38,25.3,25.25,25.3,9,1405
2017-04-12,25.3,25.3,25.2,25.28,23,9132
2017-04-13,25.24,25.14,25.14,25.22,15,5203
2017-04-17,25.24,25.24,25.15,25.15,24,4500
2017-04-18,25.28,25.28,25.19,25.22,32,3906
2017-04-19,25.25,25.18,25.18,25.25,12,3802
2017-04-20,25.29,25.29,25.22,25.22,13,2665
2017-04-21,25.35,25.35,25.21,25.3,19,2712
2017-04-24,25.4,25.27,25.26,25.4,20,3315
