Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,54.63,54.63,52.67,53.87,1908,471784
2013-01-03,56.51,54.95,54.15,54.41,1273,258601
2013-01-04,55.19,54.82,54.33,55.02,873,187971
2013-01-07,55.03,54.77,53.75,54.34,685,141259
2013-01-08,55.08,54.87,53.95,54.5,429,101420
2013-01-09,55.15,53.77,53.15,55.07,667,190526
2013-01-10,55.3,55.3,53.9,54.5,941,199449
2013-01-11,55.69,55.59,54.55,55.41,675,122715
2013-01-14,56.39,54.36,54.16,55.37,891,393403
2013-01-15,55.5,55.47,53.9,53.94,441,82448
2013-01-16,56.13,55.66,55.3,55.47,1088,228819
2013-01-17,56.95,56.57,55.51,56.01,1051,176485
2013-01-18,56.93,56.92,56.06,56.45,568,116571
2013-01-22,59.2,59.12,56.7,56.92,694,112913
2013-01-23,59.18,57.24,57.15,58.88,921,183866
2013-01-24,58.36,57.3,56.73,57.31,547,80835
2013-01-25,58.75,58.24,57.85,57.85,831,131256
2013-01-28,58.32,57.09,56.41,58.32,787,112883
2013-01-29,58.57,58.55,57.28,57.33,485,81384
2013-01-30,60.21,58.99,58.23,58.81,1026,167885
2013-01-31,58.95,58.16,57.69,58.58,748,133024
2013-02-01,58.74,58.29,57.61,58.74,410,73526
2013-02-04,57.8,56.99,56.56,57.8,614,170780
2013-02-05,58.53,58.0,57.42,57.74,732,119192
2013-02-06,59.14,59.05,57.55,57.6,820,112340
2013-02-07,59.02,58.22,57.67,59.02,499,81435
2013-02-08,59.61,59.2,58.33,58.41,448,91176
2013-02-11,59.51,58.27,57.84,59.38,391,85628
2013-02-12,59.53,59.52,57.49,58.31,609,109172
2013-02-13,60.41,60.0,59.57,59.57,701,137047
2013-02-14,59.95,59.03,58.85,59.75,550,98271
2013-02-15,59.04,58.24,57.16,58.96,656,112125
2013-02-19,59.73,59.73,58.29,58.81,705,123915
2013-02-20,59.62,58.32,57.89,59.62,1261,181774
2013-02-21,61.65,61.07,59.69,60.5,3540,586796
2013-02-22,61.99,61.78,60.81,61.99,2279,399451
2013-02-25,61.75,58.53,58.53,61.0,1844,300834
2013-02-26,59.25,57.91,56.59,58.93,1362,222810
2013-02-27,59.29,59.03,57.57,57.76,908,149785
2013-02-28,59.22,57.88,57.85,59.0,850,142518
2013-03-01,57.16,56.4,56.06,57.16,1315,238076
2013-03-04,56.79,56.2,54.98,56.14,1103,250694
2013-03-05,57.33,56.91,56.49,57.01,644,101294
2013-03-06,57.12,57.06,55.95,57.12,1637,235041
2013-03-07,59.47,59.26,57.06,57.06,899,151273
2013-03-08,59.71,58.88,58.32,59.67,738,133103
2013-03-11,58.72,58.01,57.63,58.72,758,133175
2013-03-12,58.31,57.12,56.22,58.15,1518,270633
2013-03-13,58.11,56.61,56.52,57.3,1206,187041
2013-03-14,59.39,59.04,56.85,57.07,1426,244401
2013-03-15,59.66,58.72,57.69,59.06,1446,596518
2013-03-18,59.18,58.79,57.99,58.01,1005,171229
2013-03-19,58.99,57.76,57.0,58.93,797,119907
