Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,13.21,13.2,13.03,13.05,80,21917
2013-01-03,13.17,13.12,13.1,13.13,90,21262
2013-01-04,13.33,13.33,13.14,13.14,42,12157
2013-01-07,13.35,13.29,13.27,13.27,72,15572
2013-01-08,13.31,13.29,13.25,13.25,27,13736
2013-01-09,13.34,13.31,13.27,13.27,67,18681
2013-01-10,13.4,13.38,13.32,13.32,61,14137
2013-01-11,13.52,13.52,13.35,13.37,107,36924
2013-01-14,13.51,13.47,13.43,13.45,73,18196
2013-01-15,13.48,13.48,13.39,13.41,34,18889
2013-01-16,13.55,13.55,13.45,13.45,45,17065
2013-01-17,13.66,13.57,13.57,13.63,58,16015
2013-01-18,13.62,13.58,13.54,13.56,55,14147
2013-01-22,13.71,13.66,13.62,13.62,79,14074
2013-01-23,13.72,13.64,13.63,13.66,94,18849
2013-01-24,13.72,13.69,13.63,13.64,69,11005
2013-01-25,13.72,13.68,13.64,13.72,53,11358
2013-01-28,13.72,13.6,13.6,13.72,78,13200
2013-01-29,13.63,13.61,13.57,13.59,105,18306
2013-01-30,13.65,13.55,13.55,13.63,52,13850
2013-01-31,13.69,13.66,13.55,13.55,119,44300
2013-02-01,13.71,13.6,13.6,13.69,63,22709
2013-02-04,13.59,13.45,13.45,13.55,91,14212
2013-02-05,13.67,13.65,13.51,13.51,68,16198
2013-02-06,13.68,13.66,13.59,13.6,36,10523
2013-02-07,13.73,13.73,13.6,13.69,47,9357
2013-02-08,13.74,13.7,13.7,13.7,31,8458
2013-02-11,13.7,13.61,13.59,13.67,54,15203
2013-02-12,13.75,13.73,13.57,13.57,94,21268
2013-02-13,13.77,13.7,13.69,13.73,29,13511
2013-02-14,13.73,13.71,13.62,13.65,63,12716
2013-02-15,13.77,13.74,13.65,13.77,30,6505
2013-02-19,13.84,13.79,13.74,13.78,54,13699
2013-02-20,13.79,13.65,13.61,13.78,48,16374
2013-02-21,13.67,13.59,13.57,13.62,83,14690
2013-02-22,13.71,13.71,13.57,13.66,42,10836
2013-02-25,13.74,13.61,13.61,13.71,34,12846
