Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,16.61,16.6,16.09,16.09,847,159616
2013-01-03,16.75,16.73,16.53,16.59,731,137438
2013-01-04,16.99,16.85,16.57,16.81,392,91828
2013-01-07,16.96,16.93,16.71,16.74,377,78401
2013-01-08,17.0,16.82,16.7,16.87,260,55015
2013-01-09,16.94,16.81,16.79,16.91,192,43922
2013-01-10,16.95,16.7,16.6,16.91,223,37017
2013-01-11,17.05,16.98,16.77,16.77,295,58499
2013-01-14,17.03,16.92,16.84,16.9,285,92428
2013-01-15,17.32,17.29,16.82,16.82,234,46504
2013-01-16,17.18,16.91,16.86,17.18,125,57783
2013-01-17,17.1,17.02,16.94,16.94,146,33706
2013-01-18,17.01,17.01,16.32,16.92,356,100735
2013-01-22,17.06,17.06,16.75,16.97,251,68127
2013-01-23,17.12,16.98,16.93,17.01,183,91284
2013-01-24,17.45,17.3,17.01,17.01,376,73988
2013-01-25,17.39,17.11,16.98,17.39,390,81165
2013-01-28,17.2,17.01,16.87,17.09,779,161118
2013-01-29,17.21,17.1,16.96,17.0,428,88538
2013-01-30,17.42,17.21,17.06,17.1,433,86834
2013-01-31,17.34,17.19,17.01,17.15,370,124789
2013-02-01,17.52,17.4,17.18,17.25,393,68837
2013-02-04,17.38,17.16,17.06,17.28,450,110826
2013-02-05,17.38,16.85,16.8,17.21,841,168808
2013-02-06,18.88,18.3,16.85,16.85,1810,393289
2013-02-07,18.53,18.25,18.15,18.3,871,187976
2013-02-08,18.49,18.41,18.16,18.25,547,109480
2013-02-11,18.4,18.38,18.1,18.35,412,79500
2013-02-12,18.56,18.5,18.36,18.36,430,82037
2013-02-13,18.6,18.6,18.44,18.5,417,81164
2013-02-14,18.81,18.61,18.53,18.53,416,80335
2013-02-15,18.9,18.66,18.52,18.71,408,106060
2013-02-19,19.41,19.2,18.66,18.66,656,127134
2013-02-20,19.24,18.95,18.92,19.14,600,130244
2013-02-21,18.92,18.64,18.55,18.92,318,56127
2013-02-22,18.94,18.93,18.72,18.82,313,74557
2013-02-25,19.05,18.75,18.69,18.96,827,147363
2013-02-26,18.97,18.75,18.68,18.89,517,92704
2013-02-27,19.3,19.2,18.71,18.71,454,94303
2013-02-28,19.45,19.39,19.17,19.17,615,114693
2013-03-01,19.78,19.78,19.04,19.3,920,191507
2013-03-04,20.0,19.75,19.55,19.75,659,144326
2013-03-05,20.13,19.95,19.81,19.81,424,95062
2013-03-06,20.51,20.41,19.86,20.06,431,77325
2013-03-07,20.62,20.56,20.38,20.38,330,63616
2013-03-08,20.87,20.78,20.57,20.76,312,64076
2013-03-11,21.0,21.0,20.74,20.76,380,76145
2013-03-12,21.06,20.92,20.8,20.93,260,50092
2013-03-13,20.96,20.89,20.64,20.87,532,90253
2013-03-14,21.12,21.06,20.91,20.96,360,70723
2013-03-15,21.35,21.24,21.02,21.09,433,181086
2013-03-18,21.11,20.99,20.9,21.09,319,74433
2013-03-19,21.23,21.17,21.0,21.02,288,59122
2013-03-20,21.4,21.28,21.14,21.25,239,46425
2013-03-21,21.28,21.09,21.02,21.15,307,75100
2013-03-22,21.21,21.12,20.99,21.1,363,64654
2013-03-25,21.35,21.16,21.03,21.12,363,74117
2013-03-26,21.43,21.25,21.17,21.27,271,49307
2013-03-27,21.18,21.1,21.04,21.08,475,100456
2013-03-28,21.3,21.14,21.08,21.17,362,87916
2013-04-01,21.15,21.0,20.9,21.15,483,79543
2013-04-02,21.26,20.78,20.77,21.13,534,78250
2013-04-03,20.81,20.48,20.44,20.76,691,110743
