Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,19.99,19.98,19.61,19.79,1509,723042
2013-01-03,20.49,20.35,19.84,19.92,1754,899086
2013-01-04,20.43,20.34,20.15,20.33,1444,813872
2013-01-07,20.29,20.22,20.03,20.22,1385,653124
2013-01-08,20.39,20.32,20.13,20.25,1872,895322
2013-01-09,20.32,20.28,20.07,20.31,1787,1758583
2013-01-10,20.37,20.16,20.11,20.36,1987,636082
2013-01-11,20.33,20.32,20.01,20.19,1098,627266
2013-01-14,20.49,20.45,20.2,20.36,1063,415856
2013-01-15,20.44,20.41,20.22,20.36,795,353430
2013-01-16,20.53,20.46,20.33,20.33,784,348611
2013-01-17,21.44,21.23,20.5,20.51,2897,1450597
2013-01-18,22.09,21.85,21.54,21.59,3166,2165328
2013-01-22,22.17,22.15,21.79,21.8,2547,1286138
2013-01-23,22.36,22.27,21.89,22.08,2125,1049703
2013-01-24,22.4,22.3,22.15,22.24,1394,647629
2013-01-25,22.49,22.44,22.26,22.31,1169,664004
2013-01-28,22.5,22.26,22.25,22.45,1579,678934
2013-01-29,22.85,22.5,22.48,22.81,3544,1494338
2013-01-30,22.58,22.21,22.08,22.46,1999,1166933
2013-01-31,22.42,22.12,22.08,22.15,1983,1295555
2013-02-01,23.0,22.8,22.65,22.99,3490,1511327
2013-02-04,23.12,22.83,22.4,22.42,2865,1459521
2013-02-05,23.15,23.06,22.89,22.9,1702,892186
2013-02-06,23.45,23.39,22.99,23.0,2078,975750
2013-02-07,23.89,23.77,23.41,23.47,3195,1518378
2013-02-08,23.8,23.78,23.59,23.73,1712,964160
2013-02-11,23.76,23.64,23.47,23.69,1131,613991
2013-02-12,23.74,23.51,23.43,23.71,1549,1060740
2013-02-13,23.92,23.86,23.52,23.52,1547,785359
2013-02-14,24.23,24.22,23.78,23.86,1790,876325
2013-02-15,24.22,24.01,23.92,24.12,1933,977204
2013-02-19,24.31,24.13,23.89,24.1,1499,659515
2013-02-20,24.13,23.56,23.52,24.08,2166,930684
2013-02-21,23.54,23.4,23.11,23.52,2253,959641
2013-02-22,23.93,23.8,23.42,23.51,1967,765129
2013-02-25,23.9,23.26,23.23,23.86,2472,1142785
2013-02-26,22.68,22.4,21.79,22.46,6925,3072933
2013-02-27,22.7,22.54,22.4,22.46,2457,1056486
2013-02-28,22.88,22.67,22.45,22.62,2297,1422170
2013-03-01,23.362,23.18,22.62,22.67,2271,1200114
2013-03-04,23.43,23.21,23.05,23.1,1780,702914
2013-03-05,23.57,23.33,23.12,23.38,1766,883782
2013-03-06,23.68,23.57,23.35,23.44,1590,698848
2013-03-07,24.12,23.77,23.65,23.71,1999,894594
