Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,36.45,36.1,35.43,35.92,347,44412
2013-01-03,36.86,36.71,36.0,36.01,317,48387
2013-01-04,37.09,36.96,36.71,36.71,259,41510
2013-01-07,37.12,36.89,36.68,36.83,197,26651
2013-01-08,36.85,36.03,36.01,36.77,276,37963
2013-01-09,36.55,36.19,36.09,36.12,240,29886
2013-01-10,36.54,36.41,36.26,36.26,129,16476
2013-01-11,36.63,35.91,35.55,36.63,244,30004
2013-01-14,36.0,35.42,35.14,35.95,269,33316
2013-01-15,35.56,35.4,35.04,35.34,186,23772
2013-01-16,35.29,35.12,35.04,35.23,199,24941
2013-01-17,35.25,34.99,34.78,35.25,315,38309
2013-01-18,36.02,35.8,34.69,35.1,225,28331
2013-01-22,35.96,35.71,35.52,35.73,237,32372
2013-01-23,36.8,36.44,35.81,35.88,345,41684
2013-01-24,36.6,36.39,36.13,36.48,215,26973
2013-01-25,37.01,37.01,36.41,36.54,387,50058
2013-01-28,37.19,36.96,36.61,36.96,299,37501
2013-01-29,37.44,37.34,36.84,36.84,316,45236
2013-01-30,37.34,37.02,36.87,37.21,169,23224
2013-01-31,38.24,38.04,37.02,37.04,425,68768
2013-02-01,38.47,38.32,38.12,38.2,364,45674
2013-02-04,38.3,38.22,38.02,38.02,442,59250
2013-02-05,38.69,38.5,38.25,38.29,430,53048
2013-02-06,38.74,38.72,38.38,38.46,369,46169
2013-02-07,39.12,38.84,38.66,38.66,390,47764
2013-02-08,39.39,39.23,38.81,38.81,303,38997
2013-02-11,39.34,38.94,38.73,39.14,292,35045
2013-02-12,39.58,39.34,38.81,39.04,221,26843
2013-02-13,39.7,39.15,38.99,39.45,386,49716
2013-02-14,39.45,39.15,38.57,38.98,565,70646
2013-02-15,39.47,39.36,39.1,39.2,188,24132
2013-02-19,39.63,38.99,38.86,39.37,393,55124
2013-02-20,39.43,38.68,38.57,38.95,478,62624
2013-02-21,39.57,39.14,38.61,38.62,376,46219
2013-02-22,39.5,39.2,39.1,39.24,238,28160
2013-02-25,39.46,38.69,38.62,39.29,260,34978
2013-02-26,38.86,37.04,36.81,38.86,637,85290
2013-02-27,37.24,36.94,36.43,36.95,653,115833
2013-02-28,37.5,36.79,36.71,36.75,374,75688
2013-03-01,36.75,36.27,35.63,36.75,576,81460
2013-03-04,36.63,36.38,36.17,36.17,252,37547
2013-03-05,36.76,36.45,36.27,36.44,347,43414
2013-03-06,36.63,36.47,36.13,36.62,194,24404
2013-03-07,36.78,36.5,36.33,36.54,264,32157
2013-03-08,36.74,36.63,36.3,36.53,306,39255
2013-03-11,36.84,36.71,36.41,36.59,149,19420
2013-03-12,36.78,36.63,36.53,36.75,132,17895
2013-03-13,36.72,36.46,36.34,36.72,135,17717
2013-03-14,36.77,36.72,36.4,36.48,140,18806
2013-03-15,36.58,36.17,36.02,36.58,338,111339
2013-03-18,36.32,35.95,35.82,35.82,184,23886
2013-03-19,36.09,35.94,35.64,36.02,203,27596
2013-03-20,36.21,35.95,35.82,36.1,155,21824
2013-03-21,35.94,35.5,35.38,35.76,183,24458
2013-03-22,35.76,35.58,35.37,35.37,153,25692
2013-03-25,36.2,36.19,35.4,35.64,277,34908
2013-03-26,36.52,36.05,35.81,36.34,152,18641
2013-03-27,36.22,36.22,35.83,35.83,226,28593
2013-03-28,36.3,36.0,35.91,36.3,195,30717
2013-04-01,36.36,36.34,35.92,36.0,192,22875
2013-04-02,36.64,36.38,36.29,36.35,137,16107
2013-04-03,36.72,36.52,36.22,36.31,239,35286
2013-04-04,36.72,36.41,36.21,36.47,144,19318
2013-04-05,36.53,36.53,35.96,36.08,158,21658
2013-04-08,36.82,36.81,36.3,36.57,92,11056
2013-04-09,36.75,36.38,36.28,36.75,127,17451
2013-04-10,37.33,37.19,36.35,36.38,189,24408
2013-04-11,37.63,37.51,37.26,37.33,151,20332
2013-04-12,37.82,37.74,37.1,37.29,188,23109
2013-04-15,37.59,36.9,36.81,37.44,217,29511
2013-04-16,37.44,37.35,36.82,37.2,125,16563
2013-04-17,37.28,36.92,36.67,37.14,140,18203
2013-04-18,37.6,37.23,37.11,37.11,217,25350
2013-04-19,37.4,37.21,37.07,37.35,131,20979
2013-04-22,37.28,37.17,36.65,37.17,207,44818
2013-04-23,37.29,37.25,36.85,37.19,137,22114
2013-04-24,37.24,37.24,36.86,36.97,129,19152
2013-04-25,38.15,38.13,37.2,37.2,173,26992
2013-04-26,38.19,37.89,37.75,38.0,72,9507
2013-04-29,37.95,37.92,37.66,37.66,79,13885
2013-04-30,38.48,38.44,37.83,37.83,118,24856
2013-05-01,38.5,38.17,38.06,38.25,62,11135
2013-05-02,38.56,38.47,38.03,38.14,95,15045
2013-05-03,38.58,37.38,37.07,38.16,181,23202
2013-05-06,37.87,37.7,37.43,37.45,123,16698
2013-05-07,37.96,37.86,37.43,37.76,81,10810
2013-05-08,38.1,37.96,37.75,38.04,127,24163
2013-05-09,38.32,37.8,37.69,37.75,115,19677
2013-05-10,37.9,37.87,37.44,37.68,101,14917
2013-05-13,37.87,37.75,37.58,37.72,62,9639
2013-05-14,38.07,38.0,37.55,37.64,96,15196
2013-05-15,38.11,38.02,37.65,37.84,65,11047
2013-05-16,38.3,37.81,37.7,38.01,117,18360
2013-05-17,40.36,39.7,37.8,37.88,290,46952
2013-05-20,41.01,40.3,40.16,40.34,276,44596
2013-05-21,41.18,41.16,40.4,40.52,199,30042
2013-05-22,41.33,40.3,40.17,41.33,170,26114
2013-05-23,40.41,40.28,39.62,39.9,62,14490
2013-05-24,40.31,40.23,39.72,39.98,106,14220
2013-05-28,40.87,40.27,40.25,40.37,105,30821
2013-05-29,40.41,39.68,39.62,40.41,164,27632
2013-05-30,40.23,39.62,39.62,39.93,95,13399
2013-05-31,39.97,39.7,39.51,39.6,132,23526
2013-06-03,40.54,40.36,39.72,40.0,205,28348
2013-06-04,40.7,40.25,39.75,40.7,163,24830
2013-06-05,40.31,40.24,39.87,40.18,135,18584
2013-06-06,40.45,40.41,40.05,40.41,243,57014
2013-06-07,34.67,33.48,33.17,34.67,251,43535
2013-06-10,34.39,33.71,33.26,33.35,198,31887
2013-06-11,33.91,33.34,33.34,33.38,147,22510
2013-06-12,33.47,33.24,32.96,33.41,161,24924
2013-06-13,33.82,33.7,33.33,33.33,230,31143
2013-06-14,33.77,33.6,33.37,33.61,98,21360
2013-06-17,33.92,33.49,33.2,33.6,148,25732
2013-06-18,33.84,33.62,33.45,33.45,79,13811
2013-06-19,33.74,33.2,33.12,33.51,162,21281
2013-06-20,33.16,32.72,32.35,33.03,118,21662
2013-06-21,33.21,33.03,32.25,32.75,200,52299
2013-06-24,32.87,32.62,32.45,32.87,319,42836
2013-06-25,33.56,33.47,32.46,32.92,293,58574
2013-06-26,34.12,33.86,33.58,33.78,143,22766
2013-06-27,34.56,34.52,34.07,34.07,117,19536
2013-06-28,36.78,36.69,34.73,34.73,269,76571
2013-07-01,37.4,34.71,34.58,36.69,278,38480
2013-07-02,35.12,34.87,34.45,34.86,224,33017
2013-07-03,34.79,34.64,34.31,34.79,81,38176
2013-07-05,35.08,35.06,34.29,34.77,73,13442
2013-07-08,35.55,35.04,35.01,35.26,96,15846
2013-07-09,35.15,35.0,34.88,35.15,74,10446
2013-07-10,34.98,34.97,34.67,34.85,139,26076
2013-07-11,35.64,35.61,35.14,35.14,105,21466
2013-07-12,35.85,35.81,35.24,35.51,100,19131
2013-07-15,38.94,38.77,37.9,38.03,381,59986
2013-07-16,40.65,39.69,38.92,39.22,430,64498
2013-07-17,39.52,39.26,39.03,39.52,156,24270
2013-07-18,40.18,40.11,39.17,39.41,194,22678
2013-07-19,40.25,40.02,39.62,40.25,111,14932
2013-07-22,41.17,40.97,39.85,40.0,172,26229
2013-07-23,41.24,40.88,40.63,41.24,99,14711
2013-07-24,40.87,40.39,40.33,40.87,149,20238
2013-07-25,40.64,40.25,40.12,40.17,100,15581
2013-07-26,40.15,39.7,39.7,40.11,93,15183
2013-07-29,39.97,39.51,39.37,39.97,136,23079
2013-07-30,39.73,39.37,39.34,39.73,94,13433
2013-07-31,39.74,39.71,39.05,39.2,180,56840
2013-08-01,40.71,40.32,39.54,39.54,164,27785
2013-08-02,40.74,39.94,39.64,40.38,245,36053
2013-08-05,42.53,42.09,39.69,40.07,310,48215
2013-08-06,43.52,42.86,42.12,42.37,359,62671
