Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,14.98,14.88,14.65,14.65,107,51468
2013-01-03,15.02,15.02,14.96,14.99,62,30158
2013-01-04,15.15,15.15,14.97,15.05,56,25009
2013-01-07,15.19,15.16,15.03,15.15,114,38414
2013-01-08,15.23,15.2,15.11,15.19,134,39213
2013-01-09,15.28,15.25,15.16,15.23,35,17631
2013-01-10,15.26,15.22,15.14,15.25,59,21678
2013-01-11,15.27,15.17,15.06,15.27,68,19677
2013-01-14,15.2,15.06,15.06,15.11,22,13183
2013-01-15,15.07,14.86,14.86,15.02,67,40346
2013-01-16,15.01,15.01,14.75,14.83,137,33974
2013-01-17,15.08,15.05,15.02,15.08,64,27895
2013-01-18,15.19,15.11,15.1,15.14,53,42359
2013-01-22,15.11,15.1,15.04,15.04,75,56486
2013-01-23,15.15,15.12,15.06,15.06,77,29082
2013-01-24,15.12,15.08,15.06,15.1,69,50100
2013-01-25,15.15,15.12,15.11,15.12,45,22226
2013-01-28,15.12,14.92,14.92,15.12,97,48445
2013-01-29,14.99,14.82,14.77,14.94,105,29505
2013-01-30,14.87,14.87,14.82,14.82,73,26055
2013-01-31,15.04,14.99,14.94,14.96,136,52861
2013-02-01,15.04,14.98,14.92,14.96,67,64557
2013-02-04,15.0,14.91,14.88,15.0,68,17073
2013-02-05,15.01,15.0,14.91,14.91,47,18754
2013-02-06,15.03,15.0,14.97,15.0,63,19252
2013-02-07,14.98,14.94,14.92,14.98,28,16182
2013-02-08,14.98,14.98,14.9,14.98,61,26347
2013-02-11,14.95,14.9,14.86,14.95,57,24801
2013-02-12,14.95,14.94,14.85,14.93,80,23090
2013-02-13,14.92,14.87,14.87,14.89,57,21453
2013-02-14,14.9,14.75,14.72,14.9,49,33954
2013-02-15,14.8,14.75,14.71,14.72,161,42588
2013-02-19,14.79,14.74,14.64,14.76,74,39437
2013-02-20,14.76,14.76,14.68,14.72,60,19710
2013-02-21,14.8,14.7,14.7,14.77,56,32706
2013-02-22,14.75,14.66,14.6,14.74,110,36271
2013-02-25,14.69,14.45,14.43,14.65,126,47996
2013-02-26,14.56,14.56,14.37,14.45,119,43612
2013-02-27,14.61,14.53,14.41,14.56,111,31290
2013-02-28,14.55,14.5,14.44,14.55,80,36624
2013-03-01,14.54,14.5,14.47,14.54,95,28352
2013-03-04,14.51,14.47,14.44,14.5,101,42526
2013-03-05,14.5,14.5,14.41,14.46,109,44046
2013-03-06,14.55,14.55,14.41,14.49,93,42246
2013-03-07,14.48,14.48,14.42,14.45,112,36970
2013-03-08,14.43,14.31,14.26,14.42,115,50918
2013-03-11,14.25,14.04,14.01,14.19,101,83080
2013-03-12,14.02,13.94,13.85,14.0,239,103661
2013-03-13,13.94,13.9,13.85,13.89,86,57205
