Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-30,24.79,24.7,24.56,24.7,103,57446
2020-11-02,24.93,24.71,24.7,24.93,161,39911
2020-11-03,24.97,24.97,24.8,24.82,186,133485
2020-11-04,25.06,25.01,24.81,24.86,539,105792
2020-11-05,25.15,25.04,25.03,25.08,291,231934
2020-11-06,25.09,24.96,24.92,25.07,144,83719
2020-11-09,25.07,24.99,24.95,25.07,176,60579
2020-11-10,24.98,24.91,24.9,24.98,123,122915
2020-11-11,25.15,25.13,24.93,24.94,278,191775
2020-11-12,25.22,25.09,25.09,25.12,206,130773
2020-11-13,25.19,25.13,25.13,25.15,158,61396
2020-11-16,25.31,25.25,25.14,25.17,368,216886
2020-11-17,25.39,25.32,25.25,25.25,242,94884
2020-11-18,25.47,25.37,25.35,25.35,309,99726
2020-11-19,25.53,25.46,25.39,25.43,232,85020
2020-11-20,25.55,25.47,25.45,25.55,147,55938
2020-11-23,25.6,25.59,25.5,25.5,216,64783
2020-11-24,25.64,25.56,25.55,25.63,269,114333
2020-11-25,25.65,25.6,25.52,25.59,339,171440
2020-11-27,25.555,25.55,25.49,25.53,132,78293
2020-11-30,25.58,25.34,25.34,25.56,629,2587692
2020-12-01,25.44,25.34,25.34,25.4,167,85015
2020-12-02,25.39,25.35,25.22,25.36,172,103324
2020-12-03,25.42,25.39,25.33,25.38,162,35799
2020-12-04,25.49,25.43,25.38,25.42,160,42085
2020-12-07,25.48,25.41,25.35,25.46,166,39464
2020-12-08,25.53,25.48,25.43,25.45,97,32184
2020-12-09,25.58,25.5,25.48,25.56,99,22444
2020-12-10,25.59,25.51,25.49,25.5,120,38571
2020-12-11,25.55,25.53,25.44,25.44,221,53090
2020-12-14,25.65,25.6,25.5,25.61,220,98520
2020-12-15,25.92,25.81,25.58,25.65,549,173045
2020-12-16,26.06,26.05,25.8,25.89,337,66775
2020-12-17,26.22,26.15,26.05,26.06,178,43218
2020-12-18,26.22,26.18,25.86,26.22,124,32306
2020-12-21,26.42,26.28,26.01,26.1,301,88426
2020-12-22,26.27,26.06,25.9,26.26,209,88408
2020-12-23,26.15,25.96,25.95,26.1,167,70280
2020-12-24,26.08,26.08,25.96,25.96,52,7360
2020-12-28,26.15,26.0,25.98,26.08,77,14627
2020-12-29,26.09,25.97,25.93,26.03,88,14003
2020-12-30,26.1,26.05,26.02,26.07,56,15257
2020-12-31,26.39,26.38,26.07,26.12,179,157336
2021-01-04,26.39,26.05,25.95,26.39,157,55422
2021-01-05,26.08,26.08,25.81,25.86,143,51456
2021-01-06,26.08,25.65,25.38,26.08,233,55425
2021-01-07,25.65,25.6,25.25,25.6,415,117813
