Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-05-25,17.2,16.5,16.0,16.0,6715,4499589
2017-05-26,18.0,17.55,16.5,16.5,1070,361528
2017-05-30,18.0,17.77,17.25,17.46,521,100834
2017-05-31,18.37,18.37,17.56,17.84,428,208933
2017-06-01,18.83,18.08,17.91,18.4,761,271010
2017-06-02,18.38,18.0,17.84,18.38,238,77259
2017-06-05,18.0,17.75,17.27,17.95,337,51407
2017-06-06,17.7,17.15,17.12,17.7,158,27336
2017-06-07,17.15,16.74,16.71,17.11,250,64702
2017-06-08,17.32,17.1,16.61,16.72,123,22325
2017-06-09,17.08,16.91,16.73,17.06,119,15819
2017-06-12,16.98,16.96,16.8,16.84,356,67675
2017-06-13,17.19,17.13,16.601,17.03,149,70640
2017-06-14,17.2,17.14,17.05,17.06,157,26416
2017-06-15,17.18,17.12,16.85,17.03,263,36111
2017-06-16,17.59,17.59,17.09,17.15,331,88793
2017-06-19,17.86,17.83,17.09,17.7,430,72075
2017-06-20,17.83,17.34,17.16,17.83,368,54554
2017-06-21,17.35,17.21,17.01,17.35,268,35829
2017-06-22,17.41,17.15,17.08,17.15,269,35318
2017-06-23,17.46,17.42,17.01,17.09,345,87498
2017-06-26,17.5,17.36,17.03,17.5,343,45567
2017-06-27,17.77,17.49,17.2,17.3,240,36350
2017-06-28,17.49,17.4,17.21,17.43,356,59024
2017-06-29,17.46,17.15,16.69,17.46,209,179054
2017-06-30,17.68,17.4,17.06,17.06,293,55791
2017-07-03,17.87,17.42,17.41,17.48,177,32403
2017-07-05,17.63,17.45,17.19,17.49,389,59577
2017-07-06,17.48,17.39,17.1,17.46,249,35053
2017-07-07,17.49,17.37,17.25,17.49,135,14283
2017-07-10,17.45,17.29,17.09,17.34,159,24452
2017-07-11,17.3,17.09,16.92,17.3,186,40314
2017-07-12,17.24,16.96,16.92,17.24,234,46355
2017-07-13,17.01,17.0,16.69,17.01,351,20408
2017-07-14,17.1,16.8,16.8,17.1,72,12811
2017-07-17,16.92,16.72,16.55,16.88,169,19910
