Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-04-02,24.99,24.85,24.85,24.9,37,31884
2018-04-03,24.9,24.83,24.81,24.9,17,5952
2018-04-04,24.85,24.69,24.51,24.51,30,8684
2018-04-05,24.71,24.43,24.41,24.56,133,32059
2018-04-06,24.48,24.405,24.34,24.42,29,8260
2018-04-09,24.4,24.38,24.31,24.4,26,6713
2018-04-10,24.56,24.51,24.351,24.41,63,28939
2018-04-11,24.5,24.445,24.4,24.4,33,6381
2018-04-12,24.5,24.425,24.18,24.5,28,6559
2018-04-13,24.59,24.56,24.4,24.45,67,22626
2018-04-16,24.59,24.48,24.16,24.59,51,18418
2018-04-17,24.57,24.5,24.44,24.57,53,19090
2018-04-18,24.52,24.4,24.4,24.4,47,20430
2018-04-19,24.48,24.26,24.26,24.45,90,24636
2018-04-20,24.23,24.1,24.1,24.23,99,23077
2018-04-23,24.13,23.82,23.79,24.06,132,45285
2018-04-24,23.95,23.75,23.68,23.94,69,14582
2018-04-25,23.8,23.6,23.5,23.8,60,22502
2018-04-26,23.77,23.77,23.675,23.72,26,5153
2018-04-27,23.82,23.7,23.61,23.82,44,13132
2018-04-30,23.9,23.89,23.75,23.75,55,16678
2018-05-01,23.94,23.94,23.84,23.93,30,8070
2018-05-02,24.01,23.89,23.89,23.94,23,8052
2018-05-03,24.0,23.97,23.92,23.99,16,2622
2018-05-04,24.15,24.15,23.99,23.99,43,9969
2018-05-07,24.16,24.0,24.0,24.16,24,8569
2018-05-08,24.1,24.06,23.95,24.1,41,13443
2018-05-09,24.02,24.0,23.975,24.01,39,4948
2018-05-10,24.05,23.99,23.99,24.05,7,906
2018-05-11,24.15,24.15,24.0,24.15,15,5460
2018-05-14,24.17,24.17,24.09,24.15,9,2560
2018-05-15,24.19,24.12,24.03,24.19,20,2812
2018-05-16,24.13,23.9,23.85,24.13,59,41397
2018-05-17,23.95,23.94,23.9,23.95,10,2975
2018-05-18,24.02,23.95,23.86,24.02,14,2477
2018-05-21,24.05,24.0,23.93,24.05,36,18111
2018-05-22,24.1,23.9,23.6,24.1,86,32284
2018-05-23,23.95,23.93,23.9,23.92,26,4042
2018-05-24,24.18,24.18,23.971,23.98,44,8546
2018-05-25,24.25,24.25,24.04,24.18,30,10069
2018-05-29,24.65,24.65,24.15,24.24,241,78900
2018-05-30,24.7,24.7,24.35,24.35,123,40795
2018-05-31,24.73,24.64,24.431,24.73,25,7428
2018-06-01,24.7,24.611,24.601,24.63,16,5314
2018-06-04,25.0,25.0,24.621,24.75,132,22519
2018-06-05,24.93,24.9,24.8,24.91,36,8988
2018-06-06,25.0,24.97,24.84,25.0,101,27531
2018-06-07,25.0,25.0,24.9,24.97,87,33502
2018-06-08,25.02,25.01,24.95,25.0,106,30202
2018-06-11,25.05,25.0,24.94,25.02,97,41937
2018-06-12,25.1,25.1,24.91,25.01,50,36376
2018-06-13,25.09,25.0,24.95,25.09,18,3269
2018-06-14,24.78,24.7,24.66,24.78,13,11037
2018-06-15,24.96,24.96,24.72,24.72,104,17977
2018-06-18,24.96,24.82,24.8,24.96,26,15886
2018-06-19,24.81,24.71,24.71,24.81,40,10509
2018-06-20,24.79,24.6,24.53,24.79,84,27589
2018-06-21,24.66,24.54,24.53,24.66,17,7574
2018-06-22,24.63,24.59,24.53,24.63,25,4776
2018-06-25,24.67,24.5,24.5,24.6,30,8409
2018-06-26,24.59,24.55,24.5,24.55,16,3523
2018-06-27,24.65,24.605,24.6,24.6,19,7398
2018-06-28,24.68,24.6,24.55,24.56,51,6448
2018-06-29,24.77,24.68,24.55,24.6,47,14959
2018-07-02,24.78,24.7,24.64,24.72,42,3614
2018-07-03,24.79,24.79,24.7,24.75,36,5310
2018-07-05,24.9,24.9,24.81,24.83,40,9352
2018-07-06,24.98,24.98,24.92,24.92,24,4936
